Geografía;Tipología penal;Periodos:;Total
28005 Alcalá de Henares;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;5.606
28005 Alcalá de Henares;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
28005 Alcalá de Henares;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;12
28005 Alcalá de Henares;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;39
28005 Alcalá de Henares;4. Secuestro;enero-septiembre 2024;0
28005 Alcalá de Henares;5. Delitos contra la libertad sexual;enero-septiembre 2024;51
28005 Alcalá de Henares;5.1.-Agresión sexual con penetración;enero-septiembre 2024;12
28005 Alcalá de Henares;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;39
28005 Alcalá de Henares;6. Robos con violencia e intimidación;enero-septiembre 2024;171
28005 Alcalá de Henares;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;248
28005 Alcalá de Henares;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;152
28005 Alcalá de Henares;8. Hurtos;enero-septiembre 2024;1.600
28005 Alcalá de Henares;9. Sustracciones de vehículos;enero-septiembre 2024;165
28005 Alcalá de Henares;10. Tráfico de drogas;enero-septiembre 2024;61
28005 Alcalá de Henares;11. Resto de criminalidad convencional;enero-septiembre 2024;3.259
28005 Alcalá de Henares;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;1.634
28005 Alcalá de Henares;12.-Estafas informáticas;enero-septiembre 2024;1.411
28005 Alcalá de Henares;13.-Otros ciberdelitos;enero-septiembre 2024;223
28005 Alcalá de Henares;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;7.240
28006 Alcobendas;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;3.121
28006 Alcobendas;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;1
28006 Alcobendas;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;0
28006 Alcobendas;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;26
28006 Alcobendas;4. Secuestro;enero-septiembre 2024;0
28006 Alcobendas;5. Delitos contra la libertad sexual;enero-septiembre 2024;44
28006 Alcobendas;5.1.-Agresión sexual con penetración;enero-septiembre 2024;11
28006 Alcobendas;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;33
28006 Alcobendas;6. Robos con violencia e intimidación;enero-septiembre 2024;54
28006 Alcobendas;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;129
28006 Alcobendas;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;83
28006 Alcobendas;8. Hurtos;enero-septiembre 2024;873
28006 Alcobendas;9. Sustracciones de vehículos;enero-septiembre 2024;134
28006 Alcobendas;10. Tráfico de drogas;enero-septiembre 2024;33
28006 Alcobendas;11. Resto de criminalidad convencional;enero-septiembre 2024;1.827
28006 Alcobendas;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;943
28006 Alcobendas;12.-Estafas informáticas;enero-septiembre 2024;854
28006 Alcobendas;13.-Otros ciberdelitos;enero-septiembre 2024;89
28006 Alcobendas;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;4.064
28007 Alcorcón;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;4.347
28007 Alcorcón;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
28007 Alcorcón;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;0
28007 Alcorcón;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;39
28007 Alcorcón;4. Secuestro;enero-septiembre 2024;1
28007 Alcorcón;5. Delitos contra la libertad sexual;enero-septiembre 2024;26
28007 Alcorcón;5.1.-Agresión sexual con penetración;enero-septiembre 2024;7
28007 Alcorcón;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;19
28007 Alcorcón;6. Robos con violencia e intimidación;enero-septiembre 2024;116
28007 Alcorcón;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;165
28007 Alcorcón;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;105
28007 Alcorcón;8. Hurtos;enero-septiembre 2024;1.804
28007 Alcorcón;9. Sustracciones de vehículos;enero-septiembre 2024;78
28007 Alcorcón;10. Tráfico de drogas;enero-septiembre 2024;38
28007 Alcorcón;11. Resto de criminalidad convencional;enero-septiembre 2024;2.080
28007 Alcorcón;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;806
28007 Alcorcón;12.-Estafas informáticas;enero-septiembre 2024;684
28007 Alcorcón;13.-Otros ciberdelitos;enero-septiembre 2024;122
28007 Alcorcón;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;5.153
28009 Algete;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;427
28009 Algete;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
28009 Algete;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;0
28009 Algete;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;8
28009 Algete;4. Secuestro;enero-septiembre 2024;0
28009 Algete;5. Delitos contra la libertad sexual;enero-septiembre 2024;7
28009 Algete;5.1.-Agresión sexual con penetración;enero-septiembre 2024;0
28009 Algete;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;7
28009 Algete;6. Robos con violencia e intimidación;enero-septiembre 2024;7
28009 Algete;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;23
28009 Algete;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;17
28009 Algete;8. Hurtos;enero-septiembre 2024;111
28009 Algete;9. Sustracciones de vehículos;enero-septiembre 2024;13
28009 Algete;10. Tráfico de drogas;enero-septiembre 2024;0
28009 Algete;11. Resto de criminalidad convencional;enero-septiembre 2024;258
28009 Algete;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;194
28009 Algete;12.-Estafas informáticas;enero-septiembre 2024;173
28009 Algete;13.-Otros ciberdelitos;enero-septiembre 2024;21
28009 Algete;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;621
28013 Aranjuez;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;1.685
28013 Aranjuez;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
28013 Aranjuez;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;2
28013 Aranjuez;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;11
28013 Aranjuez;4. Secuestro;enero-septiembre 2024;0
28013 Aranjuez;5. Delitos contra la libertad sexual;enero-septiembre 2024;13
28013 Aranjuez;5.1.-Agresión sexual con penetración;enero-septiembre 2024;2
28013 Aranjuez;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;11
28013 Aranjuez;6. Robos con violencia e intimidación;enero-septiembre 2024;40
28013 Aranjuez;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;75
28013 Aranjuez;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;44
28013 Aranjuez;8. Hurtos;enero-septiembre 2024;508
28013 Aranjuez;9. Sustracciones de vehículos;enero-septiembre 2024;44
28013 Aranjuez;10. Tráfico de drogas;enero-septiembre 2024;11
28013 Aranjuez;11. Resto de criminalidad convencional;enero-septiembre 2024;981
28013 Aranjuez;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;383
28013 Aranjuez;12.-Estafas informáticas;enero-septiembre 2024;346
28013 Aranjuez;13.-Otros ciberdelitos;enero-septiembre 2024;37
28013 Aranjuez;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;2.068
28014 Arganda del Rey;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;2.142
28014 Arganda del Rey;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
28014 Arganda del Rey;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;1
28014 Arganda del Rey;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;25
28014 Arganda del Rey;4. Secuestro;enero-septiembre 2024;0
28014 Arganda del Rey;5. Delitos contra la libertad sexual;enero-septiembre 2024;12
28014 Arganda del Rey;5.1.-Agresión sexual con penetración;enero-septiembre 2024;1
28014 Arganda del Rey;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;11
28014 Arganda del Rey;6. Robos con violencia e intimidación;enero-septiembre 2024;75
28014 Arganda del Rey;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;83
28014 Arganda del Rey;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;46
28014 Arganda del Rey;8. Hurtos;enero-septiembre 2024;670
28014 Arganda del Rey;9. Sustracciones de vehículos;enero-septiembre 2024;32
28014 Arganda del Rey;10. Tráfico de drogas;enero-septiembre 2024;19
28014 Arganda del Rey;11. Resto de criminalidad convencional;enero-septiembre 2024;1.225
28014 Arganda del Rey;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;554
28014 Arganda del Rey;12.-Estafas informáticas;enero-septiembre 2024;475
28014 Arganda del Rey;13.-Otros ciberdelitos;enero-septiembre 2024;79
28014 Arganda del Rey;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;2.696
28015 Arroyomolinos;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;1.453
28015 Arroyomolinos;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;0
28015 Arroyomolinos;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;0
28015 Arroyomolinos;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;6
28015 Arroyomolinos;4. Secuestro;enero-septiembre 2024;0
28015 Arroyomolinos;5. Delitos contra la libertad sexual;enero-septiembre 2024;17
28015 Arroyomolinos;5.1.-Agresión sexual con penetración;enero-septiembre 2024;8
28015 Arroyomolinos;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;9
28015 Arroyomolinos;6. Robos con violencia e intimidación;enero-septiembre 2024;15
28015 Arroyomolinos;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;65
28015 Arroyomolinos;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;44
28015 Arroyomolinos;8. Hurtos;enero-septiembre 2024;737
28015 Arroyomolinos;9. Sustracciones de vehículos;enero-septiembre 2024;34
28015 Arroyomolinos;10. Tráfico de drogas;enero-septiembre 2024;5
28015 Arroyomolinos;11. Resto de criminalidad convencional;enero-septiembre 2024;574
28015 Arroyomolinos;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;372
