Geografía;Tipología penal;Periodos:;Total
28005 Alcalá de Henares;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;1.851
28005 Alcalá de Henares;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;0
28005 Alcalá de Henares;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;7
28005 Alcalá de Henares;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;14
28005 Alcalá de Henares;4. Secuestro;enero-marzo 2024;0
28005 Alcalá de Henares;5. Delitos contra la libertad sexual;enero-marzo 2024;19
28005 Alcalá de Henares;5.1.-Agresión sexual con penetración;enero-marzo 2024;7
28005 Alcalá de Henares;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;12
28005 Alcalá de Henares;6. Robos con violencia e intimidación;enero-marzo 2024;67
28005 Alcalá de Henares;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;61
28005 Alcalá de Henares;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;31
28005 Alcalá de Henares;8. Hurtos;enero-marzo 2024;547
28005 Alcalá de Henares;9. Sustracciones de vehículos;enero-marzo 2024;50
28005 Alcalá de Henares;10. Tráfico de drogas;enero-marzo 2024;20
28005 Alcalá de Henares;11. Resto de criminalidad convencional;enero-marzo 2024;1.066
28005 Alcalá de Henares;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;554
28005 Alcalá de Henares;12.-Estafas informáticas;enero-marzo 2024;479
28005 Alcalá de Henares;13.-Otros ciberdelitos;enero-marzo 2024;75
28005 Alcalá de Henares;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;2.405
28006 Alcobendas;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;1.020
28006 Alcobendas;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;0
28006 Alcobendas;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;0
28006 Alcobendas;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;8
28006 Alcobendas;4. Secuestro;enero-marzo 2024;0
28006 Alcobendas;5. Delitos contra la libertad sexual;enero-marzo 2024;13
28006 Alcobendas;5.1.-Agresión sexual con penetración;enero-marzo 2024;5
28006 Alcobendas;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;8
28006 Alcobendas;6. Robos con violencia e intimidación;enero-marzo 2024;19
28006 Alcobendas;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;66
28006 Alcobendas;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;40
28006 Alcobendas;8. Hurtos;enero-marzo 2024;250
28006 Alcobendas;9. Sustracciones de vehículos;enero-marzo 2024;61
28006 Alcobendas;10. Tráfico de drogas;enero-marzo 2024;10
28006 Alcobendas;11. Resto de criminalidad convencional;enero-marzo 2024;593
28006 Alcobendas;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;338
28006 Alcobendas;12.-Estafas informáticas;enero-marzo 2024;306
28006 Alcobendas;13.-Otros ciberdelitos;enero-marzo 2024;32
28006 Alcobendas;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;1.358
28007 Alcorcón;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;1.539
28007 Alcorcón;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;0
28007 Alcorcón;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;0
28007 Alcorcón;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;9
28007 Alcorcón;4. Secuestro;enero-marzo 2024;1
28007 Alcorcón;5. Delitos contra la libertad sexual;enero-marzo 2024;10
28007 Alcorcón;5.1.-Agresión sexual con penetración;enero-marzo 2024;2
28007 Alcorcón;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;8
28007 Alcorcón;6. Robos con violencia e intimidación;enero-marzo 2024;36
28007 Alcorcón;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;52
28007 Alcorcón;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;30
28007 Alcorcón;8. Hurtos;enero-marzo 2024;655
28007 Alcorcón;9. Sustracciones de vehículos;enero-marzo 2024;30
28007 Alcorcón;10. Tráfico de drogas;enero-marzo 2024;17
28007 Alcorcón;11. Resto de criminalidad convencional;enero-marzo 2024;729
28007 Alcorcón;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;353
28007 Alcorcón;12.-Estafas informáticas;enero-marzo 2024;304
28007 Alcorcón;13.-Otros ciberdelitos;enero-marzo 2024;49
28007 Alcorcón;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;1.892
28009 Algete;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;150
28009 Algete;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;0
28009 Algete;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;0
28009 Algete;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;2
28009 Algete;4. Secuestro;enero-marzo 2024;0
28009 Algete;5. Delitos contra la libertad sexual;enero-marzo 2024;6
28009 Algete;5.1.-Agresión sexual con penetración;enero-marzo 2024;0
28009 Algete;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;6
28009 Algete;6. Robos con violencia e intimidación;enero-marzo 2024;3
28009 Algete;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;12
28009 Algete;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;7
28009 Algete;8. Hurtos;enero-marzo 2024;27
28009 Algete;9. Sustracciones de vehículos;enero-marzo 2024;6
28009 Algete;10. Tráfico de drogas;enero-marzo 2024;0
28009 Algete;11. Resto de criminalidad convencional;enero-marzo 2024;94
28009 Algete;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;68
28009 Algete;12.-Estafas informáticas;enero-marzo 2024;59
28009 Algete;13.-Otros ciberdelitos;enero-marzo 2024;9
28009 Algete;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;218
28013 Aranjuez;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;551
28013 Aranjuez;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;0
28013 Aranjuez;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;2
