Geografía;Tipología penal;Periodos:;Total
28005 Alcalá de Henares;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;5.641
28005 Alcalá de Henares;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;1
28005 Alcalá de Henares;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;6
28005 Alcalá de Henares;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;54
28005 Alcalá de Henares;4. Secuestro;enero-septiembre 2025;1
28005 Alcalá de Henares;5. Delitos contra la libertad sexual;enero-septiembre 2025;64
28005 Alcalá de Henares;5.1.-Agresión sexual con penetración;enero-septiembre 2025;10
28005 Alcalá de Henares;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;54
28005 Alcalá de Henares;6. Robos con violencia e intimidación;enero-septiembre 2025;109
28005 Alcalá de Henares;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;249
28005 Alcalá de Henares;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;142
28005 Alcalá de Henares;8. Hurtos;enero-septiembre 2025;1.598
28005 Alcalá de Henares;9. Sustracciones de vehículos;enero-septiembre 2025;200
28005 Alcalá de Henares;10. Tráfico de drogas;enero-septiembre 2025;48
28005 Alcalá de Henares;11. Resto de criminalidad convencional;enero-septiembre 2025;3.311
28005 Alcalá de Henares;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;1.804
28005 Alcalá de Henares;12.-Estafas informáticas;enero-septiembre 2025;1.505
28005 Alcalá de Henares;13.-Otros ciberdelitos;enero-septiembre 2025;299
28005 Alcalá de Henares;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;7.445
28006 Alcobendas;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;3.201
28006 Alcobendas;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;0
28006 Alcobendas;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;2
28006 Alcobendas;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;31
28006 Alcobendas;4. Secuestro;enero-septiembre 2025;0
28006 Alcobendas;5. Delitos contra la libertad sexual;enero-septiembre 2025;37
28006 Alcobendas;5.1.-Agresión sexual con penetración;enero-septiembre 2025;9
28006 Alcobendas;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;28
28006 Alcobendas;6. Robos con violencia e intimidación;enero-septiembre 2025;61
28006 Alcobendas;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;133
28006 Alcobendas;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;75
28006 Alcobendas;8. Hurtos;enero-septiembre 2025;849
28006 Alcobendas;9. Sustracciones de vehículos;enero-septiembre 2025;130
28006 Alcobendas;10. Tráfico de drogas;enero-septiembre 2025;41
28006 Alcobendas;11. Resto de criminalidad convencional;enero-septiembre 2025;1.917
28006 Alcobendas;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;956
28006 Alcobendas;12.-Estafas informáticas;enero-septiembre 2025;863
28006 Alcobendas;13.-Otros ciberdelitos;enero-septiembre 2025;93
28006 Alcobendas;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;4.157
28007 Alcorcón;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;4.441
28007 Alcorcón;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;0
28007 Alcorcón;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;2
28007 Alcorcón;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;54
28007 Alcorcón;4. Secuestro;enero-septiembre 2025;0
28007 Alcorcón;5. Delitos contra la libertad sexual;enero-septiembre 2025;28
28007 Alcorcón;5.1.-Agresión sexual con penetración;enero-septiembre 2025;6
28007 Alcorcón;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;22
28007 Alcorcón;6. Robos con violencia e intimidación;enero-septiembre 2025;130
28007 Alcorcón;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;203
28007 Alcorcón;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;77
28007 Alcorcón;8. Hurtos;enero-septiembre 2025;1.844
28007 Alcorcón;9. Sustracciones de vehículos;enero-septiembre 2025;84
28007 Alcorcón;10. Tráfico de drogas;enero-septiembre 2025;33
28007 Alcorcón;11. Resto de criminalidad convencional;enero-septiembre 2025;2.063
28007 Alcorcón;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;847
28007 Alcorcón;12.-Estafas informáticas;enero-septiembre 2025;654
28007 Alcorcón;13.-Otros ciberdelitos;enero-septiembre 2025;193
28007 Alcorcón;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;5.288
28009 Algete;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;477
28009 Algete;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;0
28009 Algete;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;0
28009 Algete;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;6
