Geografía;Tipología penal;Periodos:;Total
- Municipio de Alcalá de Henares;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2018;3
- Municipio de Alcalá de Henares;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2018;0
- Municipio de Alcalá de Henares;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2018;8
- Municipio de Alcalá de Henares;4.-Secuestro;Enero-marzo 2018;0
- Municipio de Alcalá de Henares;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;10
- Municipio de Alcalá de Henares;5.1.-Agresión sexual con penetración;Enero-marzo 2018;1
- Municipio de Alcalá de Henares;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;9
- Municipio de Alcalá de Henares;6.-Robos con violencia e intimidación;Enero-marzo 2018;48
- Municipio de Alcalá de Henares;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2018;112
- Municipio de Alcalá de Henares;7.1.-Robos con fuerza en domicilios;Enero-marzo 2018;60
- Municipio de Alcalá de Henares;8.-Hurtos;Enero-marzo 2018;590
- Municipio de Alcalá de Henares;9.-Sustracciones de vehículos;Enero-marzo 2018;55
- Municipio de Alcalá de Henares;10.-Tráfico de drogas;Enero-marzo 2018;9
- Municipio de Alcalá de Henares;TOTAL INFRACCIONES PENALES;Enero-marzo 2018;2.079
- Municipio de Alcobendas;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2018;0
- Municipio de Alcobendas;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2018;0
- Municipio de Alcobendas;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2018;8
- Municipio de Alcobendas;4.-Secuestro;Enero-marzo 2018;0
- Municipio de Alcobendas;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;10
- Municipio de Alcobendas;5.1.-Agresión sexual con penetración;Enero-marzo 2018;0
- Municipio de Alcobendas;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;10
- Municipio de Alcobendas;6.-Robos con violencia e intimidación;Enero-marzo 2018;35
- Municipio de Alcobendas;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2018;89
