Geografía;Tipología penal;Periodos:;Total
- Municipio de Alcalá de Henares;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;4
- Municipio de Alcalá de Henares;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;1
- Municipio de Alcalá de Henares;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;38
- Municipio de Alcalá de Henares;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Alcalá de Henares;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;53
- Municipio de Alcalá de Henares;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;2
- Municipio de Alcalá de Henares;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;51
- Municipio de Alcalá de Henares;6.-Robos con violencia e intimidación;Enero-diciembre 2017;291
- Municipio de Alcalá de Henares;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;454
- Municipio de Alcalá de Henares;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;224
- Municipio de Alcalá de Henares;8.-Hurtos;Enero-diciembre 2017;2.676
- Municipio de Alcalá de Henares;9.-Sustracciones de vehículos;Enero-diciembre 2017;277
- Municipio de Alcalá de Henares;10.-Tráfico de drogas;Enero-diciembre 2017;40
- Municipio de Alcalá de Henares;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;9.214
- Municipio de Alcobendas;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;3
- Municipio de Alcobendas;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;0
- Municipio de Alcobendas;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;29
- Municipio de Alcobendas;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Alcobendas;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;30
- Municipio de Alcobendas;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;5
- Municipio de Alcobendas;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;25
- Municipio de Alcobendas;6.-Robos con violencia e intimidación;Enero-diciembre 2017;146
- Municipio de Alcobendas;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;312
- Municipio de Alcobendas;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;174
- Municipio de Alcobendas;8.-Hurtos;Enero-diciembre 2017;1.661
- Municipio de Alcobendas;9.-Sustracciones de vehículos;Enero-diciembre 2017;209
- Municipio de Alcobendas;10.-Tráfico de drogas;Enero-diciembre 2017;14
- Municipio de Alcobendas;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;5.097
- Municipio de Alcorcón;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;3
- Municipio de Alcorcón;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;2
- Municipio de Alcorcón;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;27
- Municipio de Alcorcón;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Alcorcón;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;19
- Municipio de Alcorcón;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;3
- Municipio de Alcorcón;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;16
- Municipio de Alcorcón;6.-Robos con violencia e intimidación;Enero-diciembre 2017;346
- Municipio de Alcorcón;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;327
- Municipio de Alcorcón;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;177
- Municipio de Alcorcón;8.-Hurtos;Enero-diciembre 2017;2.478
- Municipio de Alcorcón;9.-Sustracciones de vehículos;Enero-diciembre 2017;231
- Municipio de Alcorcón;10.-Tráfico de drogas;Enero-diciembre 2017;22
- Municipio de Alcorcón;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;6.541
- Municipio de Aranjuez;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;0
- Municipio de Aranjuez;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;1
- Municipio de Aranjuez;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;17
- Municipio de Aranjuez;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Aranjuez;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;16
- Municipio de Aranjuez;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;2
- Municipio de Aranjuez;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;14
- Municipio de Aranjuez;6.-Robos con violencia e intimidación;Enero-diciembre 2017;45
- Municipio de Aranjuez;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;116
- Municipio de Aranjuez;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;71
- Municipio de Aranjuez;8.-Hurtos;Enero-diciembre 2017;648
- Municipio de Aranjuez;9.-Sustracciones de vehículos;Enero-diciembre 2017;82
- Municipio de Aranjuez;10.-Tráfico de drogas;Enero-diciembre 2017;12
- Municipio de Aranjuez;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;2.421
- Municipio de Arganda del Rey;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;0
- Municipio de Arganda del Rey;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;1
- Municipio de Arganda del Rey;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;23
- Municipio de Arganda del Rey;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Arganda del Rey;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;10
- Municipio de Arganda del Rey;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;1
- Municipio de Arganda del Rey;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;9
- Municipio de Arganda del Rey;6.-Robos con violencia e intimidación;Enero-diciembre 2017;82
- Municipio de Arganda del Rey;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;179
- Municipio de Arganda del Rey;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;119
- Municipio de Arganda del Rey;8.-Hurtos;Enero-diciembre 2017;446
- Municipio de Arganda del Rey;9.-Sustracciones de vehículos;Enero-diciembre 2017;71
- Municipio de Arganda del Rey;10.-Tráfico de drogas;Enero-diciembre 2017;12
- Municipio de Arganda del Rey;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;2.350
- Municipio de Boadilla del Monte;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;1
- Municipio de Boadilla del Monte;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;0
- Municipio de Boadilla del Monte;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;4
- Municipio de Boadilla del Monte;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Boadilla del Monte;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;7
- Municipio de Boadilla del Monte;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;0
- Municipio de Boadilla del Monte;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;7
- Municipio de Boadilla del Monte;6.-Robos con violencia e intimidación;Enero-diciembre 2017;24
- Municipio de Boadilla del Monte;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;121
- Municipio de Boadilla del Monte;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;85
- Municipio de Boadilla del Monte;8.-Hurtos;Enero-diciembre 2017;339
- Municipio de Boadilla del Monte;9.-Sustracciones de vehículos;Enero-diciembre 2017;34
- Municipio de Boadilla del Monte;10.-Tráfico de drogas;Enero-diciembre 2017;6
- Municipio de Boadilla del Monte;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;1.239
- Municipio de Colmenar Viejo;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;0
- Municipio de Colmenar Viejo;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;1
- Municipio de Colmenar Viejo;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;28
- Municipio de Colmenar Viejo;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Colmenar Viejo;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;19
- Municipio de Colmenar Viejo;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;3
- Municipio de Colmenar Viejo;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;16
- Municipio de Colmenar Viejo;6.-Robos con violencia e intimidación;Enero-diciembre 2017;42
- Municipio de Colmenar Viejo;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;116
- Municipio de Colmenar Viejo;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;88
- Municipio de Colmenar Viejo;8.-Hurtos;Enero-diciembre 2017;464
- Municipio de Colmenar Viejo;9.-Sustracciones de vehículos;Enero-diciembre 2017;21
- Municipio de Colmenar Viejo;10.-Tráfico de drogas;Enero-diciembre 2017;5
- Municipio de Colmenar Viejo;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;1.835
- Municipio de Collado Villalba;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;1
- Municipio de Collado Villalba;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;3
- Municipio de Collado Villalba;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;37
- Municipio de Collado Villalba;4.-Secuestro;Enero-diciembre 2017;0
- Municipio de Collado Villalba;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;45
- Municipio de Collado Villalba;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;4
- Municipio de Collado Villalba;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;41
- Municipio de Collado Villalba;6.-Robos con violencia e intimidación;Enero-diciembre 2017;125
- Municipio de Collado Villalba;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;206
- Municipio de Collado Villalba;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;154
