Geografía;Tipología penal;Periodos:;Total
-Municipio de Alcalá de Henares;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;1
-Municipio de Alcalá de Henares;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;5
-Municipio de Alcalá de Henares;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2022;65
-Municipio de Alcalá de Henares;4.-Secuestro;Enero-septiembre 2022;0
-Municipio de Alcalá de Henares;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;43
-Municipio de Alcalá de Henares;5.1.-Agresión sexual con penetración;Enero-septiembre 2022;5
-Municipio de Alcalá de Henares;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;38
-Municipio de Alcalá de Henares;6.-Robos con violencia e intimidación;Enero-septiembre 2022;167
-Municipio de Alcalá de Henares;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2022;277
-Municipio de Alcalá de Henares;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2022;140
-Municipio de Alcalá de Henares;8.-Hurtos;Enero-septiembre 2022;2.000
-Municipio de Alcalá de Henares;9.-Sustracciones de vehículos;Enero-septiembre 2022;177
-Municipio de Alcalá de Henares;10.-Tráfico de drogas;Enero-septiembre 2022;30
-Municipio de Alcalá de Henares;Resto de infracciones penales;Enero-septiembre 2022;5.034
-Municipio de Alcalá de Henares;TOTAL INFRACCIONES PENALES;Enero-septiembre 2022;7.799
-Municipio de Alcobendas;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;0
-Municipio de Alcobendas;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;1
-Municipio de Alcobendas;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2022;29
-Municipio de Alcobendas;4.-Secuestro;Enero-septiembre 2022;0
-Municipio de Alcobendas;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;19
-Municipio de Alcobendas;5.1.-Agresión sexual con penetración;Enero-septiembre 2022;5
-Municipio de Alcobendas;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;14
-Municipio de Alcobendas;6.-Robos con violencia e intimidación;Enero-septiembre 2022;83
-Municipio de Alcobendas;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2022;137
-Municipio de Alcobendas;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2022;77
-Municipio de Alcobendas;8.-Hurtos;Enero-septiembre 2022;908
-Municipio de Alcobendas;9.-Sustracciones de vehículos;Enero-septiembre 2022;194
-Municipio de Alcobendas;10.-Tráfico de drogas;Enero-septiembre 2022;26
-Municipio de Alcobendas;Resto de infracciones penales;Enero-septiembre 2022;2.541
-Municipio de Alcobendas;TOTAL INFRACCIONES PENALES;Enero-septiembre 2022;3.938
-Municipio de Alcorcón;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;1
-Municipio de Alcorcón;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;2
-Municipio de Alcorcón;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2022;26
-Municipio de Alcorcón;4.-Secuestro;Enero-septiembre 2022;1
-Municipio de Alcorcón;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;34
-Municipio de Alcorcón;5.1.-Agresión sexual con penetración;Enero-septiembre 2022;3
-Municipio de Alcorcón;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;31
-Municipio de Alcorcón;6.-Robos con violencia e intimidación;Enero-septiembre 2022;151
-Municipio de Alcorcón;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2022;200
-Municipio de Alcorcón;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2022;142
-Municipio de Alcorcón;8.-Hurtos;Enero-septiembre 2022;1.887
-Municipio de Alcorcón;9.-Sustracciones de vehículos;Enero-septiembre 2022;82
-Municipio de Alcorcón;10.-Tráfico de drogas;Enero-septiembre 2022;25
-Municipio de Alcorcón;Resto de infracciones penales;Enero-septiembre 2022;3.445
-Municipio de Alcorcón;TOTAL INFRACCIONES PENALES;Enero-septiembre 2022;5.854
-Municipio de Algete;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;0
-Municipio de Algete;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;0
-Municipio de Algete;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2022;1
-Municipio de Algete;4.-Secuestro;Enero-septiembre 2022;0
-Municipio de Algete;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;4
-Municipio de Algete;5.1.-Agresión sexual con penetración;Enero-septiembre 2022;0
-Municipio de Algete;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;4
-Municipio de Algete;6.-Robos con violencia e intimidación;Enero-septiembre 2022;7
-Municipio de Algete;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2022;34
-Municipio de Algete;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2022;20
-Municipio de Algete;8.-Hurtos;Enero-septiembre 2022;113
-Municipio de Algete;9.-Sustracciones de vehículos;Enero-septiembre 2022;8
