Geografía;Tipología penal;Periodos:;Total
- Municipio de Alcalá de Henares;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;2.453
- Municipio de Alcalá de Henares;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Alcalá de Henares;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;79
- Municipio de Alcalá de Henares;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;68
- Municipio de Alcalá de Henares;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;81
- Municipio de Alcalá de Henares;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;12
- Municipio de Alcalá de Henares;7.-DAÑOS;Enero-marzo 2016;445
- Municipio de Alcalá de Henares;8.-HURTOS;Enero-marzo 2016;733
- Municipio de Alcobendas;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;1.257
- Municipio de Alcobendas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Alcobendas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;49
- Municipio de Alcobendas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;51
- Municipio de Alcobendas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;42
- Municipio de Alcobendas;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;4
- Municipio de Alcobendas;7.-DAÑOS;Enero-marzo 2016;181
- Municipio de Alcobendas;8.-HURTOS;Enero-marzo 2016;439
- Municipio de Alcorcón;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;1.731
- Municipio de Alcorcón;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Alcorcón;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;101
- Municipio de Alcorcón;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;94
- Municipio de Alcorcón;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;72
- Municipio de Alcorcón;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;6
- Municipio de Alcorcón;7.-DAÑOS;Enero-marzo 2016;237
- Municipio de Alcorcón;8.-HURTOS;Enero-marzo 2016;657
- Municipio de Aranjuez;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;745
- Municipio de Aranjuez;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Aranjuez;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;16
- Municipio de Aranjuez;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;50
- Municipio de Aranjuez;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;15
- Municipio de Aranjuez;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;3
- Municipio de Aranjuez;7.-DAÑOS;Enero-marzo 2016;160
- Municipio de Aranjuez;8.-HURTOS;Enero-marzo 2016;216
- Municipio de Arganda del Rey;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;610
- Municipio de Arganda del Rey;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Arganda del Rey;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;24
- Municipio de Arganda del Rey;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;26
- Municipio de Arganda del Rey;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;19
- Municipio de Arganda del Rey;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;1
- Municipio de Arganda del Rey;7.-DAÑOS;Enero-marzo 2016;114
- Municipio de Arganda del Rey;8.-HURTOS;Enero-marzo 2016;94
- Municipio de Collado Villalba;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;719
- Municipio de Collado Villalba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Collado Villalba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;26
- Municipio de Collado Villalba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;78
- Municipio de Collado Villalba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;11
- Municipio de Collado Villalba;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;3
- Municipio de Collado Villalba;7.-DAÑOS;Enero-marzo 2016;99
- Municipio de Collado Villalba;8.-HURTOS;Enero-marzo 2016;204
- Municipio de Coslada;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;915
- Municipio de Coslada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;1
- Municipio de Coslada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;33
- Municipio de Coslada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;42
- Municipio de Coslada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;36
- Municipio de Coslada;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;2
- Municipio de Coslada;7.-DAÑOS;Enero-marzo 2016;174
- Municipio de Coslada;8.-HURTOS;Enero-marzo 2016;280
- Municipio de Fuenlabrada;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;2.064
- Municipio de Fuenlabrada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Fuenlabrada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;107
- Municipio de Fuenlabrada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;60
- Municipio de Fuenlabrada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;82
- Municipio de Fuenlabrada;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;2
- Municipio de Fuenlabrada;7.-DAÑOS;Enero-marzo 2016;319
- Municipio de Fuenlabrada;8.-HURTOS;Enero-marzo 2016;750
- Municipio de Getafe;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;1.974
- Municipio de Getafe;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;1
- Municipio de Getafe;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;104
- Municipio de Getafe;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;62
- Municipio de Getafe;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;81
- Municipio de Getafe;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;5
- Municipio de Getafe;7.-DAÑOS;Enero-marzo 2016;292
- Municipio de Getafe;8.-HURTOS;Enero-marzo 2016;638
- Municipio de Leganés;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;2.525
- Municipio de Leganés;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Leganés;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;76
- Municipio de Leganés;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;74
- Municipio de Leganés;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;72
- Municipio de Leganés;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;8
- Municipio de Leganés;7.-DAÑOS;Enero-marzo 2016;305
- Municipio de Leganés;8.-HURTOS;Enero-marzo 2016;1.194
- Municipio de Madrid;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;58.404
- Municipio de Madrid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;7
- Municipio de Madrid;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;3.024
- Municipio de Madrid;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;2.151
- Municipio de Madrid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;1.337
- Municipio de Madrid;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;253
- Municipio de Madrid;7.-DAÑOS;Enero-marzo 2016;5.949
- Municipio de Madrid;8.-HURTOS;Enero-marzo 2016;26.914
- Municipio de Majadahonda;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;1.096
- Municipio de Majadahonda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Majadahonda;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;39
- Municipio de Majadahonda;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;62
- Municipio de Majadahonda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;29
- Municipio de Majadahonda;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;3
- Municipio de Majadahonda;7.-DAÑOS;Enero-marzo 2016;131
- Municipio de Majadahonda;8.-HURTOS;Enero-marzo 2016;505
- Municipio de Móstoles;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;2.188
- Municipio de Móstoles;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Móstoles;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;75
- Municipio de Móstoles;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;130
- Municipio de Móstoles;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;82
- Municipio de Móstoles;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;12
- Municipio de Móstoles;7.-DAÑOS;Enero-marzo 2016;350
- Municipio de Móstoles;8.-HURTOS;Enero-marzo 2016;609
