Municipios;Sexo;Periodo;Total
46001 Ademuz;Total;2025;1.015
46001 Ademuz;Total;2024;1.004
46001 Ademuz;Total;2023;1.004
46001 Ademuz;Total;2022;1.000
46001 Ademuz;Total;2021;1.027
46001 Ademuz;Total;2020;1.037
46001 Ademuz;Total;2019;1.042
46001 Ademuz;Total;2018;1.046
46001 Ademuz;Total;2017;1.073
46001 Ademuz;Total;2016;1.137
46002 Ador;Total;2025;1.755
46002 Ador;Total;2024;1.729
46002 Ador;Total;2023;1.699
46002 Ador;Total;2022;1.706
46002 Ador;Total;2021;1.772
46002 Ador;Total;2020;1.730
46002 Ador;Total;2019;1.508
46002 Ador;Total;2018;1.393
46002 Ador;Total;2017;1.400
46002 Ador;Total;2016;1.437
46004 Agullent;Total;2025;2.438
46004 Agullent;Total;2024;2.416
46004 Agullent;Total;2023;2.400
46004 Agullent;Total;2022;2.361
46004 Agullent;Total;2021;2.369
46004 Agullent;Total;2020;2.388
46004 Agullent;Total;2019;2.410
46004 Agullent;Total;2018;2.413
46004 Agullent;Total;2017;2.387
46004 Agullent;Total;2016;2.395
46042 Aielo de Malferit;Total;2025;4.624
46042 Aielo de Malferit;Total;2024;4.599
46042 Aielo de Malferit;Total;2023;4.601
46042 Aielo de Malferit;Total;2022;4.589
46042 Aielo de Malferit;Total;2021;4.592
46042 Aielo de Malferit;Total;2020;4.625
46042 Aielo de Malferit;Total;2019;4.618
46042 Aielo de Malferit;Total;2018;4.646
46042 Aielo de Malferit;Total;2017;4.706
46042 Aielo de Malferit;Total;2016;4.724
46043 Aielo de Rugat;Total;2025;160
46043 Aielo de Rugat;Total;2024;160
46043 Aielo de Rugat;Total;2023;163
46043 Aielo de Rugat;Total;2022;166
46043 Aielo de Rugat;Total;2021;160
46043 Aielo de Rugat;Total;2020;160
46043 Aielo de Rugat;Total;2019;155
46043 Aielo de Rugat;Total;2018;155
46043 Aielo de Rugat;Total;2017;160
46043 Aielo de Rugat;Total;2016;168
46005 Alaquàs;Total;2025;30.166
46005 Alaquàs;Total;2024;30.022
46005 Alaquàs;Total;2023;29.825
46005 Alaquàs;Total;2022;29.537
46005 Alaquàs;Total;2021;29.649
46005 Alaquàs;Total;2020;29.711
46005 Alaquàs;Total;2019;29.561
46005 Alaquàs;Total;2018;29.341
46005 Alaquàs;Total;2017;29.474
46005 Alaquàs;Total;2016;29.660
46006 Albaida;Total;2025;6.322
46006 Albaida;Total;2024;6.235
46006 Albaida;Total;2023;6.102
46006 Albaida;Total;2022;5.989
46006 Albaida;Total;2021;5.975
46006 Albaida;Total;2020;5.914
46006 Albaida;Total;2019;5.900
46006 Albaida;Total;2018;5.908
46006 Albaida;Total;2017;5.946
46006 Albaida;Total;2016;5.933
46007 Albal;Total;2025;17.365
46007 Albal;Total;2024;17.038
46007 Albal;Total;2023;17.024
46007 Albal;Total;2022;16.845
46007 Albal;Total;2021;16.646
46007 Albal;Total;2020;16.577
46007 Albal;Total;2019;16.399
46007 Albal;Total;2018;16.270
46007 Albal;Total;2017;16.244
46007 Albal;Total;2016;16.136
46008 Albalat de la Ribera;Total;2025;3.523
46008 Albalat de la Ribera;Total;2024;3.446
46008 Albalat de la Ribera;Total;2023;3.411
46008 Albalat de la Ribera;Total;2022;3.444
46008 Albalat de la Ribera;Total;2021;3.368
46008 Albalat de la Ribera;Total;2020;3.326
46008 Albalat de la Ribera;Total;2019;3.360
46008 Albalat de la Ribera;Total;2018;3.329
46008 Albalat de la Ribera;Total;2017;3.361
46008 Albalat de la Ribera;Total;2016;3.431
46009 Albalat dels Sorells;Total;2025;4.368
46009 Albalat dels Sorells;Total;2024;4.249
46009 Albalat dels Sorells;Total;2023;4.158
46009 Albalat dels Sorells;Total;2022;4.084
46009 Albalat dels Sorells;Total;2021;4.110
46009 Albalat dels Sorells;Total;2020;4.036
46009 Albalat dels Sorells;Total;2019;3.977
46009 Albalat dels Sorells;Total;2018;3.944
46009 Albalat dels Sorells;Total;2017;3.900
46009 Albalat dels Sorells;Total;2016;3.889
46010 Albalat dels Tarongers;Total;2025;1.574
46010 Albalat dels Tarongers;Total;2024;1.516
46010 Albalat dels Tarongers;Total;2023;1.428
