Municipalities;Sex;Period;Total
12002 Aín;Total;2025;133
12002 Aín;Total;2024;131
12002 Aín;Total;2023;130
12002 Aín;Total;2022;136
12002 Aín;Total;2021;135
12002 Aín;Total;2020;123
12002 Aín;Total;2019;127
12002 Aín;Total;2018;125
12002 Aín;Total;2017;129
12002 Aín;Total;2016;122
12003 Albocàsser;Total;2025;1,370
12003 Albocàsser;Total;2024;1,338
12003 Albocàsser;Total;2023;1,302
12003 Albocàsser;Total;2022;1,264
12003 Albocàsser;Total;2021;1,253
12003 Albocàsser;Total;2020;1,227
12003 Albocàsser;Total;2019;1,241
12003 Albocàsser;Total;2018;1,234
12003 Albocàsser;Total;2017;1,257
12003 Albocàsser;Total;2016;1,303
12004 Alcalà de Xivert;Total;2025;7,349
12004 Alcalà de Xivert;Total;2024;7,176
12004 Alcalà de Xivert;Total;2023;7,160
12004 Alcalà de Xivert;Total;2022;6,831
12004 Alcalà de Xivert;Total;2021;6,691
12004 Alcalà de Xivert;Total;2020;6,638
12004 Alcalà de Xivert;Total;2019;6,680
12004 Alcalà de Xivert;Total;2018;6,679
12004 Alcalà de Xivert;Total;2017;6,796
12004 Alcalà de Xivert;Total;2016;6,893
12005 Alcora, l';Total;2025;10,664
12005 Alcora, l';Total;2024;10,581
12005 Alcora, l';Total;2023;10,526
12005 Alcora, l';Total;2022;10,468
12005 Alcora, l';Total;2021;10,428
12005 Alcora, l';Total;2020;10,417
12005 Alcora, l';Total;2019;10,405
12005 Alcora, l';Total;2018;10,430
12005 Alcora, l';Total;2017;10,502
12005 Alcora, l';Total;2016;10,535
12006 Alcudia de Veo;Total;2025;200
12006 Alcudia de Veo;Total;2024;213
12006 Alcudia de Veo;Total;2023;203
12006 Alcudia de Veo;Total;2022;195
12006 Alcudia de Veo;Total;2021;196
12006 Alcudia de Veo;Total;2020;188
12006 Alcudia de Veo;Total;2019;190
12006 Alcudia de Veo;Total;2018;201
12006 Alcudia de Veo;Total;2017;204
12006 Alcudia de Veo;Total;2016;201
12007 Alfondeguilla;Total;2025;881
12007 Alfondeguilla;Total;2024;870
12007 Alfondeguilla;Total;2023;873
12007 Alfondeguilla;Total;2022;877
12007 Alfondeguilla;Total;2021;870
12007 Alfondeguilla;Total;2020;862
12007 Alfondeguilla;Total;2019;866
12007 Alfondeguilla;Total;2018;862
12007 Alfondeguilla;Total;2017;870
12007 Alfondeguilla;Total;2016;894
12008 Algimia de Almonacid;Total;2025;254
12008 Algimia de Almonacid;Total;2024;258
12008 Algimia de Almonacid;Total;2023;249
12008 Algimia de Almonacid;Total;2022;247
12008 Algimia de Almonacid;Total;2021;240
12008 Algimia de Almonacid;Total;2020;262
12008 Algimia de Almonacid;Total;2019;263
12008 Algimia de Almonacid;Total;2018;259
12008 Algimia de Almonacid;Total;2017;268
12008 Algimia de Almonacid;Total;2016;265
12009 Almassora;Total;2025;29,159
12009 Almassora;Total;2024;28,497
12009 Almassora;Total;2023;27,989
12009 Almassora;Total;2022;27,383
12009 Almassora;Total;2021;26,878
12009 Almassora;Total;2020;26,742
12009 Almassora;Total;2019;26,270
12009 Almassora;Total;2018;25,831
12009 Almassora;Total;2017;25,648
12009 Almassora;Total;2016;25,632
12010 Almedíjar;Total;2025;288
12010 Almedíjar;Total;2024;288
12010 Almedíjar;Total;2023;280
12010 Almedíjar;Total;2022;269
12010 Almedíjar;Total;2021;254
12010 Almedíjar;Total;2020;244
12010 Almedíjar;Total;2019;254
12010 Almedíjar;Total;2018;256
12010 Almedíjar;Total;2017;270
12010 Almedíjar;Total;2016;281
12011 Almenara;Total;2025;6,813
12011 Almenara;Total;2024;6,710
12011 Almenara;Total;2023;6,591
12011 Almenara;Total;2022;6,388
12011 Almenara;Total;2021;6,254
12011 Almenara;Total;2020;6,090
12011 Almenara;Total;2019;5,998
12011 Almenara;Total;2018;5,900
12011 Almenara;Total;2017;5,920
12011 Almenara;Total;2016;5,949
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2025;4,605
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2024;4,563
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2023;4,539
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2022;4,511
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2021;4,539
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2020;4,464
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2019;4,449
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2018;4,460
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2017;4,466
12901 Alqueries, les/Alquerías del Niño Perdido;Total;2016;4,528
12012 Altura;Total;2025;3,849
12012 Altura;Total;2024;3,790
12012 Altura;Total;2023;3,695
12012 Altura;Total;2022;3,667
12012 Altura;Total;2021;3,658
12012 Altura;Total;2020;3,601
12012 Altura;Total;2019;3,528
12012 Altura;Total;2018;3,509
12012 Altura;Total;2017;3,559
12012 Altura;Total;2016;3,621
12013 Arañuel;Total;2025;148
12013 Arañuel;Total;2024;159
12013 Arañuel;Total;2023;165
12013 Arañuel;Total;2022;162
12013 Arañuel;Total;2021;152
12013 Arañuel;Total;2020;151
12013 Arañuel;Total;2019;150
12013 Arañuel;Total;2018;146
12013 Arañuel;Total;2017;151
12013 Arañuel;Total;2016;160
12014 Ares del Maestrat;Total;2025;181
12014 Ares del Maestrat;Total;2024;177
12014 Ares del Maestrat;Total;2023;174
12014 Ares del Maestrat;Total;2022;173
12014 Ares del Maestrat;Total;2021;175
12014 Ares del Maestrat;Total;2020;184
12014 Ares del Maestrat;Total;2019;186
12014 Ares del Maestrat;Total;2018;190
12014 Ares del Maestrat;Total;2017;197
12014 Ares del Maestrat;Total;2016;202
12015 Argelita;Total;2025;139
12015 Argelita;Total;2024;146
12015 Argelita;Total;2023;156
12015 Argelita;Total;2022;153
12015 Argelita;Total;2021;147
12015 Argelita;Total;2020;126
12015 Argelita;Total;2019;118
12015 Argelita;Total;2018;113
12015 Argelita;Total;2017;94
12015 Argelita;Total;2016;97
12016 Artana;Total;2025;1,993
12016 Artana;Total;2024;1,971
12016 Artana;Total;2023;1,980
12016 Artana;Total;2022;1,979
12016 Artana;Total;2021;1,970
12016 Artana;Total;2020;1,955
12016 Artana;Total;2019;1,947
12016 Artana;Total;2018;1,958
12016 Artana;Total;2017;1,979
12016 Artana;Total;2016;1,979
12001 Atzeneta del Maestrat;Total;2025;1,284
12001 Atzeneta del Maestrat;Total;2024;1,309
12001 Atzeneta del Maestrat;Total;2023;1,319
12001 Atzeneta del Maestrat;Total;2022;1,287
12001 Atzeneta del Maestrat;Total;2021;1,292
12001 Atzeneta del Maestrat;Total;2020;1,304
12001 Atzeneta del Maestrat;Total;2019;1,276
12001 Atzeneta del Maestrat;Total;2018;1,271
12001 Atzeneta del Maestrat;Total;2017;1,290
12001 Atzeneta del Maestrat;Total;2016;1,286
12017 Ayódar;Total;2025;176
12017 Ayódar;Total;2024;182
12017 Ayódar;Total;2023;178
12017 Ayódar;Total;2022;156
12017 Ayódar;Total;2021;158
12017 Ayódar;Total;2020;153
12017 Ayódar;Total;2019;159
12017 Ayódar;Total;2018;164
12017 Ayódar;Total;2017;165
12017 Ayódar;Total;2016;172
12018 Azuébar;Total;2025;359
12018 Azuébar;Total;2024;352
12018 Azuébar;Total;2023;336
12018 Azuébar;Total;2022;318
12018 Azuébar;Total;2021;319
12018 Azuébar;Total;2020;310
12018 Azuébar;Total;2019;315
12018 Azuébar;Total;2018;324
12018 Azuébar;Total;2017;324
12018 Azuébar;Total;2016;322
12020 Barracas;Total;2025;188
12020 Barracas;Total;2024;195
12020 Barracas;Total;2023;198
12020 Barracas;Total;2022;185
12020 Barracas;Total;2021;185
12020 Barracas;Total;2020;168
12020 Barracas;Total;2019;162
12020 Barracas;Total;2018;169
12020 Barracas;Total;2017;165
12020 Barracas;Total;2016;179
12022 Bejís;Total;2025;400
12022 Bejís;Total;2024;400
12022 Bejís;Total;2023;409
12022 Bejís;Total;2022;393
12022 Bejís;Total;2021;390
12022 Bejís;Total;2020;371
12022 Bejís;Total;2019;380
12022 Bejís;Total;2018;373
12022 Bejís;Total;2017;378
12022 Bejís;Total;2016;404
