Municipalities;Sex;Period;Total
12024 Benafer;Total;2025;168
12024 Benafer;Total;2024;170
12024 Benafer;Total;2023;164
12024 Benafer;Total;2022;171
12024 Benafer;Total;2021;173
12024 Benafer;Total;2020;164
12024 Benafer;Total;2019;152
12024 Benafer;Total;2018;156
12024 Benafer;Total;2017;159
12024 Benafer;Total;2016;164
12025 Benafigos;Total;2025;121
12025 Benafigos;Total;2024;126
12025 Benafigos;Total;2023;135
12025 Benafigos;Total;2022;136
12025 Benafigos;Total;2021;145
12025 Benafigos;Total;2020;138
12025 Benafigos;Total;2019;142
12025 Benafigos;Total;2018;149
12025 Benafigos;Total;2017;148
12025 Benafigos;Total;2016;160
12026 Benassal;Total;2025;1,048
12026 Benassal;Total;2024;1,052
12026 Benassal;Total;2023;1,026
12026 Benassal;Total;2022;1,040
12026 Benassal;Total;2021;1,055
12026 Benassal;Total;2020;1,063
12026 Benassal;Total;2019;1,068
12026 Benassal;Total;2018;1,084
12026 Benassal;Total;2017;1,106
12026 Benassal;Total;2016;1,130
12027 Benicarló;Total;2025;30,296
12027 Benicarló;Total;2024;29,607
12027 Benicarló;Total;2023;28,681
12027 Benicarló;Total;2022;27,780
12027 Benicarló;Total;2021;27,658
12027 Benicarló;Total;2020;27,363
12027 Benicarló;Total;2019;26,912
12027 Benicarló;Total;2018;26,744
12027 Benicarló;Total;2017;26,429
12027 Benicarló;Total;2016;26,486
12028 Benicàssim/Benicasim;Total;2025;20,539
12028 Benicàssim/Benicasim;Total;2024;20,322
12028 Benicàssim/Benicasim;Total;2023;19,951
12028 Benicàssim/Benicasim;Total;2022;19,507
12028 Benicàssim/Benicasim;Total;2021;18,991
12028 Benicàssim/Benicasim;Total;2020;18,364
12028 Benicàssim/Benicasim;Total;2019;18,192
12028 Benicàssim/Benicasim;Total;2018;18,055
12028 Benicàssim/Benicasim;Total;2017;17,964
12028 Benicàssim/Benicasim;Total;2016;17,957
12029 Benlloc;Total;2025;1,143
12029 Benlloc;Total;2024;1,115
12029 Benlloc;Total;2023;1,108
12029 Benlloc;Total;2022;1,092
12029 Benlloc;Total;2021;1,075
12029 Benlloc;Total;2020;1,048
12029 Benlloc;Total;2019;1,033
12029 Benlloc;Total;2018;1,036
12029 Benlloc;Total;2017;1,060
12029 Benlloc;Total;2016;1,095
12021 Betxí;Total;2025;5,659
12021 Betxí;Total;2024;5,592
12021 Betxí;Total;2023;5,580
12021 Betxí;Total;2022;5,587
12021 Betxí;Total;2021;5,605
12021 Betxí;Total;2020;5,618
12021 Betxí;Total;2019;5,645
12021 Betxí;Total;2018;5,709
12021 Betxí;Total;2017;5,750
12021 Betxí;Total;2016;5,780
12032 Borriana/Burriana;Total;2025;37,915
12032 Borriana/Burriana;Total;2024;36,927
12032 Borriana/Burriana;Total;2023;35,750
12032 Borriana/Burriana;Total;2022;35,019
12032 Borriana/Burriana;Total;2021;34,903
12032 Borriana/Burriana;Total;2020;35,052
12032 Borriana/Burriana;Total;2019;34,683
12032 Borriana/Burriana;Total;2018;34,544
12032 Borriana/Burriana;Total;2017;34,464
12032 Borriana/Burriana;Total;2016;34,643
12031 Borriol;Total;2025;6,018
12031 Borriol;Total;2024;5,945
12031 Borriol;Total;2023;5,865
12031 Borriol;Total;2022;5,749
12031 Borriol;Total;2021;5,552
12031 Borriol;Total;2020;5,397
12031 Borriol;Total;2019;5,360
12031 Borriol;Total;2018;5,322
12031 Borriol;Total;2017;5,279
12031 Borriol;Total;2016;5,187
12033 Cabanes;Total;2025;3,475
12033 Cabanes;Total;2024;3,313
12033 Cabanes;Total;2023;3,222
12033 Cabanes;Total;2022;3,079
12033 Cabanes;Total;2021;3,027
12033 Cabanes;Total;2020;2,978
12033 Cabanes;Total;2019;2,958
12033 Cabanes;Total;2018;2,889
12033 Cabanes;Total;2017;2,913
12033 Cabanes;Total;2016;2,966
12034 Càlig;Total;2025;2,042
12034 Càlig;Total;2024;2,048
12034 Càlig;Total;2023;2,013
12034 Càlig;Total;2022;1,990
12034 Càlig;Total;2021;2,002
12034 Càlig;Total;2020;1,961
12034 Càlig;Total;2019;1,950
12034 Càlig;Total;2018;1,945
12034 Càlig;Total;2017;1,959
12034 Càlig;Total;2016;2,020
12036 Canet lo Roig;Total;2025;715
12036 Canet lo Roig;Total;2024;699
12036 Canet lo Roig;Total;2023;685
12036 Canet lo Roig;Total;2022;680
12036 Canet lo Roig;Total;2021;687
12036 Canet lo Roig;Total;2020;676
12036 Canet lo Roig;Total;2019;674
12036 Canet lo Roig;Total;2018;696
12036 Canet lo Roig;Total;2017;706
12036 Canet lo Roig;Total;2016;724
12037 Castell de Cabres;Total;2025;21
12037 Castell de Cabres;Total;2024;22
12037 Castell de Cabres;Total;2023;19
12037 Castell de Cabres;Total;2022;20
12037 Castell de Cabres;Total;2021;22
12037 Castell de Cabres;Total;2020;22
12037 Castell de Cabres;Total;2019;17
12037 Castell de Cabres;Total;2018;19
12037 Castell de Cabres;Total;2017;17
12037 Castell de Cabres;Total;2016;17
12038 Castellfort;Total;2025;178
12038 Castellfort;Total;2024;190
12038 Castellfort;Total;2023;188
12038 Castellfort;Total;2022;188
12038 Castellfort;Total;2021;179
12038 Castellfort;Total;2020;179
12038 Castellfort;Total;2019;183
12038 Castellfort;Total;2018;192
12038 Castellfort;Total;2017;198
12038 Castellfort;Total;2016;205
12039 Castellnovo;Total;2025;912
12039 Castellnovo;Total;2024;884
12039 Castellnovo;Total;2023;888
12039 Castellnovo;Total;2022;893
12039 Castellnovo;Total;2021;914
12039 Castellnovo;Total;2020;918
12039 Castellnovo;Total;2019;917
12039 Castellnovo;Total;2018;946
12039 Castellnovo;Total;2017;966
12039 Castellnovo;Total;2016;981
12040 Castelló de la Plana/Castellón de la Plana;Total;2025;183,711
12040 Castelló de la Plana/Castellón de la Plana;Total;2024;180,379
12040 Castelló de la Plana/Castellón de la Plana;Total;2023;176,238
12040 Castelló de la Plana/Castellón de la Plana;Total;2022;171,857
12040 Castelló de la Plana/Castellón de la Plana;Total;2021;172,589
12040 Castelló de la Plana/Castellón de la Plana;Total;2020;174,264
12040 Castelló de la Plana/Castellón de la Plana;Total;2019;171,728
12040 Castelló de la Plana/Castellón de la Plana;Total;2018;170,888
12040 Castelló de la Plana/Castellón de la Plana;Total;2017;169,498
12040 Castelló de la Plana/Castellón de la Plana;Total;2016;170,990
12 Castellón/Castelló;Total;2025;627,173
12 Castellón/Castelló;Total;2024;615,849
12 Castellón/Castelló;Total;2023;603,952
12 Castellón/Castelló;Total;2022;590,616
12 Castellón/Castelló;Total;2021;587,064
12 Castellón/Castelló;Total;2020;585,590
12 Castellón/Castelló;Total;2019;579,962
12 Castellón/Castelló;Total;2018;576,898
12 Castellón/Castelló;Total;2017;575,470
12 Castellón/Castelló;Total;2016;579,245
12041 Castillo de Villamalefa;Total;2025;110
12041 Castillo de Villamalefa;Total;2024;113
12041 Castillo de Villamalefa;Total;2023;109
12041 Castillo de Villamalefa;Total;2022;112
12041 Castillo de Villamalefa;Total;2021;103
12041 Castillo de Villamalefa;Total;2020;101
12041 Castillo de Villamalefa;Total;2019;107
12041 Castillo de Villamalefa;Total;2018;101
12041 Castillo de Villamalefa;Total;2017;103
12041 Castillo de Villamalefa;Total;2016;103
12042 Catí;Total;2025;719
12042 Catí;Total;2024;760
12042 Catí;Total;2023;724
12042 Catí;Total;2022;711
12042 Catí;Total;2021;714
12042 Catí;Total;2020;714
12042 Catí;Total;2019;721
12042 Catí;Total;2018;742
12042 Catí;Total;2017;757
12042 Catí;Total;2016;779
12043 Caudiel;Total;2025;735
12043 Caudiel;Total;2024;722
12043 Caudiel;Total;2023;716
12043 Caudiel;Total;2022;674
12043 Caudiel;Total;2021;663
12043 Caudiel;Total;2020;659
12043 Caudiel;Total;2019;664
12043 Caudiel;Total;2018;647
12043 Caudiel;Total;2017;653
12043 Caudiel;Total;2016;673
12044 Cervera del Maestre;Total;2025;617
12044 Cervera del Maestre;Total;2024;643
12044 Cervera del Maestre;Total;2023;656
12044 Cervera del Maestre;Total;2022;593
12044 Cervera del Maestre;Total;2021;577
12044 Cervera del Maestre;Total;2020;557
12044 Cervera del Maestre;Total;2019;575
12044 Cervera del Maestre;Total;2018;599
12044 Cervera del Maestre;Total;2017;620
12044 Cervera del Maestre;Total;2016;642
12053 Chilches/Xilxes;Total;2025;3,199
12053 Chilches/Xilxes;Total;2024;3,094
12053 Chilches/Xilxes;Total;2023;2,981
12053 Chilches/Xilxes;Total;2022;2,846
12053 Chilches/Xilxes;Total;2021;2,795
12053 Chilches/Xilxes;Total;2020;2,714
12053 Chilches/Xilxes;Total;2019;2,679
12053 Chilches/Xilxes;Total;2018;2,670
12053 Chilches/Xilxes;Total;2017;2,658
12053 Chilches/Xilxes;Total;2016;2,677
12056 Chóvar;Total;2025;316
12056 Chóvar;Total;2024;312
12056 Chóvar;Total;2023;310
12056 Chóvar;Total;2022;304
12056 Chóvar;Total;2021;302
12056 Chóvar;Total;2020;288
12056 Chóvar;Total;2019;288
12056 Chóvar;Total;2018;297
12056 Chóvar;Total;2017;303
12056 Chóvar;Total;2016;327
12045 Cinctorres;Total;2025;433
12045 Cinctorres;Total;2024;442
12045 Cinctorres;Total;2023;427
12045 Cinctorres;Total;2022;412
12045 Cinctorres;Total;2021;404
12045 Cinctorres;Total;2020;400
12045 Cinctorres;Total;2019;391
12045 Cinctorres;Total;2018;399
12045 Cinctorres;Total;2017;411
12045 Cinctorres;Total;2016;418
12046 Cirat;Total;2025;220
12046 Cirat;Total;2024;214
12046 Cirat;Total;2023;223
12046 Cirat;Total;2022;226
12046 Cirat;Total;2021;211
12046 Cirat;Total;2020;206
12046 Cirat;Total;2019;201
12046 Cirat;Total;2018;206
12046 Cirat;Total;2017;216
12046 Cirat;Total;2016;220
12048 Cortes de Arenoso;Total;2025;308
12048 Cortes de Arenoso;Total;2024;311
12048 Cortes de Arenoso;Total;2023;304
12048 Cortes de Arenoso;Total;2022;293
12048 Cortes de Arenoso;Total;2021;291
12048 Cortes de Arenoso;Total;2020;300
12048 Cortes de Arenoso;Total;2019;318
12048 Cortes de Arenoso;Total;2018;317
12048 Cortes de Arenoso;Total;2017;298
12048 Cortes de Arenoso;Total;2016;300
12049 Costur;Total;2025;511
12049 Costur;Total;2024;535
12049 Costur;Total;2023;535
12049 Costur;Total;2022;528
12049 Costur;Total;2021;531
12049 Costur;Total;2020;518
12049 Costur;Total;2019;524
12049 Costur;Total;2018;511
12049 Costur;Total;2017;532
12049 Costur;Total;2016;543
12050 Coves de Vinromà, les;Total;2025;1,888
12050 Coves de Vinromà, les;Total;2024;1,865
12050 Coves de Vinromà, les;Total;2023;1,831
12050 Coves de Vinromà, les;Total;2022;1,791
12050 Coves de Vinromà, les;Total;2021;1,792
12050 Coves de Vinromà, les;Total;2020;1,806
12050 Coves de Vinromà, les;Total;2019;1,823
12050 Coves de Vinromà, les;Total;2018;1,822
12050 Coves de Vinromà, les;Total;2017;1,836
12050 Coves de Vinromà, les;Total;2016;1,870
12051 Culla;Total;2025;503
12051 Culla;Total;2024;493
12051 Culla;Total;2023;480
12051 Culla;Total;2022;499
12051 Culla;Total;2021;510
12051 Culla;Total;2020;481
12051 Culla;Total;2019;495
12051 Culla;Total;2018;504
12051 Culla;Total;2017;516
12051 Culla;Total;2016;524
12057 Eslida;Total;2025;815
12057 Eslida;Total;2024;785
12057 Eslida;Total;2023;758
12057 Eslida;Total;2022;742
12057 Eslida;Total;2021;749
12057 Eslida;Total;2020;725
12057 Eslida;Total;2019;759
12057 Eslida;Total;2018;776
12057 Eslida;Total;2017;774
12057 Eslida;Total;2016;805
12058 Espadilla;Total;2025;101
12058 Espadilla;Total;2024;89
12058 Espadilla;Total;2023;90
12058 Espadilla;Total;2022;92
12058 Espadilla;Total;2021;84
12058 Espadilla;Total;2020;69
12058 Espadilla;Total;2019;71
12058 Espadilla;Total;2018;72
12058 Espadilla;Total;2017;73
12058 Espadilla;Total;2016;83
12059 Fanzara;Total;2025;295
12059 Fanzara;Total;2024;297
12059 Fanzara;Total;2023;294
12059 Fanzara;Total;2022;283
12059 Fanzara;Total;2021;273
12059 Fanzara;Total;2020;273
12059 Fanzara;Total;2019;267
12059 Fanzara;Total;2018;276
12059 Fanzara;Total;2017;272
12059 Fanzara;Total;2016;281
12060 Figueroles;Total;2025;525
12060 Figueroles;Total;2024;518
12060 Figueroles;Total;2023;518
12060 Figueroles;Total;2022;518
12060 Figueroles;Total;2021;531
12060 Figueroles;Total;2020;523
12060 Figueroles;Total;2019;523
12060 Figueroles;Total;2018;525
12060 Figueroles;Total;2017;537
12060 Figueroles;Total;2016;542
12061 Forcall;Total;2025;475
12061 Forcall;Total;2024;477
12061 Forcall;Total;2023;473
12061 Forcall;Total;2022;465
12061 Forcall;Total;2021;454
12061 Forcall;Total;2020;456
12061 Forcall;Total;2019;465
12061 Forcall;Total;2018;453
12061 Forcall;Total;2017;438
12061 Forcall;Total;2016;461
12063 Fuente la Reina;Total;2025;55
12063 Fuente la Reina;Total;2024;59
12063 Fuente la Reina;Total;2023;59
12063 Fuente la Reina;Total;2022;58
12063 Fuente la Reina;Total;2021;49
12063 Fuente la Reina;Total;2020;51
12063 Fuente la Reina;Total;2019;52
12063 Fuente la Reina;Total;2018;49
12063 Fuente la Reina;Total;2017;43
12063 Fuente la Reina;Total;2016;46
12064 Fuentes de Ayódar;Total;2025;98
12064 Fuentes de Ayódar;Total;2024;95
12064 Fuentes de Ayódar;Total;2023;98
12064 Fuentes de Ayódar;Total;2022;95
12064 Fuentes de Ayódar;Total;2021;93
12064 Fuentes de Ayódar;Total;2020;89
12064 Fuentes de Ayódar;Total;2019;87
12064 Fuentes de Ayódar;Total;2018;94
12064 Fuentes de Ayódar;Total;2017;106
12064 Fuentes de Ayódar;Total;2016;114
12065 Gaibiel;Total;2025;200
12065 Gaibiel;Total;2024;199
12065 Gaibiel;Total;2023;197
12065 Gaibiel;Total;2022;201
12065 Gaibiel;Total;2021;186
12065 Gaibiel;Total;2020;181
12065 Gaibiel;Total;2019;188
12065 Gaibiel;Total;2018;193
12065 Gaibiel;Total;2017;199
12065 Gaibiel;Total;2016;205
12067 Geldo;Total;2025;665
12067 Geldo;Total;2024;651
12067 Geldo;Total;2023;650
12067 Geldo;Total;2022;643
12067 Geldo;Total;2021;628
12067 Geldo;Total;2020;633
12067 Geldo;Total;2019;635
12067 Geldo;Total;2018;633
12067 Geldo;Total;2017;633
12067 Geldo;Total;2016;646
12068 Herbers;Total;2025;68
12068 Herbers;Total;2024;69
12068 Herbers;Total;2023;62
12068 Herbers;Total;2022;63
12068 Herbers;Total;2021;53
12068 Herbers;Total;2020;44
12068 Herbers;Total;2019;42
12068 Herbers;Total;2018;49
12068 Herbers;Total;2017;48
12068 Herbers;Total;2016;49
12069 Higueras;Total;2025;54
12069 Higueras;Total;2024;46
12069 Higueras;Total;2023;50
12069 Higueras;Total;2022;46
12069 Higueras;Total;2021;49
12069 Higueras;Total;2020;48
12069 Higueras;Total;2019;54
12069 Higueras;Total;2018;62
12069 Higueras;Total;2017;71
12069 Higueras;Total;2016;76
12070 Jana, la;Total;2025;679
12070 Jana, la;Total;2024;688
12070 Jana, la;Total;2023;678
12070 Jana, la;Total;2022;669
12070 Jana, la;Total;2021;664
12070 Jana, la;Total;2020;676
12070 Jana, la;Total;2019;675
12070 Jana, la;Total;2018;666
12070 Jana, la;Total;2017;684
12070 Jana, la;Total;2016;700
12071 Jérica;Total;2025;1,764
12071 Jérica;Total;2024;1,726
12071 Jérica;Total;2023;1,794
12071 Jérica;Total;2022;1,655
12071 Jérica;Total;2021;1,650
12071 Jérica;Total;2020;1,559
12071 Jérica;Total;2019;1,548
12071 Jérica;Total;2018;1,553
12071 Jérica;Total;2017;1,550
12071 Jérica;Total;2016;1,574
12074 Llosa, la;Total;2025;1,033
12074 Llosa, la;Total;2024;1,042
12074 Llosa, la;Total;2023;1,003
12074 Llosa, la;Total;2022;969
12074 Llosa, la;Total;2021;983
12074 Llosa, la;Total;2020;982
12074 Llosa, la;Total;2019;951
12074 Llosa, la;Total;2018;940
12074 Llosa, la;Total;2017;973
12074 Llosa, la;Total;2016;969
12072 Llucena/Lucena del Cid;Total;2025;1,421
12072 Llucena/Lucena del Cid;Total;2024;1,420
12072 Llucena/Lucena del Cid;Total;2023;1,369
12072 Llucena/Lucena del Cid;Total;2022;1,325
12072 Llucena/Lucena del Cid;Total;2021;1,308
12072 Llucena/Lucena del Cid;Total;2020;1,315
12072 Llucena/Lucena del Cid;Total;2019;1,302
12072 Llucena/Lucena del Cid;Total;2018;1,319
12072 Llucena/Lucena del Cid;Total;2017;1,331
12072 Llucena/Lucena del Cid;Total;2016;1,372
12073 Ludiente;Total;2025;162
12073 Ludiente;Total;2024;175
12073 Ludiente;Total;2023;155
12073 Ludiente;Total;2022;140
12073 Ludiente;Total;2021;155
12073 Ludiente;Total;2020;149
12073 Ludiente;Total;2019;141
12073 Ludiente;Total;2018;155
12073 Ludiente;Total;2017;160
12073 Ludiente;Total;2016;170
12075 Mata de Morella, la;Total;2025;196
12075 Mata de Morella, la;Total;2024;184
12075 Mata de Morella, la;Total;2023;179
12075 Mata de Morella, la;Total;2022;179
12075 Mata de Morella, la;Total;2021;169
12075 Mata de Morella, la;Total;2020;160
12075 Mata de Morella, la;Total;2019;166
12075 Mata de Morella, la;Total;2018;162
12075 Mata de Morella, la;Total;2017;173
12075 Mata de Morella, la;Total;2016;173
12076 Matet;Total;2025;94
12076 Matet;Total;2024;91
12076 Matet;Total;2023;84
12076 Matet;Total;2022;78
12076 Matet;Total;2021;73
12076 Matet;Total;2020;83
12076 Matet;Total;2019;84
12076 Matet;Total;2018;84
12076 Matet;Total;2017;86
12076 Matet;Total;2016;87
12077 Moncofa;Total;2025;8,339
12077 Moncofa;Total;2024;8,011
12077 Moncofa;Total;2023;7,747
12077 Moncofa;Total;2022;7,338
12077 Moncofa;Total;2021;6,958
12077 Moncofa;Total;2020;6,707
12077 Moncofa;Total;2019;6,525
12077 Moncofa;Total;2018;6,278
12077 Moncofa;Total;2017;6,092
12077 Moncofa;Total;2016;6,181
12078 Montán;Total;2025;429
12078 Montán;Total;2024;421
12078 Montán;Total;2023;399
12078 Montán;Total;2022;375
12078 Montán;Total;2021;365
12078 Montán;Total;2020;368
12078 Montán;Total;2019;370
12078 Montán;Total;2018;359
12078 Montán;Total;2017;365
12078 Montán;Total;2016;383
12079 Montanejos;Total;2025;649
12079 Montanejos;Total;2024;643
12079 Montanejos;Total;2023;603
12079 Montanejos;Total;2022;553
12079 Montanejos;Total;2021;544
12079 Montanejos;Total;2020;564
12079 Montanejos;Total;2019;572
12079 Montanejos;Total;2018;548
12079 Montanejos;Total;2017;502
12079 Montanejos;Total;2016;539
12080 Morella;Total;2025;2,501
12080 Morella;Total;2024;2,494
12080 Morella;Total;2023;2,492
12080 Morella;Total;2022;2,475
12080 Morella;Total;2021;2,406
12080 Morella;Total;2020;2,416
12080 Morella;Total;2019;2,430
12080 Morella;Total;2018;2,437
12080 Morella;Total;2017;2,441
12080 Morella;Total;2016;2,504
12081 Navajas;Total;2025;906
12081 Navajas;Total;2024;846
12081 Navajas;Total;2023;840
12081 Navajas;Total;2022;781
12081 Navajas;Total;2021;750
12081 Navajas;Total;2020;720
12081 Navajas;Total;2019;716
12081 Navajas;Total;2018;712
12081 Navajas;Total;2017;714
12081 Navajas;Total;2016;745
12082 Nules;Total;2025;14,315
12082 Nules;Total;2024;14,062
12082 Nules;Total;2023;13,827
12082 Nules;Total;2022;13,449
