Municipalities;Sex;Period;Total
03002 Agost;Total;2025;5,225
03002 Agost;Total;2024;5,107
03002 Agost;Total;2023;5,067
03002 Agost;Total;2022;4,948
03002 Agost;Total;2021;4,906
03002 Agost;Total;2020;4,794
03002 Agost;Total;2019;4,758
03002 Agost;Total;2018;4,713
03002 Agost;Total;2017;4,703
03002 Agost;Total;2016;4,729
03003 Agres;Total;2025;623
03003 Agres;Total;2024;610
03003 Agres;Total;2023;619
03003 Agres;Total;2022;589
03003 Agres;Total;2021;580
03003 Agres;Total;2020;564
03003 Agres;Total;2019;565
03003 Agres;Total;2018;551
03003 Agres;Total;2017;549
03003 Agres;Total;2016;565
03004 Aigües;Total;2025;1,199
03004 Aigües;Total;2024;1,189
03004 Aigües;Total;2023;1,146
03004 Aigües;Total;2022;1,085
03004 Aigües;Total;2021;1,049
03004 Aigües;Total;2020;986
03004 Aigües;Total;2019;963
03004 Aigües;Total;2018;936
03004 Aigües;Total;2017;913
03004 Aigües;Total;2016;921
03014 Alacant/Alicante;Total;2025;366,221
03014 Alacant/Alicante;Total;2024;358,720
03014 Alacant/Alicante;Total;2023;349,282
03014 Alacant/Alicante;Total;2022;338,577
03014 Alacant/Alicante;Total;2021;337,304
03014 Alacant/Alicante;Total;2020;337,482
03014 Alacant/Alicante;Total;2019;334,887
03014 Alacant/Alicante;Total;2018;331,577
03014 Alacant/Alicante;Total;2017;329,988
03014 Alacant/Alicante;Total;2016;330,525
03005 Albatera;Total;2025;13,566
03005 Albatera;Total;2024;13,296
03005 Albatera;Total;2023;13,092
03005 Albatera;Total;2022;12,864
03005 Albatera;Total;2021;12,714
03005 Albatera;Total;2020;12,474
03005 Albatera;Total;2019;12,279
03005 Albatera;Total;2018;12,042
03005 Albatera;Total;2017;11,850
03005 Albatera;Total;2016;11,756
03006 Alcalalí;Total;2025;1,428
03006 Alcalalí;Total;2024;1,406
03006 Alcalalí;Total;2023;1,397
03006 Alcalalí;Total;2022;1,349
03006 Alcalalí;Total;2021;1,336
03006 Alcalalí;Total;2020;1,302
03006 Alcalalí;Total;2019;1,278
03006 Alcalalí;Total;2018;1,298
03006 Alcalalí;Total;2017;1,276
03006 Alcalalí;Total;2016;1,291
03009 Alcoi/Alcoy;Total;2025;61,468
03009 Alcoi/Alcoy;Total;2024;60,372
03009 Alcoi/Alcoy;Total;2023;59,493
03009 Alcoi/Alcoy;Total;2022;58,960
03009 Alcoi/Alcoy;Total;2021;59,128
03009 Alcoi/Alcoy;Total;2020;59,354
03009 Alcoi/Alcoy;Total;2019;58,994
03009 Alcoi/Alcoy;Total;2018;58,977
03009 Alcoi/Alcoy;Total;2017;59,106
03009 Alcoi/Alcoy;Total;2016;59,198
03008 Alcoleja;Total;2025;184
03008 Alcoleja;Total;2024;186
03008 Alcoleja;Total;2023;188
03008 Alcoleja;Total;2022;196
03008 Alcoleja;Total;2021;181
03008 Alcoleja;Total;2020;177
03008 Alcoleja;Total;2019;173
03008 Alcoleja;Total;2018;180
03008 Alcoleja;Total;2017;185
03008 Alcoleja;Total;2016;194
03007 Alcosser;Total;2025;263
03007 Alcosser;Total;2024;259
03007 Alcosser;Total;2023;259
03007 Alcosser;Total;2022;254
03007 Alcosser;Total;2021;243
03007 Alcosser;Total;2020;226
03007 Alcosser;Total;2019;230
03007 Alcosser;Total;2018;229
03007 Alcosser;Total;2017;230
03007 Alcosser;Total;2016;221
03010 Alfafara;Total;2025;419
03010 Alfafara;Total;2024;413
03010 Alfafara;Total;2023;419
03010 Alfafara;Total;2022;417
03010 Alfafara;Total;2021;408
03010 Alfafara;Total;2020;406
03010 Alfafara;Total;2019;410
03010 Alfafara;Total;2018;407
03010 Alfafara;Total;2017;405
03010 Alfafara;Total;2016;399
03011 Alfàs del Pi, l';Total;2025;21,080
03011 Alfàs del Pi, l';Total;2024;20,160
03011 Alfàs del Pi, l';Total;2023;20,518
03011 Alfàs del Pi, l';Total;2022;20,668
03011 Alfàs del Pi, l';Total;2021;20,495
03011 Alfàs del Pi, l';Total;2020;20,042
03011 Alfàs del Pi, l';Total;2019;20,482
03011 Alfàs del Pi, l';Total;2018;20,053
03011 Alfàs del Pi, l';Total;2017;18,394
03011 Alfàs del Pi, l';Total;2016;21,494
03012 Algorfa;Total;2025;3,788
03012 Algorfa;Total;2024;3,684
03012 Algorfa;Total;2023;3,635
03012 Algorfa;Total;2022;3,513
03012 Algorfa;Total;2021;3,396
03012 Algorfa;Total;2020;3,125
03012 Algorfa;Total;2019;2,935
03012 Algorfa;Total;2018;2,838
03012 Algorfa;Total;2017;2,761
03012 Algorfa;Total;2016;3,222
03013 Algueña;Total;2025;1,328
03013 Algueña;Total;2024;1,342
03013 Algueña;Total;2023;1,395
03013 Algueña;Total;2022;1,351
03013 Algueña;Total;2021;1,334
03013 Algueña;Total;2020;1,326
03013 Algueña;Total;2019;1,336
03013 Algueña;Total;2018;1,341
03013 Algueña;Total;2017;1,372
03013 Algueña;Total;2016;1,391
03 Alicante/Alacant;Total;2025;2,030,037
03 Alicante/Alacant;Total;2024;1,991,259
03 Alicante/Alacant;Total;2023;1,950,357
03 Alicante/Alacant;Total;2022;1,901,594
03 Alicante/Alacant;Total;2021;1,881,762
03 Alicante/Alacant;Total;2020;1,879,888
03 Alicante/Alacant;Total;2019;1,858,683
03 Alicante/Alacant;Total;2018;1,838,819
03 Alicante/Alacant;Total;2017;1,825,332
03 Alicante/Alacant;Total;2016;1,836,459
03015 Almoradí;Total;2025;22,965
03015 Almoradí;Total;2024;22,464
03015 Almoradí;Total;2023;21,874
03015 Almoradí;Total;2022;21,401
03015 Almoradí;Total;2021;21,404
03015 Almoradí;Total;2020;21,208
03015 Almoradí;Total;2019;20,803
03015 Almoradí;Total;2018;20,542
03015 Almoradí;Total;2017;20,332
03015 Almoradí;Total;2016;20,138
03016 Almudaina;Total;2025;128
03016 Almudaina;Total;2024;118
03016 Almudaina;Total;2023;110
03016 Almudaina;Total;2022;112
03016 Almudaina;Total;2021;117
03016 Almudaina;Total;2020;109
03016 Almudaina;Total;2019;113
03016 Almudaina;Total;2018;104
03016 Almudaina;Total;2017;113
03016 Almudaina;Total;2016;119
03017 Alqueria d'Asnar, l';Total;2025;519
03017 Alqueria d'Asnar, l';Total;2024;519
03017 Alqueria d'Asnar, l';Total;2023;511
03017 Alqueria d'Asnar, l';Total;2022;489
03017 Alqueria d'Asnar, l';Total;2021;498
03017 Alqueria d'Asnar, l';Total;2020;493
03017 Alqueria d'Asnar, l';Total;2019;493
03017 Alqueria d'Asnar, l';Total;2018;491
03017 Alqueria d'Asnar, l';Total;2017;496
03017 Alqueria d'Asnar, l';Total;2016;517
03018 Altea;Total;2025;24,592
03018 Altea;Total;2024;23,963
03018 Altea;Total;2023;23,820
03018 Altea;Total;2022;23,010
03018 Altea;Total;2021;22,657
03018 Altea;Total;2020;22,558
03018 Altea;Total;2019;22,290
03018 Altea;Total;2018;21,995
03018 Altea;Total;2017;21,813
03018 Altea;Total;2016;21,739
03019 Aspe;Total;2025;22,397
03019 Aspe;Total;2024;21,969
03019 Aspe;Total;2023;21,473
03019 Aspe;Total;2022;21,191
03019 Aspe;Total;2021;21,088
03019 Aspe;Total;2020;20,804
03019 Aspe;Total;2019;20,714
03019 Aspe;Total;2018;20,537
03019 Aspe;Total;2017;20,425
03019 Aspe;Total;2016;20,482
03001 Atzúbia, l';Total;2025;589
03001 Atzúbia, l';Total;2024;594
03001 Atzúbia, l';Total;2023;608
03001 Atzúbia, l';Total;2022;616
03001 Atzúbia, l';Total;2021;609
03001 Atzúbia, l';Total;2020;611
03001 Atzúbia, l';Total;2019;632
03001 Atzúbia, l';Total;2018;661
03001 Atzúbia, l';Total;2017;664
03001 Atzúbia, l';Total;2016;689
03020 Balones;Total;2025;132
03020 Balones;Total;2024;131
03020 Balones;Total;2023;119
03020 Balones;Total;2022;126
03020 Balones;Total;2021;134
03020 Balones;Total;2020;128
03020 Balones;Total;2019;131
03020 Balones;Total;2018;122
03020 Balones;Total;2017;128
03020 Balones;Total;2016;129
03021 Banyeres de Mariola;Total;2025;7,347
03021 Banyeres de Mariola;Total;2024;7,307
03021 Banyeres de Mariola;Total;2023;7,255
03021 Banyeres de Mariola;Total;2022;7,201
03021 Banyeres de Mariola;Total;2021;7,113
03021 Banyeres de Mariola;Total;2020;7,090
03021 Banyeres de Mariola;Total;2019;7,068
03021 Banyeres de Mariola;Total;2018;7,113
03021 Banyeres de Mariola;Total;2017;7,102
