Municipios;Sexo;Periodo;Total
08016 Bagà;Total;2022;2.167
08016 Bagà;Total;2021;2.145
08016 Bagà;Total;2020;2.140
08016 Bagà;Total;2019;2.138
08016 Bagà;Total;2018;2.152
08016 Bagà;Total;2017;2.149
08016 Bagà;Total;2016;2.162
08017 Balenyà;Total;2025;4.021
08017 Balenyà;Total;2024;4.036
08017 Balenyà;Total;2023;3.969
08017 Balenyà;Total;2022;3.948
08017 Balenyà;Total;2021;3.900
08017 Balenyà;Total;2020;3.840
08017 Balenyà;Total;2019;3.821
08017 Balenyà;Total;2018;3.783
08017 Balenyà;Total;2017;3.665
08017 Balenyà;Total;2016;3.705
08018 Balsareny;Total;2025;3.380
08018 Balsareny;Total;2024;3.328
08018 Balsareny;Total;2023;3.307
08018 Balsareny;Total;2022;3.249
08018 Balsareny;Total;2021;3.278
08018 Balsareny;Total;2020;3.192
08018 Balsareny;Total;2019;3.159
08018 Balsareny;Total;2018;3.205
08018 Balsareny;Total;2017;3.240
08018 Balsareny;Total;2016;3.285
08252 Barberà del Vallès;Total;2025;33.987
08252 Barberà del Vallès;Total;2024;33.575
08252 Barberà del Vallès;Total;2023;33.322
08252 Barberà del Vallès;Total;2022;33.082
08252 Barberà del Vallès;Total;2021;33.016
08252 Barberà del Vallès;Total;2020;33.334
08252 Barberà del Vallès;Total;2019;33.091
08252 Barberà del Vallès;Total;2018;32.839
08252 Barberà del Vallès;Total;2017;32.860
08252 Barberà del Vallès;Total;2016;32.832
08019 Barcelona;Total;2025;1.731.649
08019 Barcelona;Total;2024;1.702.547
08019 Barcelona;Total;2023;1.660.122
08019 Barcelona;Total;2022;1.636.193
08019 Barcelona;Total;2021;1.636.732
08019 Barcelona;Total;2020;1.664.182
08019 Barcelona;Total;2019;1.636.762
08019 Barcelona;Total;2018;1.620.343
08019 Barcelona;Total;2017;1.620.809
08019 Barcelona;Total;2016;1.608.746
08 Barcelona;Total;2025;5.983.325
08 Barcelona;Total;2024;5.899.063
08 Barcelona;Total;2023;5.805.500
08 Barcelona;Total;2022;5.727.615
08 Barcelona;Total;2021;5.714.730
08 Barcelona;Total;2020;5.743.402
08 Barcelona;Total;2019;5.664.579
08 Barcelona;Total;2018;5.609.350
08 Barcelona;Total;2017;5.576.037
08 Barcelona;Total;2016;5.542.680
08020 Begues;Total;2025;7.561
08020 Begues;Total;2024;7.462
08020 Begues;Total;2023;7.432
08020 Begues;Total;2022;7.450
08020 Begues;Total;2021;7.356
08020 Begues;Total;2020;7.300
08020 Begues;Total;2019;7.098
08020 Begues;Total;2018;6.961
08020 Begues;Total;2017;6.830
08020 Begues;Total;2016;6.736
08021 Bellprat;Total;2025;69
08021 Bellprat;Total;2024;69
08021 Bellprat;Total;2023;72
08021 Bellprat;Total;2022;74
08021 Bellprat;Total;2021;73
08021 Bellprat;Total;2020;64
08021 Bellprat;Total;2019;64
08021 Bellprat;Total;2018;74
08021 Bellprat;Total;2017;74
08021 Bellprat;Total;2016;75
08022 Berga;Total;2025;17.473
08022 Berga;Total;2024;17.160
08022 Berga;Total;2023;16.959
08022 Berga;Total;2022;16.762
08022 Berga;Total;2021;16.682
08022 Berga;Total;2020;16.760
08022 Berga;Total;2019;16.494
08022 Berga;Total;2018;16.199
08022 Berga;Total;2017;16.115
08022 Berga;Total;2016;16.175
08023 Bigues i Riells del Fai;Total;2025;10.139
08023 Bigues i Riells del Fai;Total;2024;10.036
08023 Bigues i Riells del Fai;Total;2023;9.949
08023 Bigues i Riells del Fai;Total;2022;9.757
08023 Bigues i Riells del Fai;Total;2021;9.542
08023 Bigues i Riells del Fai;Total;2020;9.358
08023 Bigues i Riells del Fai;Total;2019;9.092
08023 Bigues i Riells del Fai;Total;2018;9.003
08023 Bigues i Riells del Fai;Total;2017;8.957
08023 Bigues i Riells del Fai;Total;2016;8.915
08024 Borredà;Total;2025;433
08024 Borredà;Total;2024;419
08024 Borredà;Total;2023;430
08024 Borredà;Total;2022;448
08024 Borredà;Total;2021;455
08024 Borredà;Total;2020;464
08024 Borredà;Total;2019;445
08024 Borredà;Total;2018;456
08024 Borredà;Total;2017;480
08024 Borredà;Total;2016;495
08025 Bruc, El;Total;2025;2.290
08025 Bruc, El;Total;2024;2.288
08025 Bruc, El;Total;2023;2.268
08025 Bruc, El;Total;2022;2.218
08025 Bruc, El;Total;2021;2.177
08025 Bruc, El;Total;2020;2.110
08025 Bruc, El;Total;2019;2.050
08025 Bruc, El;Total;2018;2.027
08025 Bruc, El;Total;2017;1.988
08025 Bruc, El;Total;2016;2.014
08026 Brull, El;Total;2025;296
08026 Brull, El;Total;2024;293
08026 Brull, El;Total;2023;287
08026 Brull, El;Total;2022;278
08026 Brull, El;Total;2021;275
08026 Brull, El;Total;2020;258
08026 Brull, El;Total;2019;263
08026 Brull, El;Total;2018;257
08026 Brull, El;Total;2017;258
08026 Brull, El;Total;2016;263
08027 Cabanyes, Les;Total;2025;1.060
08027 Cabanyes, Les;Total;2024;1.012
08027 Cabanyes, Les;Total;2023;998
08027 Cabanyes, Les;Total;2022;999
08027 Cabanyes, Les;Total;2021;1.005
08027 Cabanyes, Les;Total;2020;979
08027 Cabanyes, Les;Total;2019;964
08027 Cabanyes, Les;Total;2018;965
08027 Cabanyes, Les;Total;2017;947
08027 Cabanyes, Les;Total;2016;943
08028 Cabrera d'Anoia;Total;2025;1.772
08028 Cabrera d'Anoia;Total;2024;1.709
08028 Cabrera d'Anoia;Total;2023;1.665
08028 Cabrera d'Anoia;Total;2022;1.606
08028 Cabrera d'Anoia;Total;2021;1.521
08028 Cabrera d'Anoia;Total;2020;1.482
08028 Cabrera d'Anoia;Total;2019;1.410
08028 Cabrera d'Anoia;Total;2018;1.376
08028 Cabrera d'Anoia;Total;2017;1.364
08028 Cabrera d'Anoia;Total;2016;1.351
08029 Cabrera de Mar;Total;2025;5.045
08029 Cabrera de Mar;Total;2024;5.018
08029 Cabrera de Mar;Total;2023;4.945
08029 Cabrera de Mar;Total;2022;4.848
08029 Cabrera de Mar;Total;2021;4.787
08029 Cabrera de Mar;Total;2020;4.747
08029 Cabrera de Mar;Total;2019;4.680
08029 Cabrera de Mar;Total;2018;4.664
08029 Cabrera de Mar;Total;2017;4.594
08029 Cabrera de Mar;Total;2016;4.553
08030 Cabrils;Total;2025;7.765
08030 Cabrils;Total;2024;7.767
08030 Cabrils;Total;2023;7.799
08030 Cabrils;Total;2022;7.729
08030 Cabrils;Total;2021;7.567
08030 Cabrils;Total;2020;7.432
08030 Cabrils;Total;2019;7.439
08030 Cabrils;Total;2018;7.348
08030 Cabrils;Total;2017;7.296
08030 Cabrils;Total;2016;7.287
08031 Calaf;Total;2025;3.644
08031 Calaf;Total;2024;3.618
08031 Calaf;Total;2023;3.566
08031 Calaf;Total;2022;3.590
08031 Calaf;Total;2021;3.597
08031 Calaf;Total;2020;3.656
08031 Calaf;Total;2019;3.535
08031 Calaf;Total;2018;3.547
08031 Calaf;Total;2017;3.477
08031 Calaf;Total;2016;3.424
08034 Calders;Total;2025;1.122
08034 Calders;Total;2024;1.114
08034 Calders;Total;2023;1.097
08034 Calders;Total;2022;1.101
08034 Calders;Total;2021;1.063
08034 Calders;Total;2020;1.045
08034 Calders;Total;2019;970
08034 Calders;Total;2018;946
08034 Calders;Total;2017;962
08034 Calders;Total;2016;953
08033 Caldes de Montbui;Total;2025;18.567
08033 Caldes de Montbui;Total;2024;18.336
08033 Caldes de Montbui;Total;2023;18.109
08033 Caldes de Montbui;Total;2022;17.932
08033 Caldes de Montbui;Total;2021;17.797
08033 Caldes de Montbui;Total;2020;17.812
08033 Caldes de Montbui;Total;2019;17.554
08033 Caldes de Montbui;Total;2018;17.449
08033 Caldes de Montbui;Total;2017;17.187
08033 Caldes de Montbui;Total;2016;17.137
08032 Caldes d'Estrac;Total;2025;3.356
08032 Caldes d'Estrac;Total;2024;3.259
08032 Caldes d'Estrac;Total;2023;3.223
08032 Caldes d'Estrac;Total;2022;3.148
08032 Caldes d'Estrac;Total;2021;3.097
08032 Caldes d'Estrac;Total;2020;3.021
08032 Caldes d'Estrac;Total;2019;2.982
08032 Caldes d'Estrac;Total;2018;2.859
08032 Caldes d'Estrac;Total;2017;2.823
08032 Caldes d'Estrac;Total;2016;2.766
08035 Calella;Total;2025;20.864
08035 Calella;Total;2024;20.369
08035 Calella;Total;2023;19.862
08035 Calella;Total;2022;19.363
08035 Calella;Total;2021;19.236
08035 Calella;Total;2020;19.277
08035 Calella;Total;2019;19.069
08035 Calella;Total;2018;18.728
08035 Calella;Total;2017;18.481
08035 Calella;Total;2016;18.317
08037 Calldetenes;Total;2025;2.733
08037 Calldetenes;Total;2024;2.690
08037 Calldetenes;Total;2023;2.601
08037 Calldetenes;Total;2022;2.532
08037 Calldetenes;Total;2021;2.504
08037 Calldetenes;Total;2020;2.513
08037 Calldetenes;Total;2019;2.489
08037 Calldetenes;Total;2018;2.497
08037 Calldetenes;Total;2017;2.446
08037 Calldetenes;Total;2016;2.418
08038 Callús;Total;2025;2.180
08038 Callús;Total;2024;2.145
08038 Callús;Total;2023;2.099
08038 Callús;Total;2022;2.122
08038 Callús;Total;2021;2.098
08038 Callús;Total;2020;2.129
08038 Callús;Total;2019;2.140
08038 Callús;Total;2018;2.095
08038 Callús;Total;2017;2.067
08038 Callús;Total;2016;2.057
08036 Calonge de Segarra;Total;2025;179
08036 Calonge de Segarra;Total;2024;174
08036 Calonge de Segarra;Total;2023;188
08036 Calonge de Segarra;Total;2022;195
08036 Calonge de Segarra;Total;2021;194
08036 Calonge de Segarra;Total;2020;188
08036 Calonge de Segarra;Total;2019;188
08036 Calonge de Segarra;Total;2018;191
08036 Calonge de Segarra;Total;2017;198
08036 Calonge de Segarra;Total;2016;191
08039 Campins;Total;2025;586
08039 Campins;Total;2024;606
08039 Campins;Total;2023;589
08039 Campins;Total;2022;557
08039 Campins;Total;2021;540
08039 Campins;Total;2020;541
08039 Campins;Total;2019;529
08039 Campins;Total;2018;515
08039 Campins;Total;2017;498
08039 Campins;Total;2016;470
08040 Canet de Mar;Total;2025;15.198
08040 Canet de Mar;Total;2024;15.140
08040 Canet de Mar;Total;2023;15.010
08040 Canet de Mar;Total;2022;14.845
08040 Canet de Mar;Total;2021;14.810
08040 Canet de Mar;Total;2020;14.865
08040 Canet de Mar;Total;2019;14.526
08040 Canet de Mar;Total;2018;14.583
08040 Canet de Mar;Total;2017;14.423
08040 Canet de Mar;Total;2016;14.284
08041 Canovelles;Total;2025;17.473
08041 Canovelles;Total;2024;17.312
08041 Canovelles;Total;2023;17.051
08041 Canovelles;Total;2022;16.761
08041 Canovelles;Total;2021;16.872
08041 Canovelles;Total;2020;16.829
08041 Canovelles;Total;2019;16.629
08041 Canovelles;Total;2018;16.317
08041 Canovelles;Total;2017;16.145
08041 Canovelles;Total;2016;15.937
08042 Cànoves i Samalús;Total;2025;3.399
08042 Cànoves i Samalús;Total;2024;3.315
08042 Cànoves i Samalús;Total;2023;3.322
08042 Cànoves i Samalús;Total;2022;3.289
08042 Cànoves i Samalús;Total;2021;3.219
08042 Cànoves i Samalús;Total;2020;3.156
08042 Cànoves i Samalús;Total;2019;3.117
08042 Cànoves i Samalús;Total;2018;2.995
08042 Cànoves i Samalús;Total;2017;2.906
08042 Cànoves i Samalús;Total;2016;2.873
08043 Canyelles;Total;2025;5.505
08043 Canyelles;Total;2024;5.367
08043 Canyelles;Total;2023;5.218
08043 Canyelles;Total;2022;5.007
08043 Canyelles;Total;2021;4.886
08043 Canyelles;Total;2020;4.699
08043 Canyelles;Total;2019;4.647
08043 Canyelles;Total;2018;4.481
08043 Canyelles;Total;2017;4.388
08043 Canyelles;Total;2016;4.407
08044 Capellades;Total;2025;5.608
08044 Capellades;Total;2024;5.567
08044 Capellades;Total;2023;5.417
08044 Capellades;Total;2022;5.344
08044 Capellades;Total;2021;5.314
08044 Capellades;Total;2020;5.342
08044 Capellades;Total;2019;5.293
08044 Capellades;Total;2018;5.211
08044 Capellades;Total;2017;5.225
08044 Capellades;Total;2016;5.227
08045 Capolat;Total;2025;93
08045 Capolat;Total;2024;92
08045 Capolat;Total;2023;88
08045 Capolat;Total;2022;89
08045 Capolat;Total;2021;84
08045 Capolat;Total;2020;84
08045 Capolat;Total;2019;94
08045 Capolat;Total;2018;96
08045 Capolat;Total;2017;99
08045 Capolat;Total;2016;93
08046 Cardedeu;Total;2025;19.046
08046 Cardedeu;Total;2024;19.064
08046 Cardedeu;Total;2023;19.023
08046 Cardedeu;Total;2022;18.785
08046 Cardedeu;Total;2021;18.609
08046 Cardedeu;Total;2020;18.424
08046 Cardedeu;Total;2019;18.357
08046 Cardedeu;Total;2018;18.165
08046 Cardedeu;Total;2017;18.210
08046 Cardedeu;Total;2016;18.158
08047 Cardona;Total;2025;4.553
08047 Cardona;Total;2024;4.574
08047 Cardona;Total;2023;4.569
08047 Cardona;Total;2022;4.575
08047 Cardona;Total;2021;4.593
08047 Cardona;Total;2020;4.639
08047 Cardona;Total;2019;4.636
08047 Cardona;Total;2018;4.652
08047 Cardona;Total;2017;4.728
08047 Cardona;Total;2016;4.775
08048 Carme;Total;2025;847
08048 Carme;Total;2024;814
08048 Carme;Total;2023;783
08048 Carme;Total;2022;754
08048 Carme;Total;2021;768
08048 Carme;Total;2020;785
08048 Carme;Total;2019;765
08048 Carme;Total;2018;783
08048 Carme;Total;2017;791
08048 Carme;Total;2016;791
08049 Casserres;Total;2025;1.660
08049 Casserres;Total;2024;1.676
08049 Casserres;Total;2023;1.630
08049 Casserres;Total;2022;1.646
08049 Casserres;Total;2021;1.636
08049 Casserres;Total;2020;1.588
08049 Casserres;Total;2019;1.608
08049 Casserres;Total;2018;1.572
08049 Casserres;Total;2017;1.557
08049 Casserres;Total;2016;1.528
08057 Castell de l'Areny;Total;2025;68
08057 Castell de l'Areny;Total;2024;69
08057 Castell de l'Areny;Total;2023;69
08057 Castell de l'Areny;Total;2022;69
08057 Castell de l'Areny;Total;2021;72
08057 Castell de l'Areny;Total;2020;67
08057 Castell de l'Areny;Total;2019;68
08057 Castell de l'Areny;Total;2018;72
08057 Castell de l'Areny;Total;2017;69
08057 Castell de l'Areny;Total;2016;69
08052 Castellar de n'Hug;Total;2025;166
08052 Castellar de n'Hug;Total;2024;164
08052 Castellar de n'Hug;Total;2023;171
08052 Castellar de n'Hug;Total;2022;176
08052 Castellar de n'Hug;Total;2021;167
08052 Castellar de n'Hug;Total;2020;156
08052 Castellar de n'Hug;Total;2019;159
08052 Castellar de n'Hug;Total;2018;165
08052 Castellar de n'Hug;Total;2017;159
08052 Castellar de n'Hug;Total;2016;157
08050 Castellar del Riu;Total;2025;151
08050 Castellar del Riu;Total;2024;163
08050 Castellar del Riu;Total;2023;169
08050 Castellar del Riu;Total;2022;175
08050 Castellar del Riu;Total;2021;171
08050 Castellar del Riu;Total;2020;176
08050 Castellar del Riu;Total;2019;169
08050 Castellar del Riu;Total;2018;165
08050 Castellar del Riu;Total;2017;166
08050 Castellar del Riu;Total;2016;176
08051 Castellar del Vallès;Total;2025;25.422
08051 Castellar del Vallès;Total;2024;25.322
08051 Castellar del Vallès;Total;2023;25.150
08051 Castellar del Vallès;Total;2022;24.933
08051 Castellar del Vallès;Total;2021;24.659
08051 Castellar del Vallès;Total;2020;24.488
08051 Castellar del Vallès;Total;2019;24.187
08051 Castellar del Vallès;Total;2018;24.036
08051 Castellar del Vallès;Total;2017;23.776
08051 Castellar del Vallès;Total;2016;23.633
08053 Castellbell i el Vilar;Total;2025;4.159
08053 Castellbell i el Vilar;Total;2024;4.138
08053 Castellbell i el Vilar;Total;2023;4.054
08053 Castellbell i el Vilar;Total;2022;3.889
08053 Castellbell i el Vilar;Total;2021;3.853
08053 Castellbell i el Vilar;Total;2020;3.719
08053 Castellbell i el Vilar;Total;2019;3.647
08053 Castellbell i el Vilar;Total;2018;3.599
08053 Castellbell i el Vilar;Total;2017;3.618
08053 Castellbell i el Vilar;Total;2016;3.584
08054 Castellbisbal;Total;2025;13.061
08054 Castellbisbal;Total;2024;12.972
08054 Castellbisbal;Total;2023;12.813
08054 Castellbisbal;Total;2022;12.735
08054 Castellbisbal;Total;2021;12.610
08054 Castellbisbal;Total;2020;12.539
08054 Castellbisbal;Total;2019;12.390
08054 Castellbisbal;Total;2018;12.332
08054 Castellbisbal;Total;2017;12.297
08054 Castellbisbal;Total;2016;12.277
08055 Castellcir;Total;2025;804
08055 Castellcir;Total;2024;784
08055 Castellcir;Total;2023;778
08055 Castellcir;Total;2022;778
08055 Castellcir;Total;2021;753
08055 Castellcir;Total;2020;742
08055 Castellcir;Total;2019;752
08055 Castellcir;Total;2018;728
08055 Castellcir;Total;2017;723
08055 Castellcir;Total;2016;726
08056 Castelldefels;Total;2025;70.057
08056 Castelldefels;Total;2024;69.450
08056 Castelldefels;Total;2023;68.427
08056 Castelldefels;Total;2022;67.307
08056 Castelldefels;Total;2021;67.226
08056 Castelldefels;Total;2020;67.460
08056 Castelldefels;Total;2019;67.004
08056 Castelldefels;Total;2018;66.375
08056 Castelldefels;Total;2017;65.954
08056 Castelldefels;Total;2016;64.892
08058 Castellet i la Gornal;Total;2025;2.776
08058 Castellet i la Gornal;Total;2024;2.674
08058 Castellet i la Gornal;Total;2023;2.572
08058 Castellet i la Gornal;Total;2022;2.474
08058 Castellet i la Gornal;Total;2021;2.452
08058 Castellet i la Gornal;Total;2020;2.382
08058 Castellet i la Gornal;Total;2019;2.292
08058 Castellet i la Gornal;Total;2018;2.247
08058 Castellet i la Gornal;Total;2017;2.233
08058 Castellet i la Gornal;Total;2016;2.193
08060 Castellfollit de Riubregós;Total;2025;153
08060 Castellfollit de Riubregós;Total;2024;151
08060 Castellfollit de Riubregós;Total;2023;162
08060 Castellfollit de Riubregós;Total;2022;159
08060 Castellfollit de Riubregós;Total;2021;163
08060 Castellfollit de Riubregós;Total;2020;162
08060 Castellfollit de Riubregós;Total;2019;151
08060 Castellfollit de Riubregós;Total;2018;156
08060 Castellfollit de Riubregós;Total;2017;160
08060 Castellfollit de Riubregós;Total;2016;165
08059 Castellfollit del Boix;Total;2025;467
08059 Castellfollit del Boix;Total;2024;459
08059 Castellfollit del Boix;Total;2023;461
08059 Castellfollit del Boix;Total;2022;460
08059 Castellfollit del Boix;Total;2021;448
08059 Castellfollit del Boix;Total;2020;447
08059 Castellfollit del Boix;Total;2019;436
08059 Castellfollit del Boix;Total;2018;446
08059 Castellfollit del Boix;Total;2017;440
08059 Castellfollit del Boix;Total;2016;448
08061 Castellgalí;Total;2025;2.413
08061 Castellgalí;Total;2024;2.347
08061 Castellgalí;Total;2023;2.311
08061 Castellgalí;Total;2022;2.236
08061 Castellgalí;Total;2021;2.179
08061 Castellgalí;Total;2020;2.119
08061 Castellgalí;Total;2019;2.062
08061 Castellgalí;Total;2018;2.053
08061 Castellgalí;Total;2017;2.017
08061 Castellgalí;Total;2016;1.995
08062 Castellnou de Bages;Total;2025;1.473
08062 Castellnou de Bages;Total;2024;1.430
08062 Castellnou de Bages;Total;2023;1.427
08062 Castellnou de Bages;Total;2022;1.431
08062 Castellnou de Bages;Total;2021;1.420
08062 Castellnou de Bages;Total;2020;1.437
08062 Castellnou de Bages;Total;2019;1.397
08062 Castellnou de Bages;Total;2018;1.319
08062 Castellnou de Bages;Total;2017;1.303
08062 Castellnou de Bages;Total;2016;1.287
08063 Castellolí;Total;2025;669
08063 Castellolí;Total;2024;658
08063 Castellolí;Total;2023;651
08063 Castellolí;Total;2022;636
08063 Castellolí;Total;2021;653
08063 Castellolí;Total;2020;626
08063 Castellolí;Total;2019;619
08063 Castellolí;Total;2018;610
08063 Castellolí;Total;2017;599
08063 Castellolí;Total;2016;573
08064 Castellterçol;Total;2025;2.754
08064 Castellterçol;Total;2024;2.773
08064 Castellterçol;Total;2023;2.735
08064 Castellterçol;Total;2022;2.655
08064 Castellterçol;Total;2021;2.632
08064 Castellterçol;Total;2020;2.548
08064 Castellterçol;Total;2019;2.463
08064 Castellterçol;Total;2018;2.418
08064 Castellterçol;Total;2017;2.374
08064 Castellterçol;Total;2016;2.351
08065 Castellví de la Marca;Total;2025;1.721
08065 Castellví de la Marca;Total;2024;1.716
08065 Castellví de la Marca;Total;2023;1.674
08065 Castellví de la Marca;Total;2022;1.614
08065 Castellví de la Marca;Total;2021;1.597
08065 Castellví de la Marca;Total;2020;1.575
08065 Castellví de la Marca;Total;2019;1.535
08065 Castellví de la Marca;Total;2018;1.534
08065 Castellví de la Marca;Total;2017;1.554
08065 Castellví de la Marca;Total;2016;1.545
08066 Castellví de Rosanes;Total;2025;2.171
08066 Castellví de Rosanes;Total;2024;2.106
08066 Castellví de Rosanes;Total;2023;2.089
08066 Castellví de Rosanes;Total;2022;2.096
08066 Castellví de Rosanes;Total;2021;1.996
08066 Castellví de Rosanes;Total;2020;1.933
08066 Castellví de Rosanes;Total;2019;1.884
08066 Castellví de Rosanes;Total;2018;1.865
08066 Castellví de Rosanes;Total;2017;1.826
08066 Castellví de Rosanes;Total;2016;1.807
08067 Centelles;Total;2025;7.864
08067 Centelles;Total;2024;7.775
08067 Centelles;Total;2023;7.726
08067 Centelles;Total;2022;7.641
08067 Centelles;Total;2021;7.595
08067 Centelles;Total;2020;7.513
08067 Centelles;Total;2019;7.404
08067 Centelles;Total;2018;7.423
08067 Centelles;Total;2017;7.417
