Geografía;Tipología penal;Periodos:;Total
08015 Badalona;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;3.238
08015 Badalona;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;2
08015 Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;5
08015 Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;23
08015 Badalona;4. Secuestro;enero-marzo 2025;0
08015 Badalona;5. Delitos contra la libertad sexual;enero-marzo 2025;27
08015 Badalona;5.1.-Agresión sexual con penetración;enero-marzo 2025;13
08015 Badalona;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;14
08015 Badalona;6. Robos con violencia e intimidación;enero-marzo 2025;312
08015 Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;108
08015 Badalona;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;73
08015 Badalona;8. Hurtos;enero-marzo 2025;1.048
08015 Badalona;9. Sustracciones de vehículos;enero-marzo 2025;46
08015 Badalona;10. Tráfico de drogas;enero-marzo 2025;27
08015 Badalona;11. Resto de criminalidad convencional;enero-marzo 2025;1.640
08015 Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;517
08015 Badalona;12.-Estafas informáticas;enero-marzo 2025;467
08015 Badalona;13.-Otros ciberdelitos;enero-marzo 2025;50
08015 Badalona;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;3.755
08252 Barberà del Vallès;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;401
08252 Barberà del Vallès;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;0
08252 Barberà del Vallès;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;0
08252 Barberà del Vallès;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;3
08252 Barberà del Vallès;4. Secuestro;enero-marzo 2025;0
08252 Barberà del Vallès;5. Delitos contra la libertad sexual;enero-marzo 2025;5
08252 Barberà del Vallès;5.1.-Agresión sexual con penetración;enero-marzo 2025;4
08252 Barberà del Vallès;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;1
08252 Barberà del Vallès;6. Robos con violencia e intimidación;enero-marzo 2025;12
08252 Barberà del Vallès;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;29
08252 Barberà del Vallès;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;13
08252 Barberà del Vallès;8. Hurtos;enero-marzo 2025;125
08252 Barberà del Vallès;9. Sustracciones de vehículos;enero-marzo 2025;10
08252 Barberà del Vallès;10. Tráfico de drogas;enero-marzo 2025;0
08252 Barberà del Vallès;11. Resto de criminalidad convencional;enero-marzo 2025;217
08252 Barberà del Vallès;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;53
08252 Barberà del Vallès;12.-Estafas informáticas;enero-marzo 2025;52
08252 Barberà del Vallès;13.-Otros ciberdelitos;enero-marzo 2025;1
08252 Barberà del Vallès;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;454
08019 Barcelona;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;36.805
08019 Barcelona;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;3
08019 Barcelona;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;10
08019 Barcelona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;215
08019 Barcelona;4. Secuestro;enero-marzo 2025;0
08019 Barcelona;5. Delitos contra la libertad sexual;enero-marzo 2025;306
08019 Barcelona;5.1.-Agresión sexual con penetración;enero-marzo 2025;119
08019 Barcelona;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;187
08019 Barcelona;6. Robos con violencia e intimidación;enero-marzo 2025;2.621
08019 Barcelona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;1.139
08019 Barcelona;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;703
08019 Barcelona;8. Hurtos;enero-marzo 2025;19.307
08019 Barcelona;9. Sustracciones de vehículos;enero-marzo 2025;680
08019 Barcelona;10. Tráfico de drogas;enero-marzo 2025;572
08019 Barcelona;11. Resto de criminalidad convencional;enero-marzo 2025;11.952
08019 Barcelona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;4.433
08019 Barcelona;12.-Estafas informáticas;enero-marzo 2025;4.141
08019 Barcelona;13.-Otros ciberdelitos;enero-marzo 2025;292
08019 Barcelona;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;41.238
08035 Calella;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;137
08035 Calella;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;0
08035 Calella;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;0
08035 Calella;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;2
08035 Calella;4. Secuestro;enero-marzo 2025;0
08035 Calella;5. Delitos contra la libertad sexual;enero-marzo 2025;2
08035 Calella;5.1.-Agresión sexual con penetración;enero-marzo 2025;1
08035 Calella;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;1
08035 Calella;6. Robos con violencia e intimidación;enero-marzo 2025;12
08035 Calella;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;5
08035 Calella;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;4
08035 Calella;8. Hurtos;enero-marzo 2025;39
08035 Calella;9. Sustracciones de vehículos;enero-marzo 2025;1
08035 Calella;10. Tráfico de drogas;enero-marzo 2025;5
08035 Calella;11. Resto de criminalidad convencional;enero-marzo 2025;71
08035 Calella;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;71
08035 Calella;12.-Estafas informáticas;enero-marzo 2025;59
08035 Calella;13.-Otros ciberdelitos;enero-marzo 2025;12
08035 Calella;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;208
08051 Castellar del Vallès;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;70
08051 Castellar del Vallès;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;0
08051 Castellar del Vallès;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;0
08051 Castellar del Vallès;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;0
08051 Castellar del Vallès;4. Secuestro;enero-marzo 2025;0
08051 Castellar del Vallès;5. Delitos contra la libertad sexual;enero-marzo 2025;0
08051 Castellar del Vallès;5.1.-Agresión sexual con penetración;enero-marzo 2025;0
08051 Castellar del Vallès;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;0
08051 Castellar del Vallès;6. Robos con violencia e intimidación;enero-marzo 2025;2
08051 Castellar del Vallès;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;5
08051 Castellar del Vallès;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;5
08051 Castellar del Vallès;8. Hurtos;enero-marzo 2025;23
08051 Castellar del Vallès;9. Sustracciones de vehículos;enero-marzo 2025;4
08051 Castellar del Vallès;10. Tráfico de drogas;enero-marzo 2025;3
08051 Castellar del Vallès;11. Resto de criminalidad convencional;enero-marzo 2025;33
08051 Castellar del Vallès;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;38
08051 Castellar del Vallès;12.-Estafas informáticas;enero-marzo 2025;32
08051 Castellar del Vallès;13.-Otros ciberdelitos;enero-marzo 2025;6
08051 Castellar del Vallès;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;108
08056 Castelldefels;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;567
08056 Castelldefels;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;0
08056 Castelldefels;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;0
08056 Castelldefels;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;14
08056 Castelldefels;4. Secuestro;enero-marzo 2025;0
08056 Castelldefels;5. Delitos contra la libertad sexual;enero-marzo 2025;4
08056 Castelldefels;5.1.-Agresión sexual con penetración;enero-marzo 2025;1
08056 Castelldefels;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;3
08056 Castelldefels;6. Robos con violencia e intimidación;enero-marzo 2025;19
08056 Castelldefels;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;52
08056 Castelldefels;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;37
08056 Castelldefels;8. Hurtos;enero-marzo 2025;219
08056 Castelldefels;9. Sustracciones de vehículos;enero-marzo 2025;12
08056 Castelldefels;10. Tráfico de drogas;enero-marzo 2025;3
08056 Castelldefels;11. Resto de criminalidad convencional;enero-marzo 2025;244
08056 Castelldefels;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;142
08056 Castelldefels;12.-Estafas informáticas;enero-marzo 2025;131
08056 Castelldefels;13.-Otros ciberdelitos;enero-marzo 2025;11
08056 Castelldefels;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;709
08266 Cerdanyola del Vallès;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;403
08266 Cerdanyola del Vallès;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;0
08266 Cerdanyola del Vallès;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;0
08266 Cerdanyola del Vallès;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;8
08266 Cerdanyola del Vallès;4. Secuestro;enero-marzo 2025;0
08266 Cerdanyola del Vallès;5. Delitos contra la libertad sexual;enero-marzo 2025;4
08266 Cerdanyola del Vallès;5.1.-Agresión sexual con penetración;enero-marzo 2025;1
08266 Cerdanyola del Vallès;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;3
08266 Cerdanyola del Vallès;6. Robos con violencia e intimidación;enero-marzo 2025;5
08266 Cerdanyola del Vallès;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;37
08266 Cerdanyola del Vallès;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;31
08266 Cerdanyola del Vallès;8. Hurtos;enero-marzo 2025;125
08266 Cerdanyola del Vallès;9. Sustracciones de vehículos;enero-marzo 2025;5
08266 Cerdanyola del Vallès;10. Tráfico de drogas;enero-marzo 2025;3
08266 Cerdanyola del Vallès;11. Resto de criminalidad convencional;enero-marzo 2025;216
08266 Cerdanyola del Vallès;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;115
08266 Cerdanyola del Vallès;12.-Estafas informáticas;enero-marzo 2025;107
08266 Cerdanyola del Vallès;13.-Otros ciberdelitos;enero-marzo 2025;8
