Geografía;Tipología penal;Periodos:;Total
-Municipio de Badalona;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;11.725
-Municipio de Badalona;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;1
-Municipio de Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;9
-Municipio de Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;120
-Municipio de Badalona;4. Secuestro;Enero-diciembre 2022;0
-Municipio de Badalona;5. Delitos contra la libertad sexual;Enero-diciembre 2022;100
-Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;26
-Municipio de Badalona;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;74
-Municipio de Badalona;6. Robos con violencia e intimidación;Enero-diciembre 2022;1.462
-Municipio de Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;840
-Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;467
-Municipio de Badalona;8. Hurtos;Enero-diciembre 2022;3.825
-Municipio de Badalona;9. Sustracciones de vehículos;Enero-diciembre 2022;251
-Municipio de Badalona;10. Tráfico de drogas;Enero-diciembre 2022;50
-Municipio de Badalona;11. Resto de criminalidad convencional;Enero-diciembre 2022;5.067
-Municipio de Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;1.971
-Municipio de Badalona;12.-Estafas informáticas;Enero-diciembre 2022;1.916
-Municipio de Badalona;13.-Otros ciberdelitos;Enero-diciembre 2022;55
-Municipio de Badalona;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;13.696
-Municipio de Barberà del Vallès;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;1.382
-Municipio de Barberà del Vallès;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;0
-Municipio de Barberà del Vallès;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;0
-Municipio de Barberà del Vallès;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;17
