Geografía;Tipología penal;Periodos:;Total
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;1
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;7
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;281
- Municipio de Badalona;4.-Secuestro;Enero-septiembre 2018;0
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;54
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;13
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;41
- Municipio de Badalona;6.-Robos con violencia e intimidación;Enero-septiembre 2018;919
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;442
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;313
- Municipio de Badalona;8.-Hurtos;Enero-septiembre 2018;2.742
- Municipio de Badalona;9.-Sustracciones de vehículos;Enero-septiembre 2018;192
- Municipio de Badalona;10.-Tráfico de drogas;Enero-septiembre 2018;39
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Enero-septiembre 2018;9.021
- Municipio de Barberà del Vallès;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;0
- Municipio de Barberà del Vallès;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;0
- Municipio de Barberà del Vallès;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;25
- Municipio de Barberà del Vallès;4.-Secuestro;Enero-septiembre 2018;0
- Municipio de Barberà del Vallès;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;12
- Municipio de Barberà del Vallès;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;0
- Municipio de Barberà del Vallès;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;12
- Municipio de Barberà del Vallès;6.-Robos con violencia e intimidación;Enero-septiembre 2018;37
- Municipio de Barberà del Vallès;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;104
- Municipio de Barberà del Vallès;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;72
- Municipio de Barberà del Vallès;8.-Hurtos;Enero-septiembre 2018;304
- Municipio de Barberà del Vallès;9.-Sustracciones de vehículos;Enero-septiembre 2018;42
- Municipio de Barberà del Vallès;10.-Tráfico de drogas;Enero-septiembre 2018;4
- Municipio de Barberà del Vallès;TOTAL INFRACCIONES PENALES;Enero-septiembre 2018;1.077
