Geografía;Tipología penal;Periodos:;Total
- Municipio de Badalona;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;10.684
- Municipio de Badalona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;3
- Municipio de Badalona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;1.254
- Municipio de Badalona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;453
- Municipio de Badalona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;246
- Municipio de Badalona;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;35
- Municipio de Badalona;7.-DAÑOS;Enero-Diciembre 2016;1.170
- Municipio de Badalona;8.-HURTOS;Enero-Diciembre 2016;3.109
- Municipio de Barcelona;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;153.056
- Municipio de Barcelona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;10
- Municipio de Barcelona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;9.650
- Municipio de Barcelona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;5.456
- Municipio de Barcelona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;3.866
- Municipio de Barcelona;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;455
- Municipio de Barcelona;7.-DAÑOS;Enero-Diciembre 2016;9.155
- Municipio de Barcelona;8.-HURTOS;Enero-Diciembre 2016;85.101
- Municipio de Castelldefels;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;2.942
- Municipio de Castelldefels;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Castelldefels;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;120
- Municipio de Castelldefels;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;206
- Municipio de Castelldefels;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;49
- Municipio de Castelldefels;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;10
- Municipio de Castelldefels;7.-DAÑOS;Enero-Diciembre 2016;333
- Municipio de Castelldefels;8.-HURTOS;Enero-Diciembre 2016;921
- Municipio de Cerdanyola del Vallès;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;1.903
- Municipio de Cerdanyola del Vallès;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Cerdanyola del Vallès;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;59
- Municipio de Cerdanyola del Vallès;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;183
- Municipio de Cerdanyola del Vallès;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;37
- Municipio de Cerdanyola del Vallès;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;10
- Municipio de Cerdanyola del Vallès;7.-DAÑOS;Enero-Diciembre 2016;270
- Municipio de Cerdanyola del Vallès;8.-HURTOS;Enero-Diciembre 2016;487
- Municipio de Cornellà de Llobregat;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;4.742
- Municipio de Cornellà de Llobregat;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;1
- Municipio de Cornellà de Llobregat;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;333
- Municipio de Cornellà de Llobregat;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;162
- Municipio de Cornellà de Llobregat;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;92
- Municipio de Cornellà de Llobregat;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;14
- Municipio de Cornellà de Llobregat;7.-DAÑOS;Enero-Diciembre 2016;658
- Municipio de Cornellà de Llobregat;8.-HURTOS;Enero-Diciembre 2016;1.554
- Municipio de Granollers;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;2.986
- Municipio de Granollers;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;2
- Municipio de Granollers;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;149
- Municipio de Granollers;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;207
- Municipio de Granollers;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;54
- Municipio de Granollers;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;16
- Municipio de Granollers;7.-DAÑOS;Enero-Diciembre 2016;348
- Municipio de Granollers;8.-HURTOS;Enero-Diciembre 2016;850
- Municipio de Hospitalet de Llobregat (L');1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;15.096
- Municipio de Hospitalet de Llobregat (L');2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;4
- Municipio de Hospitalet de Llobregat (L');3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;1.305
- Municipio de Hospitalet de Llobregat (L');4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;671
- Municipio de Hospitalet de Llobregat (L');5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;306
- Municipio de Hospitalet de Llobregat (L');6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;75
- Municipio de Hospitalet de Llobregat (L');7.-DAÑOS;Enero-Diciembre 2016;1.395
- Municipio de Hospitalet de Llobregat (L');8.-HURTOS;Enero-Diciembre 2016;5.720
- Municipio de Manresa;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;3.062
- Municipio de Manresa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Manresa;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;99
- Municipio de Manresa;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;165
- Municipio de Manresa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;43
- Municipio de Manresa;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;12
- Municipio de Manresa;7.-DAÑOS;Enero-Diciembre 2016;372
- Municipio de Manresa;8.-HURTOS;Enero-Diciembre 2016;776
- Municipio de Mataró;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;6.368
- Municipio de Mataró;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Mataró;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;528
- Municipio de Mataró;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;205
- Municipio de Mataró;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;132
- Municipio de Mataró;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;22
- Municipio de Mataró;7.-DAÑOS;Enero-Diciembre 2016;738
- Municipio de Mataró;8.-HURTOS;Enero-Diciembre 2016;2.119
- Municipio de Mollet del Vallès;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;2.257
- Municipio de Mollet del Vallès;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Mollet del Vallès;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;102
- Municipio de Mollet del Vallès;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;98
- Municipio de Mollet del Vallès;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;42
- Municipio de Mollet del Vallès;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;10
- Municipio de Mollet del Vallès;7.-DAÑOS;Enero-Diciembre 2016;327
- Municipio de Mollet del Vallès;8.-HURTOS;Enero-Diciembre 2016;624
- Municipio de Prat de Llobregat (El);1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;6.901
- Municipio de Prat de Llobregat (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;1
- Municipio de Prat de Llobregat (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;153
- Municipio de Prat de Llobregat (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;62
- Municipio de Prat de Llobregat (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;132
- Municipio de Prat de Llobregat (El);6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;104
- Municipio de Prat de Llobregat (El);7.-DAÑOS;Enero-Diciembre 2016;437
- Municipio de Prat de Llobregat (El);8.-HURTOS;Enero-Diciembre 2016;3.841
- Municipio de Rubí;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;2.821
- Municipio de Rubí;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Rubí;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;91
- Municipio de Rubí;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;181
- Municipio de Rubí;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;92
- Municipio de Rubí;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;17
- Municipio de Rubí;7.-DAÑOS;Enero-Diciembre 2016;379
- Municipio de Rubí;8.-HURTOS;Enero-Diciembre 2016;663
- Municipio de Sabadell;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;8.607
- Municipio de Sabadell;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;1
- Municipio de Sabadell;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;575
- Municipio de Sabadell;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;539
