Geografía;Tipología penal;Periodos:;Total
-Municipio de Badalona;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;5.787
-Municipio de Badalona;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;2
-Municipio de Badalona;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;6
-Municipio de Badalona;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;61
-Municipio de Badalona;4. Secuestro;Enero-junio 2023;0
-Municipio de Badalona;5. Delitos contra la libertad sexual;Enero-junio 2023;55
-Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-junio 2023;17
-Municipio de Badalona;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;38
-Municipio de Badalona;6. Robos con violencia e intimidación;Enero-junio 2023;681
-Municipio de Badalona;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;319
-Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;202
-Municipio de Badalona;8. Hurtos;Enero-junio 2023;1.955
-Municipio de Badalona;9. Sustracciones de vehículos;Enero-junio 2023;118
-Municipio de Badalona;10. Tráfico de drogas;Enero-junio 2023;32
-Municipio de Badalona;11. Resto de criminalidad convencional;Enero-junio 2023;2.558
-Municipio de Badalona;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;1.043
-Municipio de Badalona;12.-Estafas informáticas;Enero-junio 2023;1.023
-Municipio de Badalona;13.-Otros ciberdelitos;Enero-junio 2023;20
-Municipio de Badalona;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;6.830
-Municipio de Barberà del Vallès;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;701
-Municipio de Barberà del Vallès;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;0
-Municipio de Barberà del Vallès;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;2
-Municipio de Barberà del Vallès;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;6
-Municipio de Barberà del Vallès;4. Secuestro;Enero-junio 2023;0
