Geografía;Tipología penal;Periodos:;Total
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;2
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;7
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;297
- Municipio de Badalona;4.-Secuestro;Enero-septiembre 2019;0
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;57
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-septiembre 2019;10
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;47
- Municipio de Badalona;6.-Robos con violencia e intimidación;Enero-septiembre 2019;1.095
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2019;470
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2019;274
- Municipio de Badalona;8.-Hurtos;Enero-septiembre 2019;2.557
- Municipio de Badalona;9.-Sustracciones de vehículos;Enero-septiembre 2019;223
- Municipio de Badalona;10.-Tráfico de drogas;Enero-septiembre 2019;35
- Municipio de Badalona;Resto de infracciones penales;Enero-septiembre 2019;4.514
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Enero-septiembre 2019;9.257
- Municipio de Barberà del Vallès;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;0
- Municipio de Barberà del Vallès;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;1
- Municipio de Barberà del Vallès;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;33
- Municipio de Barberà del Vallès;4.-Secuestro;Enero-septiembre 2019;0
- Municipio de Barberà del Vallès;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;15
- Municipio de Barberà del Vallès;5.1.-Agresión sexual con penetración;Enero-septiembre 2019;6
- Municipio de Barberà del Vallès;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;9
- Municipio de Barberà del Vallès;6.-Robos con violencia e intimidación;Enero-septiembre 2019;35
- Municipio de Barberà del Vallès;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2019;111
- Municipio de Barberà del Vallès;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2019;57
- Municipio de Barberà del Vallès;8.-Hurtos;Enero-septiembre 2019;325
- Municipio de Barberà del Vallès;9.-Sustracciones de vehículos;Enero-septiembre 2019;20
- Municipio de Barberà del Vallès;10.-Tráfico de drogas;Enero-septiembre 2019;2
- Municipio de Barberà del Vallès;Resto de infracciones penales;Enero-septiembre 2019;687
- Municipio de Barberà del Vallès;TOTAL INFRACCIONES PENALES;Enero-septiembre 2019;1.229
- Municipio de Barcelona;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;15
- Municipio de Barcelona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;39
- Municipio de Barcelona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;2.624
- Municipio de Barcelona;4.-Secuestro;Enero-septiembre 2019;0
