Geografía;Tipología penal;Periodos:;Total
- Municipio de Badalona;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;2.617
- Municipio de Badalona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;1
- Municipio de Badalona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;293
- Municipio de Badalona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;134
- Municipio de Badalona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;58
- Municipio de Badalona;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;8
- Municipio de Badalona;7.-DAÑOS;Enero-marzo 2016;277
- Municipio de Badalona;8.-HURTOS;Enero-marzo 2016;761
- Municipio de Barcelona;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;35.480
- Municipio de Barcelona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;2
- Municipio de Barcelona;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;2.333
- Municipio de Barcelona;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;1.328
- Municipio de Barcelona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;881
- Municipio de Barcelona;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;99
- Municipio de Barcelona;7.-DAÑOS;Enero-marzo 2016;2.252
- Municipio de Barcelona;8.-HURTOS;Enero-marzo 2016;18.956
- Municipio de Castelldefels;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;689
- Municipio de Castelldefels;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Castelldefels;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;31
- Municipio de Castelldefels;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;40
- Municipio de Castelldefels;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;13
- Municipio de Castelldefels;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;2
- Municipio de Castelldefels;7.-DAÑOS;Enero-marzo 2016;75
- Municipio de Castelldefels;8.-HURTOS;Enero-marzo 2016;207
- Municipio de Cerdanyola del Vallès;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;485
- Municipio de Cerdanyola del Vallès;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Cerdanyola del Vallès;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;21
- Municipio de Cerdanyola del Vallès;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;51
- Municipio de Cerdanyola del Vallès;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;10
- Municipio de Cerdanyola del Vallès;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;2
- Municipio de Cerdanyola del Vallès;7.-DAÑOS;Enero-marzo 2016;60
- Municipio de Cerdanyola del Vallès;8.-HURTOS;Enero-marzo 2016;127
- Municipio de Cornellà de Llobregat;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;1.208
- Municipio de Cornellà de Llobregat;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Cornellà de Llobregat;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;93
- Municipio de Cornellà de Llobregat;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;54
- Municipio de Cornellà de Llobregat;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;28
- Municipio de Cornellà de Llobregat;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;3
- Municipio de Cornellà de Llobregat;7.-DAÑOS;Enero-marzo 2016;157
- Municipio de Cornellà de Llobregat;8.-HURTOS;Enero-marzo 2016;395
- Municipio de Granollers;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;745
- Municipio de Granollers;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Granollers;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;34
- Municipio de Granollers;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;35
- Municipio de Granollers;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;17
- Municipio de Granollers;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;3
- Municipio de Granollers;7.-DAÑOS;Enero-marzo 2016;75
- Municipio de Granollers;8.-HURTOS;Enero-marzo 2016;230
- Municipio de Hospitalet de Llobregat (L');1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;3.826
- Municipio de Hospitalet de Llobregat (L');2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Hospitalet de Llobregat (L');3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;313
- Municipio de Hospitalet de Llobregat (L');4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;177
- Municipio de Hospitalet de Llobregat (L');5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;74
- Municipio de Hospitalet de Llobregat (L');6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;11
- Municipio de Hospitalet de Llobregat (L');7.-DAÑOS;Enero-marzo 2016;375
- Municipio de Hospitalet de Llobregat (L');8.-HURTOS;Enero-marzo 2016;1.480
- Municipio de Manresa;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;781
- Municipio de Manresa;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Manresa;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;25
- Municipio de Manresa;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;62
- Municipio de Manresa;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;11
- Municipio de Manresa;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;0
- Municipio de Manresa;7.-DAÑOS;Enero-marzo 2016;87
- Municipio de Manresa;8.-HURTOS;Enero-marzo 2016;199
- Municipio de Mataró;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;1.563
- Municipio de Mataró;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Mataró;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;136
- Municipio de Mataró;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;71
- Municipio de Mataró;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;38
- Municipio de Mataró;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;4
- Municipio de Mataró;7.-DAÑOS;Enero-marzo 2016;199
- Municipio de Mataró;8.-HURTOS;Enero-marzo 2016;480
- Municipio de Mollet del Vallès;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;573
- Municipio de Mollet del Vallès;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Mollet del Vallès;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;29
