Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;91.436
Provincia de ALICANTE/ALACANT;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;15
Provincia de ALICANTE/ALACANT;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;2.077
Provincia de ALICANTE/ALACANT;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;8.738
Provincia de ALICANTE/ALACANT;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;2.060
Provincia de ALICANTE/ALACANT;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;704
Provincia de ALICANTE/ALACANT;7.-DAÑOS;Enero-Diciembre 2016;9.619
Provincia de ALICANTE/ALACANT;8.-HURTOS;Enero-Diciembre 2016;31.595
- Municipio de Alcoy/Alcoi;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;1.476
- Municipio de Alcoy/Alcoi;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Alcoy/Alcoi;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;48
- Municipio de Alcoy/Alcoi;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;77
- Municipio de Alcoy/Alcoi;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;30
- Municipio de Alcoy/Alcoi;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;2
- Municipio de Alcoy/Alcoi;7.-DAÑOS;Enero-Diciembre 2016;160
- Municipio de Alcoy/Alcoi;8.-HURTOS;Enero-Diciembre 2016;410
- Municipio de Alicante/Alacant;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;17.782
- Municipio de Alicante/Alacant;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;3
- Municipio de Alicante/Alacant;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;641
- Municipio de Alicante/Alacant;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;839
- Municipio de Alicante/Alacant;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;472
- Municipio de Alicante/Alacant;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;175
- Municipio de Alicante/Alacant;7.-DAÑOS;Enero-Diciembre 2016;1.755
- Municipio de Alicante/Alacant;8.-HURTOS;Enero-Diciembre 2016;7.725
- Municipio de Benidorm;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;6.824
- Municipio de Benidorm;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;1
- Municipio de Benidorm;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;202
