Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2017;5
Provincia de ALICANTE/ALACANT;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2017;3
Provincia de ALICANTE/ALACANT;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2017;125
Provincia de ALICANTE/ALACANT;4.-Secuestro;Enero-marzo 2017;0
Provincia de ALICANTE/ALACANT;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;105
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;Enero-marzo 2017;8
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;97
Provincia de ALICANTE/ALACANT;6.-Robos con violencia e intimidación;Enero-marzo 2017;453
Provincia de ALICANTE/ALACANT;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2017;2.612
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;Enero-marzo 2017;2.064
Provincia de ALICANTE/ALACANT;8.-Hurtos;Enero-marzo 2017;6.659
Provincia de ALICANTE/ALACANT;9.-Sustracciones de vehículos;Enero-marzo 2017;444
Provincia de ALICANTE/ALACANT;10.-Tráfico de drogas;Enero-marzo 2017;152
Provincia de ALICANTE/ALACANT;TOTAL INFRACCIONES PENALES;Enero-marzo 2017;21.168
- Municipio de Alcoy/Alcoi;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2017;0
- Municipio de Alcoy/Alcoi;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2017;0
- Municipio de Alcoy/Alcoi;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2017;3
- Municipio de Alcoy/Alcoi;4.-Secuestro;Enero-marzo 2017;0
- Municipio de Alcoy/Alcoi;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;2
- Municipio de Alcoy/Alcoi;5.1.-Agresión sexual con penetración;Enero-marzo 2017;1
- Municipio de Alcoy/Alcoi;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;1
- Municipio de Alcoy/Alcoi;6.-Robos con violencia e intimidación;Enero-marzo 2017;14
- Municipio de Alcoy/Alcoi;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2017;20
- Municipio de Alcoy/Alcoi;7.1.-Robos con fuerza en domicilios;Enero-marzo 2017;17
- Municipio de Alcoy/Alcoi;8.-Hurtos;Enero-marzo 2017;90
- Municipio de Alcoy/Alcoi;9.-Sustracciones de vehículos;Enero-marzo 2017;6
- Municipio de Alcoy/Alcoi;10.-Tráfico de drogas;Enero-marzo 2017;1
- Municipio de Alcoy/Alcoi;TOTAL INFRACCIONES PENALES;Enero-marzo 2017;369
- Municipio de Alicante/Alacant;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2017;1
- Municipio de Alicante/Alacant;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2017;0
