Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2018;14
Provincia de ALICANTE/ALACANT;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2018;26
Provincia de ALICANTE/ALACANT;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2018;702
Provincia de ALICANTE/ALACANT;4.-Secuestro;Enero-diciembre 2018;1
Provincia de ALICANTE/ALACANT;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2018;600
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;Enero-diciembre 2018;70
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2018;530
Provincia de ALICANTE/ALACANT;6.-Robos con violencia e intimidación;Enero-diciembre 2018;1.698
Provincia de ALICANTE/ALACANT;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2018;9.341
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2018;7.791
Provincia de ALICANTE/ALACANT;8.-Hurtos;Enero-diciembre 2018;26.519
Provincia de ALICANTE/ALACANT;9.-Sustracciones de vehículos;Enero-diciembre 2018;1.289
Provincia de ALICANTE/ALACANT;10.-Tráfico de drogas;Enero-diciembre 2018;669
Provincia de ALICANTE/ALACANT;Resto de infracciones penales;Enero-diciembre 2018;47.658
Provincia de ALICANTE/ALACANT;TOTAL INFRACCIONES PENALES;Enero-diciembre 2018;88.517
- Municipio de Alcoy/Alcoi;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2018;0
- Municipio de Alcoy/Alcoi;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2018;1
- Municipio de Alcoy/Alcoi;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2018;6
- Municipio de Alcoy/Alcoi;4.-Secuestro;Enero-diciembre 2018;0
