Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2021;5
Provincia de ALICANTE/ALACANT;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2021;40
Provincia de ALICANTE/ALACANT;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2021;588
Provincia de ALICANTE/ALACANT;4.-Secuestro;Enero-septiembre 2021;3
Provincia de ALICANTE/ALACANT;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;628
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;Enero-septiembre 2021;74
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;554
Provincia de ALICANTE/ALACANT;6.-Robos con violencia e intimidación;Enero-septiembre 2021;847
Provincia de ALICANTE/ALACANT;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2021;4.633
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2021;3.866
Provincia de ALICANTE/ALACANT;8.-Hurtos;Enero-septiembre 2021;13.585
Provincia de ALICANTE/ALACANT;9.-Sustracciones de vehículos;Enero-septiembre 2021;745
Provincia de ALICANTE/ALACANT;10.-Tráfico de drogas;Enero-septiembre 2021;708
Provincia de ALICANTE/ALACANT;Resto de infracciones penales;Enero-septiembre 2021;36.481
Provincia de ALICANTE/ALACANT;TOTAL INFRACCIONES PENALES;Enero-septiembre 2021;58.263
-Municipio de Alcoy/Alcoi;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2021;0
-Municipio de Alcoy/Alcoi;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2021;4
-Municipio de Alcoy/Alcoi;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2021;5
-Municipio de Alcoy/Alcoi;4.-Secuestro;Enero-septiembre 2021;0
-Municipio de Alcoy/Alcoi;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;22
-Municipio de Alcoy/Alcoi;5.1.-Agresión sexual con penetración;Enero-septiembre 2021;2
-Municipio de Alcoy/Alcoi;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;20
-Municipio de Alcoy/Alcoi;6.-Robos con violencia e intimidación;Enero-septiembre 2021;35
-Municipio de Alcoy/Alcoi;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2021;65
-Municipio de Alcoy/Alcoi;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2021;59
-Municipio de Alcoy/Alcoi;8.-Hurtos;Enero-septiembre 2021;206
-Municipio de Alcoy/Alcoi;9.-Sustracciones de vehículos;Enero-septiembre 2021;20
-Municipio de Alcoy/Alcoi;10.-Tráfico de drogas;Enero-septiembre 2021;9
-Municipio de Alcoy/Alcoi;Resto de infracciones penales;Enero-septiembre 2021;941
-Municipio de Alcoy/Alcoi;TOTAL INFRACCIONES PENALES;Enero-septiembre 2021;1.307
-Municipio de L'Alfàs del Pi;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2021;0
-Municipio de L'Alfàs del Pi;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2021;0
-Municipio de L'Alfàs del Pi;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2021;3
-Municipio de L'Alfàs del Pi;4.-Secuestro;Enero-septiembre 2021;0
-Municipio de L'Alfàs del Pi;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;5
-Municipio de L'Alfàs del Pi;5.1.-Agresión sexual con penetración;Enero-septiembre 2021;0
