Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;86.761
Provincia de ALICANTE/ALACANT;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;20
Provincia de ALICANTE/ALACANT;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;53
Provincia de ALICANTE/ALACANT;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;1.413
Provincia de ALICANTE/ALACANT;4. Secuestro;enero-diciembre 2024;8
Provincia de ALICANTE/ALACANT;5. Delitos contra la libertad sexual;enero-diciembre 2024;1.008
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;enero-diciembre 2024;222
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;786
Provincia de ALICANTE/ALACANT;6. Robos con violencia e intimidación;enero-diciembre 2024;2.207
Provincia de ALICANTE/ALACANT;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;6.989
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;5.699
Provincia de ALICANTE/ALACANT;8. Hurtos;enero-diciembre 2024;26.416
Provincia de ALICANTE/ALACANT;9. Sustracciones de vehículos;enero-diciembre 2024;1.366
Provincia de ALICANTE/ALACANT;10. Tráfico de drogas;enero-diciembre 2024;1.145
Provincia de ALICANTE/ALACANT;11. Resto de criminalidad convencional;enero-diciembre 2024;46.136
Provincia de ALICANTE/ALACANT;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;17.921
Provincia de ALICANTE/ALACANT;12.-Estafas informáticas;enero-diciembre 2024;15.490
Provincia de ALICANTE/ALACANT;13.-Otros ciberdelitos;enero-diciembre 2024;2.431
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;104.682
03009 Alcoy/Alcoi;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;1.706
03009 Alcoy/Alcoi;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;1
03009 Alcoy/Alcoi;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;0
03009 Alcoy/Alcoi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;19
03009 Alcoy/Alcoi;4. Secuestro;enero-diciembre 2024;0
03009 Alcoy/Alcoi;5. Delitos contra la libertad sexual;enero-diciembre 2024;16
03009 Alcoy/Alcoi;5.1.-Agresión sexual con penetración;enero-diciembre 2024;8
03009 Alcoy/Alcoi;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;8
03009 Alcoy/Alcoi;6. Robos con violencia e intimidación;enero-diciembre 2024;53
03009 Alcoy/Alcoi;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;126
03009 Alcoy/Alcoi;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;93
03009 Alcoy/Alcoi;8. Hurtos;enero-diciembre 2024;446
03009 Alcoy/Alcoi;9. Sustracciones de vehículos;enero-diciembre 2024;17
03009 Alcoy/Alcoi;10. Tráfico de drogas;enero-diciembre 2024;8
03009 Alcoy/Alcoi;11. Resto de criminalidad convencional;enero-diciembre 2024;1.020
03009 Alcoy/Alcoi;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;599
03009 Alcoy/Alcoi;12.-Estafas informáticas;enero-diciembre 2024;543
