Fecha,Provincia,Delitos,delitos_sum,poblacion_sum,tasa_100k
2018-03-31,Alicante,Delitos Sexuales,98.0,2549700,3.843589441895125
2018-03-31,Alicante,Homicidios,4.0,2549700,0.15688120171000508
2018-03-31,Alicante,Hurtos,4062.0,2549700,159.3128603365102
2018-03-31,Alicante,Lesiones,85.0,2549700,3.3337255363376084
2018-03-31,Alicante,Robos Con Fuerza,2158.0,2549700,84.63740832254776
2018-03-31,Alicante,Robos Con Violencia,293.0,2549700,11.491548025257874
2018-03-31,Alicante,Secuestro,0.0,2549700,0.0
2018-03-31,Alicante,Sustraccion De Vehiculos,193.0,2549700,7.5695179825077465
2018-03-31,Alicante,Trafico De Drogas,82.0,2549700,3.2160646350551048
2018-03-31,Barcelona,Delitos Sexuales,427.0,4091812,10.435474552594304
2018-03-31,Barcelona,Homicidios,28.0,4091812,0.6842934132848724
2018-03-31,Barcelona,Hurtos,34185.0,4091812,835.4489404694058
2018-03-31,Barcelona,Lesiones,1805.0,4091812,44.1124861063998
2018-03-31,Barcelona,Robos Con Fuerza,6994.0,4091812,170.92671901837133
2018-03-31,Barcelona,Robos Con Violencia,4432.0,4091812,108.3138717028055
2018-03-31,Barcelona,Secuestro,0.0,4091812,0.0
2018-03-31,Barcelona,Sustraccion De Vehiculos,1666.0,4091812,40.71545809044991
2018-03-31,Barcelona,Trafico De Drogas,329.0,4091812,8.040447606097251
2018-03-31,Castellón,Delitos Sexuales,0.0,31552,0.0
2018-03-31,Castellón,Homicidios,0.0,31552,0.0
2018-03-31,Castellón,Hurtos,58.0,31552,183.8235294117647
2018-03-31,Castellón,Lesiones,2.0,31552,6.338742393509127
2018-03-31,Castellón,Robos Con Fuerza,39.0,31552,123.60547667342799
2018-03-31,Castellón,Robos Con Violencia,1.0,31552,3.1693711967545637
2018-03-31,Castellón,Secuestro,0.0,31552,0.0
2018-03-31,Castellón,Sustraccion De Vehiculos,0.0,31552,0.0
2018-03-31,Castellón,Trafico De Drogas,3.0,31552,9.508113590263692
2018-03-31,Madrid,Delitos Sexuales,142.0,2540782,5.588830525405171
2018-03-31,Madrid,Homicidios,13.0,2540782,0.5116534988046987
2018-03-31,Madrid,Hurtos,8583.0,2540782,337.8093830954407
2018-03-31,Madrid,Lesiones,143.0,2540782,5.628188486851686
2018-03-31,Madrid,Robos Con Fuerza,2597.0,2540782,102.2126258766002
2018-03-31,Madrid,Robos Con Violencia,913.0,2540782,35.933818800668455
2018-03-31,Madrid,Secuestro,2.0,2540782,0.07871592289303057
2018-03-31,Madrid,Sustraccion De Vehiculos,721.0,2540782,28.37709020293752
2018-03-31,Madrid,Trafico De Drogas,86.0,2540782,3.384784684400315
2018-03-31,Valencia,Delitos Sexuales,112.0,3060720,3.659269714315586
2018-03-31,Valencia,Homicidios,10.0,3060720,0.32672051020674875
2018-03-31,Valencia,Hurtos,6393.0,3060720,208.87242217517448
2018-03-31,Valencia,Lesiones,146.0,3060720,4.770119449018532
2018-03-31,Valencia,Robos Con Fuerza,1823.0,3060720,59.5611490106903
2018-03-31,Valencia,Robos Con Violencia,568.0,3060720,18.557724979743327
2018-03-31,Valencia,Secuestro,0.0,3060720,0.0
2018-03-31,Valencia,Sustraccion De Vehiculos,291.0,3060720,9.507566847016388
2018-03-31,Valencia,Trafico De Drogas,113.0,3060720,3.691941765336261
2018-06-30,Barcelona,Delitos Sexuales,484.0,4091812,11.828500429638508
2018-06-30,Barcelona,Homicidios,30.0,4091812,0.7331715142337918
2018-06-30,Barcelona,Hurtos,37543.0,4091812,917.5152719626415
2018-06-30,Barcelona,Lesiones,2146.0,4091812,52.446202318190565
2018-06-30,Barcelona,Robos Con Fuerza,6864.0,4091812,167.74964245669156
2018-06-30,Barcelona,Robos Con Violencia,4246.0,4091812,103.76820831455599
2018-06-30,Barcelona,Secuestro,0.0,4091812,0.0
2018-06-30,Barcelona,Sustraccion De Vehiculos,1780.0,4091812,43.50150984453831
2018-06-30,Barcelona,Trafico De Drogas,334.0,4091812,8.162642858469548
2018-06-30,Madrid,Delitos Sexuales,174.0,2540782,6.848285291693659
2018-06-30,Madrid,Homicidios,10.0,2540782,0.3935796144651528
2018-06-30,Madrid,Hurtos,9297.0,2540782,365.9109675682526
2018-06-30,Madrid,Lesiones,142.0,2540782,5.588830525405171
2018-06-30,Madrid,Robos Con Fuerza,2212.0,2540782,87.05981071969181
2018-06-30,Madrid,Robos Con Violencia,868.0,2540782,34.162710535575265
2018-06-30,Madrid,Secuestro,1.0,2540782,0.03935796144651529
2018-06-30,Madrid,Sustraccion De Vehiculos,703.0,2540782,27.668646896900245
2018-06-30,Madrid,Trafico De Drogas,118.0,2540782,4.644239450688803
2018-09-30,Alicante,Delitos Sexuales,250.0,2549700,9.805075106875318
2018-09-30,Alicante,Homicidios,16.0,2549700,0.6275248068400203
2018-09-30,Alicante,Hurtos,10186.0,2549700,399.49798015452797
2018-09-30,Alicante,Lesiones,278.0,2549700,10.903243518845354
2018-09-30,Alicante,Robos Con Fuerza,3936.0,2549700,154.37110248264503
2018-09-30,Alicante,Robos Con Violencia,619.0,2549700,24.27736596462329
2018-09-30,Alicante,Secuestro,0.0,2549700,0.0
2018-09-30,Alicante,Sustraccion De Vehiculos,467.0,2549700,18.315880299643094
