Geografía,Año,Provincia,Delitos Sexuales,Homicidios,Hurtos,Lesiones,Resto De Criminalidad Convencional,Robos Con Fuerza,Robos Con Violencia,Secuestro,Sustraccion De Vehiculos,Trafico De Drogas,Total Delitos
Sant Pere de Ribes,2023,Barcelona,18,0,161,7,0,109,15,0,31,5,346
Sant Pere de Ribes,2024,Barcelona,12,1,181,12,0,126,21,0,35,2,390
Sant Quirze del Vallès,2021,Barcelona,9,1,178,8,0,65,37,0,8,4,310
Sant Quirze del Vallès,2022,Barcelona,12,0,243,10,0,69,48,0,5,0,387
Sant Quirze del Vallès,2023,Barcelona,6,1,156,6,0,61,15,0,6,3,254
Sant Quirze del Vallès,2024,Barcelona,4,0,147,8,0,35,17,0,8,1,220
Sant Vicenç dels Horts,2021,Barcelona,19,0,226,10,0,123,33,0,15,4,430
Sant Vicenç dels Horts,2022,Barcelona,26,0,265,17,0,137,37,0,33,7,522
Sant Vicenç dels Horts,2023,Barcelona,19,0,286,9,0,124,33,0,24,6,501
Sant Vicenç dels Horts,2024,Barcelona,23,2,213,13,0,136,35,0,19,8,449
Santa Coloma de Gramenet,2016,Barcelona,0,0,1307,0,420,0,0,0,0,0,1727
Santa Coloma de Gramenet,2017,Barcelona,37,4,1480,1,0,512,418,0,104,16,2572
Santa Coloma de Gramenet,2018,Barcelona,42,5,1764,265,0,538,468,0,137,30,3249
Santa Coloma de Gramenet,2019,Barcelona,39,4,1715,275,0,592,583,0,169,10,3387
Santa Coloma de Gramenet,2020,Barcelona,32,3,1281,235,0,386,486,0,94,16,2533
Santa Coloma de Gramenet,2021,Barcelona,92,3,1488,54,0,415,471,0,116,21,2660
Santa Coloma de Gramenet,2022,Barcelona,62,8,1541,43,0,372,479,0,67,10,2582
Santa Coloma de Gramenet,2023,Barcelona,69,4,1508,55,0,294,395,0,88,22,2435
Santa Coloma de Gramenet,2024,Barcelona,79,12,1501,64,0,254,430,0,83,20,2443
Santa Perpètua de Mogoda,2021,Barcelona,9,0,218,6,0,115,35,0,16,115,514
Santa Perpètua de Mogoda,2022,Barcelona,18,2,266,10,0,150,28,0,17,26,517
Santa Perpètua de Mogoda,2023,Barcelona,14,1,270,8,0,117,31,0,24,82,547
Santa Perpètua de Mogoda,2024,Barcelona,15,2,333,9,0,63,32,0,20,102,576
Sitges,2021,Barcelona,18,0,732,11,0,285,56,0,26,10,1138
Sitges,2022,Barcelona,30,0,1111,28,0,354,133,0,28,10,1694
Sitges,2023,Barcelona,26,1,1341,22,0,276,165,0,47,19,1897
Sitges,2024,Barcelona,23,1,1245,25,0,322,140,0,51,8,1815
Terrassa,2016,Barcelona,0,0,1978,0,961,0,0,0,0,0,2939
Terrassa,2017,Barcelona,75,3,2086,0,0,871,286,0,138,36,3495
Terrassa,2018,Barcelona,77,10,2328,279,0,1053,352,0,119,35,4253
Terrassa,2019,Barcelona,101,11,2206,284,0,739,355,0,171,31,3898
Terrassa,2020,Barcelona,78,6,1755,242,0,645,350,0,136,35,3247
Terrassa,2021,Barcelona,93,4,2199,85,0,910,446,2,129,42,3910
Terrassa,2022,Barcelona,99,9,2481,84,0,986,401,0,163,37,4260
Terrassa,2023,Barcelona,128,9,2464,98,0,951,345,1,206,35,4237
Terrassa,2024,Barcelona,173,9,2399,107,0,744,324,0,183,48,3987
Vic,2017,Barcelona,15,0,449,0,0,204,31,0,12,2,713
Vic,2018,Barcelona,27,2,514,102,0,204,59,0,22,5,935
Vic,2019,Barcelona,25,1,414,91,0,189,66,0,19,7,812
Vic,2020,Barcelona,34,1,274,64,0,137,30,0,22,2,564
Vic,2021,Barcelona,24,0,600,25,0,223,56,0,22,8,958
Vic,2022,Barcelona,27,0,726,28,0,245,45,0,22,12,1105
Vic,2023,Barcelona,50,4,676,27,0,188,73,0,13,17,1048
Vic,2024,Barcelona,44,3,794,40,0,263,90,0,24,9,1267
Viladecans,2016,Barcelona,0,0,852,0,471,0,0,0,0,0,1323
Viladecans,2017,Barcelona,18,2,931,0,0,251,148,0,51,7,1408
Viladecans,2018,Barcelona,19,1,866,84,0,297,111,0,57,8,1443
Viladecans,2019,Barcelona,21,4,1150,102,0,209,111,0,64,4,1665
Viladecans,2020,Barcelona,11,0,790,72,0,140,108,0,38,11,1170
Viladecans,2021,Barcelona,14,4,984,18,0,218,92,0,40,8,1378
Viladecans,2022,Barcelona,31,0,1178,18,0,197,98,0,44,4,1570
Viladecans,2023,Barcelona,21,2,1109,33,0,179,71,0,73,9,1497
Viladecans,2024,Barcelona,26,1,903,15,0,153,72,0,76,1,1247
Vilafranca del Penedès,2017,Barcelona,16,1,734,1,0,215,76,0,42,7,1092
Vilafranca del Penedès,2018,Barcelona,22,1,699,109,0,195,73,0,40,3,1142
Vilafranca del Penedès,2019,Barcelona,18,1,665,98,0,256,152,0,35,2,1227
Vilafranca del Penedès,2020,Barcelona,11,3,481,79,0,157,90,0,28,3,852
Vilafranca del Penedès,2021,Barcelona,21,4,575,25,0,165,106,0,29,5,930
Vilafranca del Penedès,2022,Barcelona,21,0,735,33,0,210,130,0,64,8,1201
Vilafranca del Penedès,2023,Barcelona,23,4,763,33,0,262,123,0,35,11,1254
Vilafranca del Penedès,2024,Barcelona,29,2,828,43,0,245,132,0,52,8,1339
Vilanova i la Geltrú,2016,Barcelona,0,0,823,0,480,0,0,0,0,0,1303
Vilanova i la Geltrú,2017,Barcelona,21,4,888,0,0,475,108,0,34,6,1536
Vilanova i la Geltrú,2018,Barcelona,19,1,841,135,0,491,125,0,92,8,1712
Vilanova i la Geltrú,2019,Barcelona,32,1,841,155,0,497,106,0,85,4,1721
Vilanova i la Geltrú,2020,Barcelona,26,2,607,99,0,342,120,0,79,15,1290
Vilanova i la Geltrú,2021,Barcelona,39,5,842,37,0,382,95,0,41,10,1451
Vilanova i la Geltrú,2022,Barcelona,30,4,1104,40,0,332,186,0,58,15,1769
Vilanova i la Geltrú,2023,Barcelona,53,4,1234,39,0,354,138,0,74,20,1916
Vilanova i la Geltrú,2024,Barcelona,26,1,1297,46,0,381,157,0,79,24,2011
Vilassar de Mar,2021,Barcelona,3,0,145,2,0,59,38,0,8,1,256
Vilassar de Mar,2022,Barcelona,8,0,133,2,0,117,22,0,14,3,299
Vilassar de Mar,2023,Barcelona,11,0,130,7,0,97,34,0,15,1,295
Vilassar de Mar,2024,Barcelona,8,1,113,5,0,73,31,0,12,2,245
Alcalá de Henares,2016,Madrid,0,0,2801,0,1566,0,0,0,0,0,4367
Alcalá de Henares,2017,Madrid,55,5,2676,38,0,678,291,0,277,40,4060
Alcalá de Henares,2018,Madrid,53,4,2709,50,0,640,236,0,230,39,3961
Alcalá de Henares,2019,Madrid,55,4,2739,48,0,579,227,0,232,49,3933
Alcalá de Henares,2020,Madrid,52,2,1826,43,0,430,151,1,166,41,2712
Alcalá de Henares,2021,Madrid,62,9,2483,66,0,537,232,1,222,28,3640
Alcalá de Henares,2022,Madrid,66,7,2705,86,0,523,212,0,234,42,3875
Alcalá de Henares,2023,Madrid,69,8,2347,86,0,401,190,0,245,64,3410
Alcalá de Henares,2024,Madrid,81,14,2209,63,0,513,217,0,224,86,3407
Alcobendas,2016,Madrid,0,0,1625,0,658,0,0,0,0,0,2283
Alcobendas,2017,Madrid,35,3,1661,29,0,486,146,0,209,14,2583
Alcobendas,2018,Madrid,39,0,1505,21,0,459,132,0,158,26,2340
Alcobendas,2019,Madrid,57,3,1343,31,0,602,152,0,232,24,2444
Alcobendas,2020,Madrid,47,3,933,40,0,246,78,0,225,25,1597
Alcobendas,2021,Madrid,36,1,1114,43,0,353,70,0,246,32,1895
Alcobendas,2022,Madrid,33,1,1241,37,0,288,96,0,241,31,1968
Alcobendas,2023,Madrid,64,3,1171,41,0,345,81,0,157,60,1922
Alcobendas,2024,Madrid,61,2,1200,34,0,280,78,0,183,44,1882
Alcorcón,2016,Madrid,0,0,2469,0,835,0,0,0,0,0,3304
Alcorcón,2017,Madrid,22,5,2478,27,0,504,346,0,231,22,3635
Alcorcón,2018,Madrid,45,2,2315,26,0,498,231,1,174,30,3322
Alcorcón,2019,Madrid,29,2,2281,27,0,407,259,0,134,38,3177
Alcorcón,2020,Madrid,32,3,1757,32,0,332,202,0,120,26,2504
Alcorcón,2021,Madrid,43,4,2135,30,0,396,245,1,142,26,3022
Alcorcón,2022,Madrid,48,4,2565,31,0,420,195,1,98,30,3392
Alcorcón,2023,Madrid,37,3,2512,46,0,303,197,0,151,39,3288
Alcorcón,2024,Madrid,42,0,2429,47,0,348,159,1,106,46,3178
Algete,2021,Madrid,3,0,132,6,0,54,8,0,17,4,224
Algete,2022,Madrid,5,0,163,1,0,103,9,0,10,3,294
Algete,2023,Madrid,10,0,138,5,0,152,10,0,10,2,327
Algete,2024,Madrid,9,0,133,11,0,52,16,0,15,0,236
Aranjuez,2016,Madrid,0,0,737,0,447,0,0,0,0,0,1184
Aranjuez,2017,Madrid,18,1,648,17,0,187,45,0,82,12,1010
Aranjuez,2018,Madrid,16,3,544,15,0,173,35,0,50,11,847
Aranjuez,2019,Madrid,15,4,547,15,0,192,34,0,55,9,871
Aranjuez,2020,Madrid,8,0,447,20,0,148,30,0,29,11,693
Aranjuez,2021,Madrid,10,1,555,22,0,129,36,0,35,8,796
Aranjuez,2022,Madrid,12,2,714,15,0,145,42,0,44,16,990
Aranjuez,2023,Madrid,17,3,632,10,0,197,46,0,39,17,961
Aranjuez,2024,Madrid,18,2,703,14,0,179,48,0,55,16,1035
Arganda del Rey,2016,Madrid,0,0,425,0,459,0,0,0,0,0,884
Arganda del Rey,2017,Madrid,11,1,446,23,0,298,82,0,71,12,944
Arganda del Rey,2018,Madrid,10,2,680,31,0,272,115,0,27,21,1158
Arganda del Rey,2019,Madrid,18,0,1129,47,0,212,185,0,26,16,1633
Arganda del Rey,2020,Madrid,16,0,364,36,0,166,51,0,22,10,665
Arganda del Rey,2021,Madrid,23,0,413,50,0,160,48,0,21,11,726
Arganda del Rey,2022,Madrid,14,1,755,53,0,167,92,2,24,13,1121
Arganda del Rey,2023,Madrid,39,1,973,34,0,297,116,0,29,30,1519
Arganda del Rey,2024,Madrid,18,1,828,34,0,162,92,0,36,20,1191
Arroyomolinos,2019,Madrid,21,0,1621,7,0,151,32,0,52,2,1886
Arroyomolinos,2020,Madrid,10,3,1015,15,0,126,36,0,58,4,1267
Arroyomolinos,2021,Madrid,8,1,1314,11,0,120,40,0,40,12,1546
Arroyomolinos,2022,Madrid,16,1,1276,16,0,126,36,0,46,3,1520
Arroyomolinos,2023,Madrid,8,0,1290,25,0,164,30,4,58,7,1586
Arroyomolinos,2024,Madrid,28,1,1002,6,0,132,17,0,44,7,1237
Boadilla del Monte,2017,Madrid,7,1,339,4,0,206,24,0,34,6,621
Boadilla del Monte,2018,Madrid,10,1,385,5,0,193,21,0,11,4,630
Boadilla del Monte,2019,Madrid,6,0,363,6,0,213,11,0,14,3,616
Boadilla del Monte,2020,Madrid,7,0,264,12,0,120,32,0,8,2,445
Boadilla del Monte,2021,Madrid,18,1,371,13,0,204,20,0,5,8,640
Boadilla del Monte,2022,Madrid,23,0,471,17,0,293,26,0,11,3,844
Boadilla del Monte,2023,Madrid,24,1,406,24,0,308,20,0,12,7,802
Boadilla del Monte,2024,Madrid,18,0,393,16,0,280,17,0,12,7,743
Ciempozuelos,2021,Madrid,15,1,209,21,0,196,32,0,22,9,505
Ciempozuelos,2022,Madrid,16,3,255,22,0,118,32,0,25,7,478
Ciempozuelos,2023,Madrid,19,2,229,22,0,173,46,0,19,9,519
Ciempozuelos,2024,Madrid,8,2,265,21,0,81,39,0,17,5,438
Collado Villalba,2016,Madrid,0,0,791,0,381,0,0,0,0,0,1172
Collado Villalba,2017,Madrid,49,4,837,37,0,360,125,0,39,12,1463
Collado Villalba,2018,Madrid,36,2,951,35,0,324,114,2,17,17,1498
Collado Villalba,2019,Madrid,37,0,941,44,0,269,138,0,21,23,1473
Collado Villalba,2020,Madrid,29,3,506,30,0,175,44,0,19,17,823
Collado Villalba,2021,Madrid,31,1,596,35,0,214,72,0,15,6,970
Collado Villalba,2022,Madrid,34,0,739,46,0,245,80,1,17,16,1178
Collado Villalba,2023,Madrid,38,1,746,42,0,243,72,0,21,9,1172
Collado Villalba,2024,Madrid,44,3,711,65,0,278,80,1,14,9,1205
Colmenar Viejo,2017,Madrid,22,1,464,28,0,204,42,0,21,5,787
Colmenar Viejo,2018,Madrid,22,0,471,24,0,277,56,0,14,4,868
Colmenar Viejo,2019,Madrid,24,0,443,25,0,205,59,0,8,8,772
Colmenar Viejo,2020,Madrid,13,2,336,22,0,116,40,1,9,8,547
Colmenar Viejo,2021,Madrid,17,2,296,29,0,174,40,0,14,12,584
Colmenar Viejo,2022,Madrid,7,1,356,23,0,152,21,0,10,4,574
Colmenar Viejo,2023,Madrid,19,2,569,31,0,216,48,0,14,8,907
Colmenar Viejo,2024,Madrid,40,0,477,21,0,247,38,0,14,7,844
Coslada,2016,Madrid,0,0,1102,0,661,0,0,0,0,0,1763
Coslada,2017,Madrid,15,0,1104,16,0,298,90,0,118,9,1650
Coslada,2018,Madrid,19,1,912,32,0,298,90,0,131,12,1495
Coslada,2019,Madrid,16,1,901,26,0,311,90,0,99,20,1464
Coslada,2020,Madrid,10,3,669,24,0,176,61,0,69,26,1038
Coslada,2021,Madrid,15,2,877,27,0,217,60,0,75,19,1292
Coslada,2022,Madrid,23,2,899,22,0,239,76,0,109,18,1388
Coslada,2023,Madrid,21,0,908,17,0,232,56,0,82,30,1346
Coslada,2024,Madrid,39,1,973,30,0,205,61,0,128,12,1449
Fuenlabrada,2016,Madrid,0,0,2655,0,1398,0,0,0,0,0,4053
Fuenlabrada,2017,Madrid,42,2,2531,25,0,555,343,0,311,22,3831
Fuenlabrada,2018,Madrid,55,2,2175,28,0,639,287,0,249,6,3441
Fuenlabrada,2019,Madrid,34,5,1863,22,0,377,305,0,203,20,2829
Fuenlabrada,2020,Madrid,39,5,1415,28,0,377,187,0,140,33,2224
Fuenlabrada,2021,Madrid,58,2,1696,33,0,419,235,0,161,39,2643
Fuenlabrada,2022,Madrid,38,1,1653,30,0,368,203,0,229,49,2571
Fuenlabrada,2023,Madrid,59,3,1508,24,0,326,186,0,249,51,2406
Fuenlabrada,2024,Madrid,56,0,1344,36,0,521,188,0,193,50,2388
Galapagar,2017,Madrid,12,0,216,10,0,222,41,0,12,3,516
Galapagar,2018,Madrid,13,0,236,3,0,335,22,0,3,8,620
Galapagar,2019,Madrid,26,0,231,9,0,411,28,0,5,7,717
Galapagar,2020,Madrid,18,0,184,21,0,306,26,0,3,3,561
Galapagar,2021,Madrid,21,2,217,26,0,197,25,0,8,5,501
Galapagar,2022,Madrid,19,0,195,35,0,176,18,0,4,6,453
Galapagar,2023,Madrid,25,0,208,46,0,247,27,0,8,9,570
Galapagar,2024,Madrid,14,0,218,35,0,166,36,0,9,3,481
Getafe,2016,Madrid,0,0,2585,0,862,0,0,0,0,0,3447
Getafe,2017,Madrid,41,1,2703,17,0,660,533,0,372,11,4338
Getafe,2018,Madrid,44,2,2551,25,0,664,424,0,336,7,4053
Getafe,2019,Madrid,63,0,2428,46,0,654,386,2,308,11,3898
Getafe,2020,Madrid,59,5,1854,34,0,446,286,1,203,29,2917
Getafe,2021,Madrid,81,1,2413,26,0,369,360,1,204,21,3476
Getafe,2022,Madrid,62,1,2502,27,0,386,282,0,255,29,3544
Getafe,2023,Madrid,79,1,2420,36,0,404,259,0,266,32,3497
Getafe,2024,Madrid,74,4,2356,53,0,295,233,3,253,22,3293
Las Rozas de Madrid,2016,Madrid,0,0,1523,0,655,0,0,0,0,0,2178
Las Rozas de Madrid,2017,Madrid,26,0,1546,22,0,609,143,0,102,15,2463
Las Rozas de Madrid,2018,Madrid,23,0,1635,40,0,814,139,2,70,5,2728
Las Rozas de Madrid,2019,Madrid,33,0,1529,29,0,685,118,0,52,4,2450
Las Rozas de Madrid,2020,Madrid,30,0,1063,31,0,453,82,0,64,10,1733
Las Rozas de Madrid,2021,Madrid,21,0,1144,35,0,369,54,0,66,9,1698
Las Rozas de Madrid,2022,Madrid,37,3,1256,54,0,305,84,0,43,14,1796
Las Rozas de Madrid,2023,Madrid,33,2,1321,58,0,389,93,0,34,8,1938
Las Rozas de Madrid,2024,Madrid,48,1,1268,55,0,302,43,0,50,17,1784
Leganés,2016,Madrid,0,0,4264,0,1053,0,0,0,0,0,5317
Leganés,2017,Madrid,42,1,4191,52,0,599,288,0,289,22,5484
Leganés,2018,Madrid,51,1,4058,57,0,596,314,0,273,25,5375
Leganés,2019,Madrid,66,2,3667,53,0,588,363,1,228,29,4997
Leganés,2020,Madrid,44,1,2763,37,0,453,286,0,202,24,3810
Leganés,2021,Madrid,56,2,2780,72,0,467,256,0,197,28,3858
Leganés,2022,Madrid,64,0,3268,66,0,496,199,0,221,57,4371
Leganés,2023,Madrid,105,2,3195,55,0,492,249,2,287,49,4436
Leganés,2024,Madrid,79,1,2911,70,0,479,186,0,308,72,4106
Madrid,2016,Madrid,0,0,106153,0,22158,0,0,0,0,0,128311
Madrid,2017,Madrid,1148,71,112272,1245,0,15729,11507,4,6256,1199,149431
Madrid,2018,Madrid,1327,66,109909,1229,0,14549,10086,2,5455,1465,144088
Madrid,2019,Madrid,1356,58,111748,1426,0,13931,10939,9,5020,1839,146326
Madrid,2020,Madrid,1263,62,63140,1310,0,8716,7668,4,3813,1744,87720
Madrid,2021,Madrid,1503,68,73259,1507,0,9741,8609,9,4302,1824,100822
Madrid,2022,Madrid,1661,110,91604,1753,0,11902,9118,5,4489,2208,122850
Madrid,2023,Madrid,2088,142,88516,1838,0,11966,8883,10,4039,2478,119960
Madrid,2024,Madrid,2160,95,79774,1929,0,11254,8175,7,3982,2964,110340
Majadahonda,2016,Madrid,0,0,1717,0,451,0,0,0,0,0,2168
Majadahonda,2017,Madrid,21,3,1481,13,0,297,91,0,98,11,2015
Majadahonda,2018,Madrid,21,0,1424,18,0,535,99,0,37,9,2143
Majadahonda,2019,Madrid,24,3,1425,24,0,690,83,0,74,17,2340
Majadahonda,2020,Madrid,12,1,1142,19,0,277,61,0,153,13,1678
Majadahonda,2021,Madrid,32,1,1507,29,0,287,72,0,114,8,2050
Majadahonda,2022,Madrid,31,1,1464,47,0,369,52,0,148,7,2119
Majadahonda,2023,Madrid,34,0,1214,55,0,296,53,0,69,15,1736
Majadahonda,2024,Madrid,44,0,1382,41,0,271,63,0,77,10,1888
Mejorada del Campo,2021,Madrid,6,0,240,20,0,59,14,0,35,9,383
Mejorada del Campo,2022,Madrid,11,0,200,16,0,71,15,0,29,4,346
Mejorada del Campo,2023,Madrid,10,2,205,17,0,90,17,1,25,11,378
Mejorada del Campo,2024,Madrid,20,2,154,17,0,49,14,0,23,6,285
Móstoles,2016,Madrid,0,0,2365,0,1406,0,0,0,0,0,3771
Móstoles,2017,Madrid,55,4,2354,48,0,758,362,1,336,22,3940
Móstoles,2018,Madrid,57,7,2224,65,0,686,341,0,263,59,3702
Móstoles,2019,Madrid,61,4,2102,60,0,643,383,1,221,41,3516
Móstoles,2020,Madrid,54,8,1302,40,0,500,217,0,187,47,2355
Móstoles,2021,Madrid,61,3,1514,46,0,591,227,0,145,47,2634
Móstoles,2022,Madrid,82,5,1739,49,0,615,256,1,190,46,2983
Móstoles,2023,Madrid,75,7,1779,55,0,548,217,0,207,57,2945
Móstoles,2024,Madrid,76,5,1732,74,0,584,201,0,166,66,2904
Navalcarnero,2021,Madrid,10,0,188,5,0,123,18,0,25,11,380
Navalcarnero,2022,Madrid,11,2,240,10,0,144,27,0,40,14,488
Navalcarnero,2023,Madrid,18,1,237,13,0,100,14,0,37,13,433
Navalcarnero,2024,Madrid,11,1,283,5,0,88,15,0,37,13,453
Paracuellos de Jarama,2021,Madrid,7,0,122,7,0,68,14,0,19,5,242
Paracuellos de Jarama,2022,Madrid,10,0,177,8,0,79,15,0,24,3,316
Paracuellos de Jarama,2023,Madrid,17,0,119,7,0,113,14,0,27,4,301
Paracuellos de Jarama,2024,Madrid,8,1,109,4,0,85,6,0,38,9,260
Parla,2016,Madrid,0,0,1796,0,944,0,0,0,0,0,2740
Parla,2017,Madrid,27,3,1893,25,0,335,358,0,131,18,2790
Parla,2018,Madrid,39,3,1692,12,0,395,418,0,113,10,2682
Parla,2019,Madrid,46,2,1599,15,0,281,421,0,138,17,2519
Parla,2020,Madrid,40,2,1242,32,0,237,284,1,110,20,1968
Parla,2021,Madrid,67,3,1316,42,0,233,316,0,75,31,2083
Parla,2022,Madrid,57,3,1558,42,0,299,382,1,91,17,2450
Parla,2023,Madrid,54,3,1634,42,0,241,273,0,85,25,2357
Parla,2024,Madrid,80,10,1738,69,0,462,415,0,97,25,2896
Pinto,2017,Madrid,14,0,879,15,0,195,105,0,116,9,1333
Pinto,2018,Madrid,10,3,819,19,0,293,74,0,47,16,1281
Pinto,2019,Madrid,10,0,731,18,0,262,97,0,24,10,1152
Pinto,2020,Madrid,11,0,479,13,0,143,64,0,24,9,743
Pinto,2021,Madrid,27,0,618,13,0,107,99,0,38,24,926
Pinto,2022,Madrid,27,1,871,24,0,233,64,0,23,20,1263
Pinto,2023,Madrid,26,3,786,33,0,206,46,0,17,20,1137
Pinto,2024,Madrid,26,2,646,24,0,193,57,1,26,26,1001
Pozuelo de Alarcón,2016,Madrid,0,0,1009,0,372,0,0,0,0,0,1381
Pozuelo de Alarcón,2017,Madrid,9,0,1010,8,0,333,65,0,107,3,1535
Pozuelo de Alarcón,2018,Madrid,22,1,1045,14,0,396,74,0,128,3,1683
Pozuelo de Alarcón,2019,Madrid,17,1,1058,12,0,309,75,0,92,8,1572
Pozuelo de Alarcón,2020,Madrid,23,0,757,21,0,172,71,0,88,16,1148
Pozuelo de Alarcón,2021,Madrid,13,2,861,14,0,164,63,0,77,16,1210
Pozuelo de Alarcón,2022,Madrid,13,2,920,21,0,151,57,1,79,9,1253
Pozuelo de Alarcón,2023,Madrid,17,0,711,23,0,192,33,0,70,21,1067
Pozuelo de Alarcón,2024,Madrid,13,0,652,29,0,196,20,0,64,7,981
Rivas-Vaciamadrid,2016,Madrid,0,0,1542,0,737,0,0,0,0,0,2279
Rivas-Vaciamadrid,2017,Madrid,25,1,1813,30,0,520,153,0,143,2,2687
Rivas-Vaciamadrid,2018,Madrid,16,0,1641,25,0,486,141,0,67,14,2390
Rivas-Vaciamadrid,2019,Madrid,32,1,1814,22,0,608,133,0,49,14,2673
Rivas-Vaciamadrid,2020,Madrid,16,1,1279,35,0,326,73,0,24,13,1767
Rivas-Vaciamadrid,2021,Madrid,39,2,1528,44,0,414,141,0,29,8,2205
Rivas-Vaciamadrid,2022,Madrid,23,2,1673,68,0,390,154,0,42,21,2373
Rivas-Vaciamadrid,2023,Madrid,35,1,1830,62,0,638,136,0,54,17,2773
Rivas-Vaciamadrid,2024,Madrid,37,0,1530,60,0,444,100,0,51,22,2244
San Fernando de Henares,2017,Madrid,6,0,606,6,0,93,27,0,96,3,837
San Fernando de Henares,2018,Madrid,5,0,588,3,0,144,34,0,66,3,843
San Fernando de Henares,2019,Madrid,11,0,583,7,0,121,39,0,70,15,846
San Fernando de Henares,2020,Madrid,10,0,383,5,0,99,31,0,51,23,602
San Fernando de Henares,2021,Madrid,11,0,433,16,0,91,34,0,64,24,673
San Fernando de Henares,2022,Madrid,7,0,476,9,0,95,53,0,57,20,717
San Fernando de Henares,2023,Madrid,9,0,515,9,0,42,49,0,67,7,698
San Fernando de Henares,2024,Madrid,11,1,463,10,0,89,27,0,65,10,676
San Martín de la Vega,2023,Madrid,6,0,185,9,0,42,9,0,7,5,263
San Martín de la Vega,2024,Madrid,12,0,202,21,0,88,6,0,11,6,346
San Sebastián de los Reyes,2016,Madrid,0,0,1977,0,554,0,0,0,0,0,2531
San Sebastián de los Reyes,2017,Madrid,22,0,2101,9,0,379,102,0,110,17,2740
San Sebastián de los Reyes,2018,Madrid,19,1,1791,12,0,377,96,0,100,8,2404
San Sebastián de los Reyes,2019,Madrid,31,0,1904,14,0,421,113,0,89,9,2581
San Sebastián de los Reyes,2020,Madrid,40,4,1171,11,0,222,77,0,57,16,1598
San Sebastián de los Reyes,2021,Madrid,26,2,1349,22,0,222,74,0,62,23,1780
San Sebastián de los Reyes,2022,Madrid,37,0,1537,22,0,245,80,0,89,34,2044
San Sebastián de los Reyes,2023,Madrid,24,2,1509,33,0,265,73,0,77,25,2008
San Sebastián de los Reyes,2024,Madrid,36,6,1571,31,0,172,71,0,87,28,2002
Torrejón de Ardoz,2016,Madrid,0,0,1561,0,762,0,0,0,0,0,2323
Torrejón de Ardoz,2017,Madrid,32,3,1312,51,0,322,116,0,114,9,1959
Torrejón de Ardoz,2018,Madrid,41,3,1303,47,0,304,115,0,94,3,1910
Torrejón de Ardoz,2019,Madrid,47,4,1251,46,0,342,101,0,93,12,1896
Torrejón de Ardoz,2020,Madrid,59,5,934,37,0,181,95,0,64,26,1401
Torrejón de Ardoz,2021,Madrid,60,6,1305,45,0,164,95,0,56,48,1779
Torrejón de Ardoz,2022,Madrid,55,16,1667,55,0,195,118,0,107,64,2277
Torrejón de Ardoz,2023,Madrid,52,3,1615,49,0,187,108,0,95,48,2157
Torrejón de Ardoz,2024,Madrid,59,6,1529,68,0,210,90,0,83,44,2089
Torrelodones,2021,Madrid,5,0,278,9,0,160,35,0,4,5,496
Torrelodones,2022,Madrid,5,1,286,13,0,141,30,0,6,1,483
Torrelodones,2023,Madrid,12,0,280,14,0,168,15,0,6,5,500
Torrelodones,2024,Madrid,10,0,246,18,0,123,13,0,6,4,420
Tres Cantos,2017,Madrid,6,0,414,14,0,147,34,0,16,3,634
Tres Cantos,2018,Madrid,17,0,423,17,0,196,50,0,9,12,724
Tres Cantos,2019,Madrid,10,0,352,8,0,125,26,0,8,8,537
Tres Cantos,2020,Madrid,7,0,239,10,0,88,12,0,3,6,365
Tres Cantos,2021,Madrid,14,0,374,12,0,82,25,0,5,6,518
Tres Cantos,2022,Madrid,12,0,426,22,0,115,35,0,8,1,619
Tres Cantos,2023,Madrid,12,0,411,17,0,136,16,0,2,2,596
Tres Cantos,2024,Madrid,13,0,329,10,0,166,24,0,10,4,556
Valdemoro,2016,Madrid,0,0,883,0,520,0,0,0,0,0,1403
Valdemoro,2017,Madrid,22,1,905,43,0,247,119,0,126,7,1470
Valdemoro,2018,Madrid,36,1,756,32,0,323,82,1,48,7,1286
Valdemoro,2019,Madrid,33,2,652,39,0,285,95,1,66,8,1181
Valdemoro,2020,Madrid,42,1,489,56,0,145,85,0,51,15,884
Valdemoro,2021,Madrid,50,0,656,58,0,183,53,0,40,13,1053
Valdemoro,2022,Madrid,31,1,830,65,0,191,77,0,46,18,1259
Valdemoro,2023,Madrid,38,1,785,74,0,165,60,0,45,14,1182
Valdemoro,2024,Madrid,37,0,734,79,0,264,62,0,56,10,1242
Villanueva de la Cañada,2021,Madrid,9,0,240,11,0,104,20,0,6,0,390
Villanueva de la Cañada,2022,Madrid,11,1,320,4,0,131,15,0,6,3,491
Villanueva de la Cañada,2023,Madrid,19,0,299,9,0,130,18,0,3,10,488
Villanueva de la Cañada,2024,Madrid,12,0,231,15,0,101,15,0,2,2,378
Villaviciosa de Odón,2021,Madrid,15,0,274,13,0,173,53,0,6,3,537
Villaviciosa de Odón,2022,Madrid,19,0,320,8,0,182,49,0,8,4,590
Villaviciosa de Odón,2023,Madrid,11,0,301,17,0,234,37,0,7,6,613
Villaviciosa de Odón,2024,Madrid,10,0,267,20,0,175,22,0,8,4,506
