Sexo,Municipios,Periodo,Total
Total,28164 Valdetorres de Jarama,2023,4.990
Total,28164 Valdetorres de Jarama,2022,4.830
Total,28164 Valdetorres de Jarama,2021,4.696
Total,28164 Valdetorres de Jarama,2020,4.581
Total,28164 Valdetorres de Jarama,2019,4.497
Total,28164 Valdetorres de Jarama,2018,4.384
Total,28164 Valdetorres de Jarama,2017,4.316
Total,28164 Valdetorres de Jarama,2016,4.260
Total,28165 Valdilecha,2025,3.289
Total,28165 Valdilecha,2024,3.213
Total,28165 Valdilecha,2023,3.191
Total,28165 Valdilecha,2022,3.104
Total,28165 Valdilecha,2021,3.079
Total,28165 Valdilecha,2020,2.982
Total,28165 Valdilecha,2019,2.933
Total,28165 Valdilecha,2018,2.840
Total,28165 Valdilecha,2017,2.755
Total,28165 Valdilecha,2016,2.749
Total,28166 Valverde de Alcalá,2025,565
Total,28166 Valverde de Alcalá,2024,553
Total,28166 Valverde de Alcalá,2023,535
Total,28166 Valverde de Alcalá,2022,532
Total,28166 Valverde de Alcalá,2021,518
Total,28166 Valverde de Alcalá,2020,498
Total,28166 Valverde de Alcalá,2019,465
Total,28166 Valverde de Alcalá,2018,432
Total,28166 Valverde de Alcalá,2017,427
Total,28166 Valverde de Alcalá,2016,430
Total,28167 Velilla de San Antonio,2025,14.468
Total,28167 Velilla de San Antonio,2024,14.003
Total,28167 Velilla de San Antonio,2023,13.376
Total,28167 Velilla de San Antonio,2022,12.770
Total,28167 Velilla de San Antonio,2021,12.543
Total,28167 Velilla de San Antonio,2020,12.380
Total,28167 Velilla de San Antonio,2019,12.236
Total,28167 Velilla de San Antonio,2018,12.193
Total,28167 Velilla de San Antonio,2017,12.111
Total,28167 Velilla de San Antonio,2016,12.222
Total,"28168 Vellón, El",2025,2.281
Total,"28168 Vellón, El",2024,2.166
Total,"28168 Vellón, El",2023,2.200
Total,"28168 Vellón, El",2022,2.124
Total,"28168 Vellón, El",2021,2.083
Total,"28168 Vellón, El",2020,2.004
Total,"28168 Vellón, El",2019,1.958
Total,"28168 Vellón, El",2018,1.942
Total,"28168 Vellón, El",2017,1.834
Total,"28168 Vellón, El",2016,1.846
Total,28169 Venturada,2025,2.622
Total,28169 Venturada,2024,2.559
Total,28169 Venturada,2023,2.554
Total,28169 Venturada,2022,2.445
Total,28169 Venturada,2021,2.387
Total,28169 Venturada,2020,2.241
Total,28169 Venturada,2019,2.163
Total,28169 Venturada,2018,2.081
Total,28169 Venturada,2017,2.032
Total,28169 Venturada,2016,2.014
Total,28171 Villa del Prado,2025,7.743
Total,28171 Villa del Prado,2024,7.437
Total,28171 Villa del Prado,2023,7.273
Total,28171 Villa del Prado,2022,7.092
Total,28171 Villa del Prado,2021,6.837
Total,28171 Villa del Prado,2020,6.661
Total,28171 Villa del Prado,2019,6.520
Total,28171 Villa del Prado,2018,6.409
Total,28171 Villa del Prado,2017,6.337
Total,28171 Villa del Prado,2016,6.295
Total,28170 Villaconejos,2025,3.569
Total,28170 Villaconejos,2024,3.508
Total,28170 Villaconejos,2023,3.499
Total,28170 Villaconejos,2022,3.456
Total,28170 Villaconejos,2021,3.464
Total,28170 Villaconejos,2020,3.422
Total,28170 Villaconejos,2019,3.388
Total,28170 Villaconejos,2018,3.363
Total,28170 Villaconejos,2017,3.350
Total,28170 Villaconejos,2016,3.350
Total,28172 Villalbilla,2025,18.687
Total,28172 Villalbilla,2024,18.000
Total,28172 Villalbilla,2023,16.823
Total,28172 Villalbilla,2022,15.866
Total,28172 Villalbilla,2021,15.049
Total,28172 Villalbilla,2020,14.392
Total,28172 Villalbilla,2019,13.878
Total,28172 Villalbilla,2018,13.421
Total,28172 Villalbilla,2017,13.038
Total,28172 Villalbilla,2016,12.719
Total,28173 Villamanrique de Tajo,2025,859
Total,28173 Villamanrique de Tajo,2024,825
Total,28173 Villamanrique de Tajo,2023,800
Total,28173 Villamanrique de Tajo,2022,757
Total,28173 Villamanrique de Tajo,2021,762
Total,28173 Villamanrique de Tajo,2020,707
Total,28173 Villamanrique de Tajo,2019,703
Total,28173 Villamanrique de Tajo,2018,699
Total,28173 Villamanrique de Tajo,2017,694
Total,28173 Villamanrique de Tajo,2016,705
Total,28174 Villamanta,2025,2.899
Total,28174 Villamanta,2024,2.823
Total,28174 Villamanta,2023,2.774
Total,28174 Villamanta,2022,2.714
Total,28174 Villamanta,2021,2.643
Total,28174 Villamanta,2020,2.605
Total,28174 Villamanta,2019,2.555
Total,28174 Villamanta,2018,2.501
Total,28174 Villamanta,2017,2.491
Total,28174 Villamanta,2016,2.497
Total,28175 Villamantilla,2025,1.660
Total,28175 Villamantilla,2024,1.624
Total,28175 Villamantilla,2023,1.576
Total,28175 Villamantilla,2022,1.567
Total,28175 Villamantilla,2021,1.514
Total,28175 Villamantilla,2020,1.482
Total,28175 Villamantilla,2019,1.441
Total,28175 Villamantilla,2018,1.420
Total,28175 Villamantilla,2017,1.382
Total,28175 Villamantilla,2016,1.334
Total,28176 Villanueva de la Cañada,2025,24.028
Total,28176 Villanueva de la Cañada,2024,23.799
Total,28176 Villanueva de la Cañada,2023,23.593
Total,28176 Villanueva de la Cañada,2022,22.845
Total,28176 Villanueva de la Cañada,2021,22.580
Total,28176 Villanueva de la Cañada,2020,22.115
Total,28176 Villanueva de la Cañada,2019,21.445
Total,28176 Villanueva de la Cañada,2018,21.000
Total,28176 Villanueva de la Cañada,2017,20.320
Total,28176 Villanueva de la Cañada,2016,19.611
Total,28178 Villanueva de Perales,2025,1.715
Total,28178 Villanueva de Perales,2024,1.674
Total,28178 Villanueva de Perales,2023,1.671
Total,28178 Villanueva de Perales,2022,1.623
Total,28178 Villanueva de Perales,2021,1.599
Total,28178 Villanueva de Perales,2020,1.592
Total,28178 Villanueva de Perales,2019,1.563
Total,28178 Villanueva de Perales,2018,1.547
Total,28178 Villanueva de Perales,2017,1.519
Total,28178 Villanueva de Perales,2016,1.486
Total,28177 Villanueva del Pardillo,2025,18.466
Total,28177 Villanueva del Pardillo,2024,18.086
Total,28177 Villanueva del Pardillo,2023,17.731
Total,28177 Villanueva del Pardillo,2022,17.382
Total,28177 Villanueva del Pardillo,2021,17.310
Total,28177 Villanueva del Pardillo,2020,17.396
Total,28177 Villanueva del Pardillo,2019,17.180
Total,28177 Villanueva del Pardillo,2018,17.127
Total,28177 Villanueva del Pardillo,2017,17.025
Total,28177 Villanueva del Pardillo,2016,16.950
Total,28179 Villar del Olmo,2025,2.341
Total,28179 Villar del Olmo,2024,2.277
Total,28179 Villar del Olmo,2023,2.258
Total,28179 Villar del Olmo,2022,2.219
Total,28179 Villar del Olmo,2021,2.211
Total,28179 Villar del Olmo,2020,2.079
Total,28179 Villar del Olmo,2019,2.011
Total,28179 Villar del Olmo,2018,1.967
Total,28179 Villar del Olmo,2017,1.997
Total,28179 Villar del Olmo,2016,1.981
Total,28180 Villarejo de Salvanés,2025,8.042
Total,28180 Villarejo de Salvanés,2024,7.900
Total,28180 Villarejo de Salvanés,2023,7.746
Total,28180 Villarejo de Salvanés,2022,7.629
Total,28180 Villarejo de Salvanés,2021,7.552
Total,28180 Villarejo de Salvanés,2020,7.433
Total,28180 Villarejo de Salvanés,2019,7.335
Total,28180 Villarejo de Salvanés,2018,7.291
Total,28180 Villarejo de Salvanés,2017,7.245
Total,28180 Villarejo de Salvanés,2016,7.265
Total,28181 Villaviciosa de Odón,2025,30.127
Total,28181 Villaviciosa de Odón,2024,29.273
Total,28181 Villaviciosa de Odón,2023,28.750
Total,28181 Villaviciosa de Odón,2022,28.152
Total,28181 Villaviciosa de Odón,2021,28.030
Total,28181 Villaviciosa de Odón,2020,28.148
Total,28181 Villaviciosa de Odón,2019,27.835
Total,28181 Villaviciosa de Odón,2018,27.596
Total,28181 Villaviciosa de Odón,2017,27.504
Total,28181 Villaviciosa de Odón,2016,27.276
Total,28182 Villavieja del Lozoya,2025,332
Total,28182 Villavieja del Lozoya,2024,324
Total,28182 Villavieja del Lozoya,2023,314
Total,28182 Villavieja del Lozoya,2022,284
Total,28182 Villavieja del Lozoya,2021,276
Total,28182 Villavieja del Lozoya,2020,262
Total,28182 Villavieja del Lozoya,2019,253
Total,28182 Villavieja del Lozoya,2018,258
Total,28182 Villavieja del Lozoya,2017,267
Total,28182 Villavieja del Lozoya,2016,270
Total,28183 Zarzalejo,2025,1.946
Total,28183 Zarzalejo,2024,1.874
Total,28183 Zarzalejo,2023,1.810
Total,28183 Zarzalejo,2022,1.773
Total,28183 Zarzalejo,2021,1.786
Total,28183 Zarzalejo,2020,1.734
Total,28183 Zarzalejo,2019,1.658
Total,28183 Zarzalejo,2018,1.620
Total,28183 Zarzalejo,2017,1.596
Total,28183 Zarzalejo,2016,1.565
Total,08001 Abrera,2025,13.227
Total,08001 Abrera,2024,13.014
Total,08001 Abrera,2023,12.848
Total,08001 Abrera,2022,12.697
Total,08001 Abrera,2021,12.620
Total,08001 Abrera,2020,12.538
Total,08001 Abrera,2019,12.489
Total,08001 Abrera,2018,12.334
Total,08001 Abrera,2017,12.363
Total,08001 Abrera,2016,12.216
Total,08002 Aguilar de Segarra,2025,292
Total,08002 Aguilar de Segarra,2024,291
Total,08002 Aguilar de Segarra,2023,294
Total,08002 Aguilar de Segarra,2022,287
Total,08002 Aguilar de Segarra,2021,286
Total,08002 Aguilar de Segarra,2020,282
Total,08002 Aguilar de Segarra,2019,288
Total,08002 Aguilar de Segarra,2018,277
Total,08002 Aguilar de Segarra,2017,263
Total,08002 Aguilar de Segarra,2016,253
Total,08014 Aiguafreda,2025,2.569
Total,08014 Aiguafreda,2024,2.576
Total,08014 Aiguafreda,2023,2.567
Total,08014 Aiguafreda,2022,2.552
Total,08014 Aiguafreda,2021,2.556
Total,08014 Aiguafreda,2020,2.512
Total,08014 Aiguafreda,2019,2.504
Total,08014 Aiguafreda,2018,2.501
Total,08014 Aiguafreda,2017,2.514
Total,08014 Aiguafreda,2016,2.467
Total,08003 Alella,2025,10.262
Total,08003 Alella,2024,10.217
Total,08003 Alella,2023,10.139
Total,08003 Alella,2022,10.079
Total,08003 Alella,2021,9.954
Total,08003 Alella,2020,9.904
Total,08003 Alella,2019,9.801
Total,08003 Alella,2018,9.764
Total,08003 Alella,2017,9.625
Total,08003 Alella,2016,9.632
Total,08004 Alpens,2025,267
Total,08004 Alpens,2024,270
Total,08004 Alpens,2023,273
Total,08004 Alpens,2022,281
Total,08004 Alpens,2021,269
Total,08004 Alpens,2020,261
Total,08004 Alpens,2019,266
Total,08004 Alpens,2018,273
Total,08004 Alpens,2017,277
Total,08004 Alpens,2016,294
Total,"08005 Ametlla del Vallès, L'",2025,9.474
Total,"08005 Ametlla del Vallès, L'",2024,9.462
Total,"08005 Ametlla del Vallès, L'",2023,9.296
Total,"08005 Ametlla del Vallès, L'",2022,9.020
Total,"08005 Ametlla del Vallès, L'",2021,8.787
Total,"08005 Ametlla del Vallès, L'",2020,8.646
Total,"08005 Ametlla del Vallès, L'",2019,8.462
Total,"08005 Ametlla del Vallès, L'",2018,8.496
Total,"08005 Ametlla del Vallès, L'",2017,8.368
Total,"08005 Ametlla del Vallès, L'",2016,8.337
Total,08006 Arenys de Mar,2025,17.042
Total,08006 Arenys de Mar,2024,16.642
Total,08006 Arenys de Mar,2023,16.342
Total,08006 Arenys de Mar,2022,16.155
Total,08006 Arenys de Mar,2021,15.942
Total,08006 Arenys de Mar,2020,15.941
Total,08006 Arenys de Mar,2019,15.776
Total,08006 Arenys de Mar,2018,15.533
Total,08006 Arenys de Mar,2017,15.368
Total,08006 Arenys de Mar,2016,15.253
Total,08007 Arenys de Munt,2025,9.558
Total,08007 Arenys de Munt,2024,9.458
Total,08007 Arenys de Munt,2023,9.413
Total,08007 Arenys de Munt,2022,9.278
Total,08007 Arenys de Munt,2021,9.191
Total,08007 Arenys de Munt,2020,9.121
Total,08007 Arenys de Munt,2019,8.931
Total,08007 Arenys de Munt,2018,8.838
Total,08007 Arenys de Munt,2017,8.728
Total,08007 Arenys de Munt,2016,8.638
Total,08008 Argençola,2025,245
Total,08008 Argençola,2024,237
Total,08008 Argençola,2023,222
Total,08008 Argençola,2022,216
Total,08008 Argençola,2021,220
Total,08008 Argençola,2020,219
Total,08008 Argençola,2019,217
Total,08008 Argençola,2018,219
Total,08008 Argençola,2017,220
Total,08008 Argençola,2016,227
Total,08009 Argentona,2025,12.891
Total,08009 Argentona,2024,12.844
Total,08009 Argentona,2023,12.846
Total,08009 Argentona,2022,12.745
Total,08009 Argentona,2021,12.629
Total,08009 Argentona,2020,12.536
Total,08009 Argentona,2019,12.452
Total,08009 Argentona,2018,12.295
Total,08009 Argentona,2017,12.133
Total,08009 Argentona,2016,12.051
Total,08010 Artés,2025,6.225
Total,08010 Artés,2024,6.084
Total,08010 Artés,2023,5.994
Total,08010 Artés,2022,5.902
Total,08010 Artés,2021,5.782
Total,08010 Artés,2020,5.762
Total,08010 Artés,2019,5.698
Total,08010 Artés,2018,5.648
Total,08010 Artés,2017,5.585
Total,08010 Artés,2016,5.596
Total,08011 Avià,2025,2.267
Total,08011 Avià,2024,2.243
Total,08011 Avià,2023,2.249
Total,08011 Avià,2022,2.237
Total,08011 Avià,2021,2.199
Total,08011 Avià,2020,2.220
Total,08011 Avià,2019,2.226
Total,08011 Avià,2018,2.250
Total,08011 Avià,2017,2.249
Total,08011 Avià,2016,2.257
Total,08012 Avinyó,2025,2.322
Total,08012 Avinyó,2024,2.313
Total,08012 Avinyó,2023,2.289
Total,08012 Avinyó,2022,2.270
Total,08012 Avinyó,2021,2.286
Total,08012 Avinyó,2020,2.289
Total,08012 Avinyó,2019,2.275
Total,08012 Avinyó,2018,2.250
Total,08012 Avinyó,2017,2.240
Total,08012 Avinyó,2016,2.212
Total,08013 Avinyonet del Penedès,2025,1.782
Total,08013 Avinyonet del Penedès,2024,1.744
Total,08013 Avinyonet del Penedès,2023,1.732
Total,08013 Avinyonet del Penedès,2022,1.706
Total,08013 Avinyonet del Penedès,2021,1.701
Total,08013 Avinyonet del Penedès,2020,1.697
Total,08013 Avinyonet del Penedès,2019,1.701
Total,08013 Avinyonet del Penedès,2018,1.669
Total,08013 Avinyonet del Penedès,2017,1.653
Total,08013 Avinyonet del Penedès,2016,1.665
Total,08015 Badalona,2025,231.542
Total,08015 Badalona,2024,227.083
Total,08015 Badalona,2023,225.957
Total,08015 Badalona,2022,223.506
Total,08015 Badalona,2021,223.006
Total,08015 Badalona,2020,223.166
Total,08015 Badalona,2019,220.440
Total,08015 Badalona,2018,217.741
Total,08015 Badalona,2017,215.848
Total,08015 Badalona,2016,215.634
Total,08904 Badia del Vallès,2025,13.060
Total,08904 Badia del Vallès,2024,13.118
Total,08904 Badia del Vallès,2023,13.074
Total,08904 Badia del Vallès,2022,13.163
Total,08904 Badia del Vallès,2021,13.228
Total,08904 Badia del Vallès,2020,13.415
Total,08904 Badia del Vallès,2019,13.380
Total,08904 Badia del Vallès,2018,13.417
Total,08904 Badia del Vallès,2017,13.466
Total,08904 Badia del Vallès,2016,13.482
Total,08016 Bagà,2025,2.161
Total,08016 Bagà,2024,2.182
Total,08016 Bagà,2023,2.149
Total,08016 Bagà,2022,2.167
Total,08016 Bagà,2021,2.145
Total,08016 Bagà,2020,2.140
Total,08016 Bagà,2019,2.138
Total,08016 Bagà,2018,2.152
Total,08016 Bagà,2017,2.149
Total,08016 Bagà,2016,2.162
Total,08017 Balenyà,2025,4.021
Total,08017 Balenyà,2024,4.036
Total,08017 Balenyà,2023,3.969
Total,08017 Balenyà,2022,3.948
Total,08017 Balenyà,2021,3.900
Total,08017 Balenyà,2020,3.840
Total,08017 Balenyà,2019,3.821
Total,08017 Balenyà,2018,3.783
Total,08017 Balenyà,2017,3.665
Total,08017 Balenyà,2016,3.705
Total,08018 Balsareny,2025,3.380
Total,08018 Balsareny,2024,3.328
Total,08018 Balsareny,2023,3.307
Total,08018 Balsareny,2022,3.249
Total,08018 Balsareny,2021,3.278
Total,08018 Balsareny,2020,3.192
Total,08018 Balsareny,2019,3.159
Total,08018 Balsareny,2018,3.205
Total,08018 Balsareny,2017,3.240
Total,08018 Balsareny,2016,3.285
Total,08252 Barberà del Vallès,2025,33.987
Total,08252 Barberà del Vallès,2024,33.575
Total,08252 Barberà del Vallès,2023,33.322
Total,08252 Barberà del Vallès,2022,33.082
Total,08252 Barberà del Vallès,2021,33.016
Total,08252 Barberà del Vallès,2020,33.334
Total,08252 Barberà del Vallès,2019,33.091
Total,08252 Barberà del Vallès,2018,32.839
Total,08252 Barberà del Vallès,2017,32.860
Total,08252 Barberà del Vallès,2016,32.832
Total,08019 Barcelona,2025,1.731.649
Total,08019 Barcelona,2024,1.702.547
Total,08019 Barcelona,2023,1.660.122
Total,08019 Barcelona,2022,1.636.193
Total,08019 Barcelona,2021,1.636.732
Total,08019 Barcelona,2020,1.664.182
Total,08019 Barcelona,2019,1.636.762
Total,08019 Barcelona,2018,1.620.343
Total,08019 Barcelona,2017,1.620.809
Total,08019 Barcelona,2016,1.608.746
Total,08 Barcelona,2025,5.983.325
Total,08 Barcelona,2024,5.899.063
Total,08 Barcelona,2023,5.805.500
Total,08 Barcelona,2022,5.727.615
Total,08 Barcelona,2021,5.714.730
Total,08 Barcelona,2020,5.743.402
Total,08 Barcelona,2019,5.664.579
Total,08 Barcelona,2018,5.609.350
Total,08 Barcelona,2017,5.576.037
Total,08 Barcelona,2016,5.542.680
Total,08020 Begues,2025,7.561
Total,08020 Begues,2024,7.462
Total,08020 Begues,2023,7.432
Total,08020 Begues,2022,7.450
Total,08020 Begues,2021,7.356
Total,08020 Begues,2020,7.300
Total,08020 Begues,2019,7.098
Total,08020 Begues,2018,6.961
Total,08020 Begues,2017,6.830
Total,08020 Begues,2016,6.736
Total,08021 Bellprat,2025,69
Total,08021 Bellprat,2024,69
Total,08021 Bellprat,2023,72
Total,08021 Bellprat,2022,74
Total,08021 Bellprat,2021,73
Total,08021 Bellprat,2020,64
Total,08021 Bellprat,2019,64
Total,08021 Bellprat,2018,74
Total,08021 Bellprat,2017,74
Total,08021 Bellprat,2016,75
Total,08022 Berga,2025,17.473
Total,08022 Berga,2024,17.160
Total,08022 Berga,2023,16.959
Total,08022 Berga,2022,16.762
Total,08022 Berga,2021,16.682
Total,08022 Berga,2020,16.760
Total,08022 Berga,2019,16.494
Total,08022 Berga,2018,16.199
Total,08022 Berga,2017,16.115
Total,08022 Berga,2016,16.175
Total,08023 Bigues i Riells del Fai,2025,10.139
Total,08023 Bigues i Riells del Fai,2024,10.036
Total,08023 Bigues i Riells del Fai,2023,9.949
Total,08023 Bigues i Riells del Fai,2022,9.757
Total,08023 Bigues i Riells del Fai,2021,9.542
Total,08023 Bigues i Riells del Fai,2020,9.358
Total,08023 Bigues i Riells del Fai,2019,9.092
Total,08023 Bigues i Riells del Fai,2018,9.003
Total,08023 Bigues i Riells del Fai,2017,8.957
Total,08023 Bigues i Riells del Fai,2016,8.915
Total,08024 Borredà,2025,433
Total,08024 Borredà,2024,419
Total,08024 Borredà,2023,430
Total,08024 Borredà,2022,448
Total,08024 Borredà,2021,455
Total,08024 Borredà,2020,464
Total,08024 Borredà,2019,445
Total,08024 Borredà,2018,456
Total,08024 Borredà,2017,480
Total,08024 Borredà,2016,495
Total,"08025 Bruc, El",2025,2.290
Total,"08025 Bruc, El",2024,2.288
Total,"08025 Bruc, El",2023,2.268
Total,"08025 Bruc, El",2022,2.218
Total,"08025 Bruc, El",2021,2.177
Total,"08025 Bruc, El",2020,2.110
Total,"08025 Bruc, El",2019,2.050
Total,"08025 Bruc, El",2018,2.027
Total,"08025 Bruc, El",2017,1.988
Total,"08025 Bruc, El",2016,2.014
Total,"08026 Brull, El",2025,296
Total,"08026 Brull, El",2024,293
Total,"08026 Brull, El",2023,287
Total,"08026 Brull, El",2022,278
Total,"08026 Brull, El",2021,275
Total,"08026 Brull, El",2020,258
Total,"08026 Brull, El",2019,263
Total,"08026 Brull, El",2018,257
Total,"08026 Brull, El",2017,258
Total,"08026 Brull, El",2016,263
Total,"08027 Cabanyes, Les",2025,1.060
Total,"08027 Cabanyes, Les",2024,1.012
Total,"08027 Cabanyes, Les",2023,998
Total,"08027 Cabanyes, Les",2022,999
Total,"08027 Cabanyes, Les",2021,1.005
Total,"08027 Cabanyes, Les",2020,979
Total,"08027 Cabanyes, Les",2019,964
Total,"08027 Cabanyes, Les",2018,965
Total,"08027 Cabanyes, Les",2017,947
Total,"08027 Cabanyes, Les",2016,943
Total,08028 Cabrera d'Anoia,2025,1.772
Total,08028 Cabrera d'Anoia,2024,1.709
Total,08028 Cabrera d'Anoia,2023,1.665
Total,08028 Cabrera d'Anoia,2022,1.606
Total,08028 Cabrera d'Anoia,2021,1.521
Total,08028 Cabrera d'Anoia,2020,1.482
Total,08028 Cabrera d'Anoia,2019,1.410
Total,08028 Cabrera d'Anoia,2018,1.376
Total,08028 Cabrera d'Anoia,2017,1.364
Total,08028 Cabrera d'Anoia,2016,1.351
Total,08029 Cabrera de Mar,2025,5.045
Total,08029 Cabrera de Mar,2024,5.018
Total,08029 Cabrera de Mar,2023,4.945
Total,08029 Cabrera de Mar,2022,4.848
Total,08029 Cabrera de Mar,2021,4.787
Total,08029 Cabrera de Mar,2020,4.747
Total,08029 Cabrera de Mar,2019,4.680
Total,08029 Cabrera de Mar,2018,4.664
Total,08029 Cabrera de Mar,2017,4.594
Total,08029 Cabrera de Mar,2016,4.553
Total,08030 Cabrils,2025,7.765
Total,08030 Cabrils,2024,7.767
Total,08030 Cabrils,2023,7.799
Total,08030 Cabrils,2022,7.729
Total,08030 Cabrils,2021,7.567
Total,08030 Cabrils,2020,7.432
Total,08030 Cabrils,2019,7.439
Total,08030 Cabrils,2018,7.348
Total,08030 Cabrils,2017,7.296
Total,08030 Cabrils,2016,7.287
Total,08031 Calaf,2025,3.644
Total,08031 Calaf,2024,3.618
Total,08031 Calaf,2023,3.566
Total,08031 Calaf,2022,3.590
Total,08031 Calaf,2021,3.597
Total,08031 Calaf,2020,3.656
Total,08031 Calaf,2019,3.535
Total,08031 Calaf,2018,3.547
Total,08031 Calaf,2017,3.477
Total,08031 Calaf,2016,3.424
Total,08034 Calders,2025,1.122
Total,08034 Calders,2024,1.114
Total,08034 Calders,2023,1.097
Total,08034 Calders,2022,1.101
Total,08034 Calders,2021,1.063
Total,08034 Calders,2020,1.045
Total,08034 Calders,2019,970
Total,08034 Calders,2018,946
Total,08034 Calders,2017,962
Total,08034 Calders,2016,953
Total,08033 Caldes de Montbui,2025,18.567
Total,08033 Caldes de Montbui,2024,18.336
Total,08033 Caldes de Montbui,2023,18.109
Total,08033 Caldes de Montbui,2022,17.932
Total,08033 Caldes de Montbui,2021,17.797
Total,08033 Caldes de Montbui,2020,17.812
Total,08033 Caldes de Montbui,2019,17.554
Total,08033 Caldes de Montbui,2018,17.449
Total,08033 Caldes de Montbui,2017,17.187
Total,08033 Caldes de Montbui,2016,17.137
Total,08032 Caldes d'Estrac,2025,3.356
Total,08032 Caldes d'Estrac,2024,3.259
Total,08032 Caldes d'Estrac,2023,3.223
Total,08032 Caldes d'Estrac,2022,3.148
Total,08032 Caldes d'Estrac,2021,3.097
Total,08032 Caldes d'Estrac,2020,3.021
Total,08032 Caldes d'Estrac,2019,2.982
Total,08032 Caldes d'Estrac,2018,2.859
Total,08032 Caldes d'Estrac,2017,2.823
Total,08032 Caldes d'Estrac,2016,2.766
Total,08035 Calella,2025,20.864
Total,08035 Calella,2024,20.369
Total,08035 Calella,2023,19.862
Total,08035 Calella,2022,19.363
Total,08035 Calella,2021,19.236
Total,08035 Calella,2020,19.277
Total,08035 Calella,2019,19.069
Total,08035 Calella,2018,18.728
Total,08035 Calella,2017,18.481
Total,08035 Calella,2016,18.317
Total,08037 Calldetenes,2025,2.733
Total,08037 Calldetenes,2024,2.690
Total,08037 Calldetenes,2023,2.601
Total,08037 Calldetenes,2022,2.532
Total,08037 Calldetenes,2021,2.504
Total,08037 Calldetenes,2020,2.513
Total,08037 Calldetenes,2019,2.489
Total,08037 Calldetenes,2018,2.497
Total,08037 Calldetenes,2017,2.446
Total,08037 Calldetenes,2016,2.418
Total,08038 Callús,2025,2.180
Total,08038 Callús,2024,2.145
Total,08038 Callús,2023,2.099
Total,08038 Callús,2022,2.122
Total,08038 Callús,2021,2.098
Total,08038 Callús,2020,2.129
Total,08038 Callús,2019,2.140
Total,08038 Callús,2018,2.095
Total,08038 Callús,2017,2.067
Total,08038 Callús,2016,2.057
Total,08036 Calonge de Segarra,2025,179
Total,08036 Calonge de Segarra,2024,174
Total,08036 Calonge de Segarra,2023,188
Total,08036 Calonge de Segarra,2022,195
Total,08036 Calonge de Segarra,2021,194
Total,08036 Calonge de Segarra,2020,188
Total,08036 Calonge de Segarra,2019,188
Total,08036 Calonge de Segarra,2018,191
Total,08036 Calonge de Segarra,2017,198
Total,08036 Calonge de Segarra,2016,191
Total,08039 Campins,2025,586
Total,08039 Campins,2024,606
Total,08039 Campins,2023,589
Total,08039 Campins,2022,557
Total,08039 Campins,2021,540
Total,08039 Campins,2020,541
Total,08039 Campins,2019,529
Total,08039 Campins,2018,515
Total,08039 Campins,2017,498
Total,08039 Campins,2016,470
Total,08040 Canet de Mar,2025,15.198
Total,08040 Canet de Mar,2024,15.140
Total,08040 Canet de Mar,2023,15.010
Total,08040 Canet de Mar,2022,14.845
Total,08040 Canet de Mar,2021,14.810
Total,08040 Canet de Mar,2020,14.865
Total,08040 Canet de Mar,2019,14.526
Total,08040 Canet de Mar,2018,14.583
Total,08040 Canet de Mar,2017,14.423
Total,08040 Canet de Mar,2016,14.284
Total,08041 Canovelles,2025,17.473
Total,08041 Canovelles,2024,17.312
Total,08041 Canovelles,2023,17.051
Total,08041 Canovelles,2022,16.761
Total,08041 Canovelles,2021,16.872
Total,08041 Canovelles,2020,16.829
Total,08041 Canovelles,2019,16.629
Total,08041 Canovelles,2018,16.317
Total,08041 Canovelles,2017,16.145
Total,08041 Canovelles,2016,15.937
Total,08042 Cànoves i Samalús,2025,3.399
Total,08042 Cànoves i Samalús,2024,3.315
Total,08042 Cànoves i Samalús,2023,3.322
Total,08042 Cànoves i Samalús,2022,3.289
Total,08042 Cànoves i Samalús,2021,3.219
Total,08042 Cànoves i Samalús,2020,3.156
Total,08042 Cànoves i Samalús,2019,3.117
Total,08042 Cànoves i Samalús,2018,2.995
Total,08042 Cànoves i Samalús,2017,2.906
Total,08042 Cànoves i Samalús,2016,2.873
Total,08043 Canyelles,2025,5.505
Total,08043 Canyelles,2024,5.367
Total,08043 Canyelles,2023,5.218
Total,08043 Canyelles,2022,5.007
Total,08043 Canyelles,2021,4.886
Total,08043 Canyelles,2020,4.699
Total,08043 Canyelles,2019,4.647
Total,08043 Canyelles,2018,4.481
Total,08043 Canyelles,2017,4.388
Total,08043 Canyelles,2016,4.407
Total,08044 Capellades,2025,5.608
Total,08044 Capellades,2024,5.567
Total,08044 Capellades,2023,5.417
Total,08044 Capellades,2022,5.344
Total,08044 Capellades,2021,5.314
Total,08044 Capellades,2020,5.342
Total,08044 Capellades,2019,5.293
Total,08044 Capellades,2018,5.211
Total,08044 Capellades,2017,5.225
Total,08044 Capellades,2016,5.227
Total,08045 Capolat,2025,93
Total,08045 Capolat,2024,92
Total,08045 Capolat,2023,88
Total,08045 Capolat,2022,89
Total,08045 Capolat,2021,84
Total,08045 Capolat,2020,84
Total,08045 Capolat,2019,94
Total,08045 Capolat,2018,96
Total,08045 Capolat,2017,99
Total,08045 Capolat,2016,93
Total,08046 Cardedeu,2025,19.046
Total,08046 Cardedeu,2024,19.064
Total,08046 Cardedeu,2023,19.023
Total,08046 Cardedeu,2022,18.785
Total,08046 Cardedeu,2021,18.609
Total,08046 Cardedeu,2020,18.424
